"","","","","","","Average Monthly Prices of Essential Items November 2012","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-dar","Aver-age"
"1.0","Wheat","10 kg","290.0","290.0","295.0","287.5","288.13","277.0","283.25","287.0","291.25","320.0","299.0","322.5","280.0","306.0","290.0","310.0","278.0","293.8"
"2.0","Wheat Flour, Bag","10 kg","340.63","339.4","331.0","320.0","330.0","340.0","319.5","328.0","328.0","379.3","364.5","337.5","341.0","331.0","342.5","340.0","344.0","338.61"
"3.0","Rice Basmati Broken, Average Quality","1 kg","76.5","74.27","72.0","70.0","68.79","72.5","68.8","75.0","57.5","66.54","60.63","65.0","72.5","75.66","52.8","75.0","60.0","68.44"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","55.9","52.5","50.0","45.0","59.0","57.5","50.0","41.0","47.5","51.54","48.75","42.5","32.0","48.33","54.5","40.0","60.0","49.18"
"5.0","Bread Plain, Medium Size","Each","33.0","33.0","33.0","33.0","33.0","33.6","30.0","33.0","33.0","35.0","36.0","37.5","32.0","30.0","30.0","38.25","35.0","33.43"
"6.0","Beef With Bone, Average quality","1 kg","280.0","261.1","277.5","265.0","293.93","250.0","250.0","265.0","250.0","286.15","280.0","250.0","260.0","260.0","260.0","280.0","281.8","267.68"
"7.0","Mutton, Average Quality","1 kg","565.0","552.0","537.5","500.0","553.93","525.0","475.0","530.0","510.0","553.08","500.0","460.0","500.0","500.0","410.0","520.0","500.0","511.27"
"8.0","Chicken Farm, Broiler, Live","1 kg","121.11","111.31","101.6","105.0","101.27","108.65","109.0","119.83","114.4","144.0","141.0","149.6","146.0","126.0","153.5","151.5","197.0","129.46"
"9.0","Milk, Fresh, Unboiled","1 Ltr","71.88","67.15","70.0","60.0","58.07","57.5","52.5","64.33","55.0","74.0","70.0","65.0","70.0","60.0","61.0","75.0","70.5","64.82"
"10.0","Curd (Dahi)","1 kg","81.25","75.65","80.0","70.0","70.0","62.5","60.0","74.33","60.0","98.62","88.0","72.5","80.0","70.0","71.0","85.0","80.55","75.26"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","110.85","107.62","115.0","120.0","107.29","113.4","110.0","113.2","110.0","108.2","108.8","108.0","109.5","111.67","119.0","122.0","111.0","112.09"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","233.7","165.0","167.5","185.96","185.0","185.0","177.5","180.0","183.08","160.0","146.5","180.0","223.33","180.0","180.0","190.0","186.03"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","515.0","515.0","515.0","515.0","550.0","550.0","515.0","515.0","515.0","535.0","531.0","543.0","515.0","550.0","550.0","550.0","550.0","531.12"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","505.0","505.0","505.0","505.0","540.0","540.0","505.0","505.0","505.0","525.0","521.0","535.0","515.0","540.0","540.0","540.0","540.0","521.82"
"16.0","Vegetable Ghee (Loose)","1 kg","161.75","155.28","150.1","158.0","158.8","148.7","156.0","162.6","162.4","166.54","160.0","151.9","155.0","165.42","157.25","187.5","175.0","160.72"
"17.0","Bananas","Dozen","92.25","77.07","47.5","46.0","61.25","45.0","51.0","58.84","55.0","47.08","37.0","44.0","43.0","63.67","55.0","65.0","41.0","54.69"
