"","","","","","","AVERAGE MONTHLY PRICES OF ESSENTIAL ITEMS, APRIL 2012","","","","","","","","","","","","","","",""
"SL
NO","","DESCRIPTION","UNIT","ISLAM-
ABAD","RAWAL-
PINDI","GUJRAN-
WALA","SIAL-
KOT","LAHORE","FAISAL-
ABAD","SAR-
GODHA","MUL-
TAN","BAHA-
WALPUR","KARA-
CHI","HYDER-
ABAD","SUKKUR","LAR-
KANA","PESHA-
WAR","BANNU","QUETTA","KHUZ-
DAR","AVERAGE"
"1.0","WHEAT","","10 KG","277.5","277.5","277.5","273.75","273.91","263.44","255.37","259.38","255.63","290.0","261.25","295.0","265.0","290.0","260.63","300.0","280.0","273.87"
"2.0","WHEAT FLOUR BAG","","10 KG","302.5","300.0","300.0","295.0","300.0","299.38","303.13","303.75","308.75","350.0","320.0","307.5","310.0","308.13","307.5","330.0","328.75","310.26"
"3.0","RICE BASMATI BROKEN","","KG","73.21","68.17","63.75","65.0","65.06","64.88","54.75","65.25","57.5","61.54","58.91","58.75","60.0","70.1","49.38","67.0","52.5","62.1"
"4.0","RICE IRRI-6/9","","KG","52.5","49.67","47.5","47.5","56.79","50.63","47.88","40.75","45.0","48.62","44.38","37.5","35.0","49.08","51.0","41.0","52.5","46.9"
"5.0","BREAD PLAIN MED.SIZE (340-400 GM.)","","EACH","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","32.0","36.0","35.0","32.0","30.0","30.0","32.5","35.0","31.32"
"6.0","BEEF","","KG","276.25","253.13","277.5","265.0","253.93","250.0","225.0","255.0","245.0","286.15","280.0","250.0","250.0","250.0","260.0","280.0","280.0","261.0"
"7.0","MUTTON","","KG","552.5","538.75","537.5","495.0","553.93","512.5","450.0","490.0","490.0","526.15","480.0","460.0","500.0","500.0","392.5","520.0","500.0","499.93"
"8.0","CHICKEN LIVE (FARM)","","KG","165.38","154.54","163.0","163.0","159.61","169.38","165.0","167.5","168.5","165.0","151.88","176.0","156.25","169.25","170.5","177.5","187.5","166.46"
"9.0","MILK FRESH","","LTR","69.53","59.38","65.0","50.0","53.04","52.5","49.0","59.58","52.5","73.0","68.0","55.63","61.88","59.9","55.0","75.0","65.0","60.23"
"10.0","CURD","","KG","78.28","65.31","70.0","57.0","62.14","60.0","60.0","69.58","57.5","96.62","86.0","62.5","67.5","70.0","65.0","85.0","80.0","70.14"
"11.0","MILK POWDERED NIDO","","400GM","270.0","270.0","270.0","270.0","270.0","270.0","263.75","270.0","263.75","270.0","270.0","270.0","267.5","263.75","263.75","270.0","270.0","268.38"
"12.0","EGG HEN (FARM)","","DOZ","70.81","66.5","68.75","74.38","66.29","72.19","65.75","71.46","65.25","67.0","69.31","68.0","78.13","72.0","78.75","90.5","86.25","72.43"
"13.0","MUSTARD OIL","","KG","235.0","226.67","170.0","175.0","186.96","178.75","175.0","182.5","180.0","175.58","170.0","158.38","170.0","197.5","180.0","180.0","185.0","183.9"
"14.0","COOKING OIL (TIN)","","2.5 LTR","515.0","515.0","515.0","515.0","515.0","505.0","505.0","515.0","515.0","515.0","515.0","515.0","505.0","515.0","505.0","510.0","515.0","512.35"
"15.0","VEG. GHEE (TIN)","","2.5KG","515.0","515.0","515.0","515.0","515.0","505.0","505.0","515.0","515.0","515.0","515.0","515.0","505.0","515.0","505.0","510.0","515.0","512.35"
"16.0","VEG.GHEE LOOSE","","KG","171.25","170.42","170.0","171.88","170.79","170.94","169.0","179.5","179.0","171.54","168.13","173.0","171.25","183.33","172.5","184.38","185.0","174.23"
"17.0","BANANAS","","DOZ","132.5","115.83","103.75","85.0","90.98","51.88","65.0","101.25","67.5","53.08","46.1","55.0","46.25","78.75","94.69","66.25","58.75","77.21"
"18.0","MASOOR PULSE WASHED","","KG","113.75","105.0","100.0","105.0","103.02","100.63","100.0","107.5","96.25","94.81","91.25","97.5","103.75","92.29","97.19","104.5","102.5","100.88"
"19.0","MOONG PULSE WASHED","","KG","128.13","120.0","120.0","140.0","120.43","130.0","109.38","117.5","120.0","123.08","130.0","123.75","135.25","99.0","110.0","130.0","127.0","122.56"
"20.0","MASH PULSE WASHED","","KG","155.0","149.17","150.0","160.0","155.71","158.88","150.0","142.5","135.0","118.95","123.13","145.0","126.75","131.25","140.0","136.5","133.0","141.81"
"21.0","GRAM PULSE WASHED","","KG","104.69","99.04","99.0","100.0","97.49","98.0","91.5","99.13","100.0","94.81","100.0","90.0","103.0","97.81","102.5","105.0","96.0","98.7"
"22.0","POTATOES","","KG","33.25","28.91","20.0","24.38","25.22","23.31","21.13","24.63","24.0","20.98","19.19","20.0","20.0","27.81","20.0","23.0","23.25","23.47"
"23.0","ONIONS","","KG","40.16","30.11","22.5","29.38","25.63","23.75","21.38","20.38","23.13","23.08","21.07","20.0","25.0","30.21","22.88","27.0","29.5","25.6"
"24.0","TOMATOES","","KG","72.28","60.26","61.25","73.75","65.4","64.06","57.5","45.54","49.38","30.58","26.41","38.13","38.13","52.71","36.25","43.75","38.75","50.24"
"25.0","SUGAR","","KG","58.75","56.08","55.0","55.13","56.74","55.5","54.75","54.38","54.63","55.62","55.0","54.5","54.75","56.0","55.38","55.5","56.75","55.56"
"26.0","GUR","","KG","95.63","83.65","65.0","67.5","78.04","72.31","50.63","52.5","56.25","66.54","70.0","61.88","57.5","66.88","70.63","80.0","80.0","69.11"
"27.0","SALT POWDERED LOOSE (LAHORI)","","KG","9.5","8.92","9.0","8.0","8.0","7.5","6.5","7.0","10.0","7.0","10.0","8.0","9.0","10.0","4.0","10.0","10.0","8.38"
"28.0","RED CHILLIES POWDER LOOSE","","KG","321.25","305.0","300.0","370.0","297.5","320.0","295.0","285.0","275.0","306.15","347.5","350.0","250.0","354.58","330.0","265.0","270.0","308.35"
"29.0","GARLIC","","KG","134.85","110.83","70.0","100.0","86.61","79.38","75.0","76.25","102.5","82.88","93.44","95.0","99.63","99.17","103.13","115.0","113.75","96.32"
"30.0","TEA (YELLOW LABLE 200 GM.)","","200 GM.","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11","142.11"
"31.0","COOKED BEEF PLATE","","EACH","67.5","62.71","55.0","57.5","65.54","70.0","50.0","60.0","60.0","50.0","52.5","65.0","62.5","80.0","60.0","70.0","85.0","63.13"
"32.0","COOKED DAL PLATE","","EACH","41.88","38.75","30.0","32.5","41.79","35.0","30.0","30.0","32.5","35.0","36.88","35.0","40.0","60.0","37.5","45.0","50.0","38.34"
"33.0","TEA PREPARED (SADA)","","CUP","15.0","15.0","15.0","15.0","14.3","15.0","12.0","15.0","13.0","15.0","13.75","15.0","20.0","15.0","11.0","18.0","15.0","14.83"
"34.0","CIGARETTES K-2 (20's)","","20'S","30.0","30.0","28.0","28.0","28.0","30.0","28.0","28.0","28.0","30.0","30.0","30.0","30.0","30.0","32.0","30.0","30.0","29.41"
"35.0","LONG CLOTH","","MTR","132.5","125.0","92.5","95.0","177.5","95.0","157.5","225.0","135.0","130.0","160.0","150.0","130.0","150.0","100.0","110.0","105.0","133.53"
"36.0","SHIRTING","","MTR","125.0","122.5","130.0","125.0","87.5","125.0","130.0","130.0","85.0","92.69","100.0","85.0","90.0","147.92","90.0","125.0","130.0","112.98"
"37.0","LAWN","","MTR","146.25","133.75","159.38","115.0","192.5","118.75","155.0","130.0","136.5","150.0","210.0","187.5","175.0","242.5","118.75","105.0","105.0","151.82"
"38.0","GEORGETTE","","MTR","115.0","112.5","82.5","88.75","82.86","95.0","116.25","80.0","85.0","91.15","95.0","85.0","107.5","85.0","90.0","90.0","90.0","93.62"
"39.0","SANDAL GENTS BATA","","PAIR","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","CHAPPAL SPNG.BATA","(GENTS)","PAIR","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","SANDAL LADIES BATA","","PAIR","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","ELECTRIC CHARGES","","UNIT","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87"
"43.0","GAS CHARGES UPTO 100M3","","MMBTU","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","0.0","142.62","0.0","142.62"
"44.0","KEROSENE","","LTR","120.0","120.0","115.0","115.0","112.0","117.5","109.25","116.5","118.0","118.0","117.0","115.0","120.0","115.67","116.0","109.0","110.0","115.52"
"45.0","FIREWOOD","","40KG","505.0","462.5","600.0","560.0","585.71","517.5","375.0","475.0","500.0","436.15","320.0","340.0","400.0","603.33","337.5","525.0","475.0","471.63"
"46.0","ENERGY SAVOR 14 WATS","","EACH","157.5","157.5","140.0","140.0","145.0","140.0","125.0","150.0","150.0","145.0","145.0","145.0","136.25","160.0","145.0","140.0","140.0","144.78"
"47.0","WASHING SOAP (200-250 GM.)","","CAKE","19.0","19.0","15.0","17.0","35.5","20.0","24.25","22.0","15.0","12.0","24.0","18.0","15.5","17.0","15.5","18.0","25.0","19.51"
"48.0","MATCH BOX","","EACH","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.06"
"49.0","PETROL","","LTR","103.7","103.7","103.9","105.3","103.72","103.9","105.48","104.7","106.15","103.7","104.4","103.8","104.8","104.2","107.1","103.6","104.3","104.5"
"50.0","DIESEL","","LTR","107.3","107.3","107.9","108.5","107.36","107.5","108.78","107.5","109.3","107.3","107.9","107.5","108.5","107.9","109.9","107.3","108.6","108.02"
"51.0","L.P.G.( 11 KG CYLENDER.)","","EACH","1427.5","1415.0","1320.0","1347.5","1333.75","1476.25","1500.0","1402.5","1471.25","1320.0","1361.25","1375.0","1419.0","1515.0","1400.0","1497.38","1525.0","1418.02"
"52.0","TELE. LOCAL CALL","","EACH","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","BATH SOAP LIFEBOUY (STANDARD)","","CAKE","32.0","32.0","32.0","32.0","32.0","32.0","31.0","32.0","32.0","31.5","31.0","31.0","30.0","32.0","32.0","31.0","31.0","31.56"
