"","","","","","Average Monthly Prices of Essential Items, August, 2012","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"1.0","Wheat","10 kg","277.77","277.77","272.8","277.5","270.75","264.75","267.5","270.0","265.5","311.0","282.0","319.2","265.5","296.67","267.0","300.0","270.0","279.75"
"2.0","Wheat Flour, Bag","10 kg","318.5","314.34","260.0","272.0","314.6","304.0","278.0","305.0","260.0","362.0","337.0","328.5","314.0","307.0","318.0","330.0","330.0","309.0"
"3.0","Rice Basmati Broken, Average Quality","1 kg","75.0","72.17","70.0","70.0","68.79","71.0","62.5","69.0","57.5","66.54","60.63","62.75","67.0","73.77","55.5","67.0","60.0","66.42"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","53.5","50.5","50.0","45.0","59.0","57.5","50.0","41.0","45.0","51.54","48.13","42.5","34.2","47.93","54.5","40.0","60.0","48.84"
"5.0","Bread Plain, Medium Size","Each","33.0","33.0","33.0","33.0","33.0","33.0","30.0","33.0","30.0","32.0","36.0","35.0","32.0","30.0","30.0","32.5","35.0","32.56"
"6.0","Beef With Bone, Average quality","1 kg","280.0","256.83","277.5","265.0","271.43","250.0","235.0","259.0","250.0","286.15","280.0","250.0","260.0","253.33","260.0","280.0","280.0","264.37"
"7.0","Mutton, Average Quality","1 kg","565.0","546.67","537.5","500.0","553.93","525.0","462.5","506.0","510.0","546.0","500.0","460.0","500.0","500.0","400.0","520.0","500.0","507.8"
"8.0","Chicken Farm, Broiler, Live","1 kg","158.65","148.0","138.4","141.1","134.56","142.25","144.0","143.5","133.6","131.2","129.75","150.0","140.0","156.93","165.4","160.0","166.0","146.08"
"9.0","Milk, Fresh, Unboiled","1 Ltr","71.88","66.25","70.0","60.0","58.07","57.5","52.5","63.5","55.0","74.0","70.0","62.5","69.0","60.0","58.0","75.0","70.0","64.31"
"10.0","Curd (Dahi)","1 kg","81.25","74.58","80.0","70.0","70.0","62.5","60.0","73.5","60.0","98.62","88.0","72.5","79.0","70.0","68.0","85.0","80.0","74.88"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","82.25","78.2","81.4","85.5","78.29","80.8","80.4","82.53","79.4","77.0","77.6","77.4","77.5","77.83","81.5","88.0","73.0","79.92"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","175.0","175.0","186.96","195.0","185.0","177.5","180.0","183.08","165.0","157.9","180.0","206.67","180.0","180.0","190.0","187.62"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","550.0","550.0","550.0","550.0","550.0","538.0","550.0","550.0","538.0","550.0","538.0","550.0","538.0","538.0","538.0","550.0","550.0","545.76"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","540.0","540.0","540.0","540.0","540.0","528.0","540.0","540.0","528.0","540.0","528.0","540.0","528.0","531.0","531.0","540.0","540.0","536.12"
"16.0","Vegetable Ghee (Loose)","1 kg","173.75","171.75","160.6","162.0","160.43","158.05","160.6","165.0","165.0","167.6","162.5","171.25","175.0","173.83","162.5","187.5","171.0","167.55"
