"1/2/2013 12:55 PM","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of Essential Items December 2012","","","","","","","","","","","","","",""
"S. No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-wala","Sialkot","Lahore","Faisal-abad","Sar-godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuz-dar","Aver-age"
"1.0","Wheat","10 kg","304.38","305.63","305.0","300.0","308.29","300.94","309.38","292.5","303.13","321.25","300.0","323.13","281.25","317.5","296.25","310.0","320.0","305.8"
"2.0","Wheat Flour, Bag","10 kg","341.72","339.8","347.5","325.0","331.25","345.0","327.5","332.5","332.5","386.25","360.0","340.0","342.5","340.84","348.75","340.0","360.0","343.59"
"3.0","Rice Basmati Broken, Average Quality","1 kg","77.5","75.0","75.0","70.0","68.79","72.5","70.0","75.0","57.5","66.54","60.63","65.0","72.5","75.83","50.5","75.0","55.0","68.37"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","57.5","52.5","50.0","45.0","59.0","57.5","50.0","41.0","47.5","51.54","48.75","42.5","30.0","48.59","54.5","40.0","60.0","49.17"
"5.0","Bread Plain, Medium Size","Each","34.5","34.5","33.0","33.0","36.0","36.0","31.25","33.0","35.0","35.0","36.0","37.5","32.0","30.0","30.0","38.75","35.0","34.15"
"6.0","Beef With Bone, Average quality","1 kg","280.0","257.5","277.5","265.0","293.93","250.0","250.0","267.5","250.0","286.15","280.0","250.0","260.0","261.25","260.0","280.0","289.0","268.11"
"7.0","Mutton, Average Quality","1 kg","565.0","556.67","537.5","500.0","553.93","525.0","475.0","533.75","510.0","553.08","500.0","460.0","500.0","500.0","421.25","520.0","500.0","512.42"
"8.0","Chicken Farm, Broiler, Live","1 kg","144.16","135.42","129.0","132.0","126.86","136.25","125.0","136.25","137.0","155.0","148.75","152.0","142.5","147.0","155.0","157.5","186.25","143.88"
"9.0","Milk, Fresh, Unboiled","1 Ltr","71.88","66.25","70.0","60.0","58.07","57.5","52.5","64.33","55.0","74.0","70.0","65.0","70.0","60.0","62.5","75.0","72.5","64.97"
"10.0","Curd (Dahi)","1 kg","81.25","74.58","80.0","70.0","70.0","62.5","60.0","74.33","60.0","98.62","88.0","72.5","80.0","70.0","72.5","85.0","82.75","75.41"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","125.78","122.27","130.25","132.5","119.34","124.5","123.0","126.58","122.5","117.25","120.13","121.5","122.5","124.17","131.25","125.0","121.25","124.1"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","165.0","170.0","178.66","185.0","185.0","177.5","180.0","190.58","160.0","149.0","180.0","223.33","180.0","180.0","190.0","186.27"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","515.0","515.0","515.0","515.0","550.0","550.0","515.0","515.0","515.0","525.0","515.0","515.0","515.0","550.0","550.0","550.0","550.0","527.94"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","505.0","505.0","505.0","505.0","540.0","540.0","505.0","505.0","505.0","515.0","505.0","505.0","515.0","540.0","540.0","540.0","540.0","518.53"
"16.0","Vegetable Ghee (Loose)","1 kg","161.88","154.17","150.0","155.0","153.52","146.5","151.25","162.5","164.0","161.37","160.0","147.5","155.0","164.38","150.31","187.5","175.0","158.82"
"17.0","Bananas","Dozen","83.75","69.58","50.0","51.25","62.77","45.0","57.5","65.0","51.25","43.08","35.0","37.5","43.75","60.84","54.69","65.0","47.5","54.32"
"18.0","Pulse Masoor, Washed","1 kg","111.25","98.75","100.0","110.0","88.57","101.25","107.5","97.5","87.5","85.58","88.75","97.5","102.5","88.33","95.63","100.0","95.0","97.39"
"19.0","Pulse Moong, Washed","1 kg","127.5","113.33","113.75","140.0","103.93","110.0","95.0","97.5","105.0","103.08","117.5","125.0","109.25","105.0","91.88","122.5","120.0","111.78"
"20.0","Pulse Mash, Washed","1 kg","153.75","144.17","143.75","152.5","155.89","145.0","138.75","117.5","110.0","113.08","117.5","145.0","115.5","122.09","120.0","130.0","125.0","132.32"
"21.0","Pulse Gram, Washed","1 kg","114.38","105.83","93.75","97.5","91.43","96.25","92.5","102.5","100.0","100.58","108.75","115.0","107.5","108.75","98.13","110.0","105.0","102.81"
"22.0","Potatoes","1 kg","41.25","34.94","25.63","30.63","28.84","25.78","23.75","27.38","25.25","22.79","24.89","19.88","20.0","26.04","29.88","24.5","24.25","26.8"
"23.0","Onions","1 kg","42.51","36.06","23.13","30.63","28.68","24.69","23.13","25.0","22.5","21.54","20.25","21.13","21.25","33.54","27.5","28.0","20.0","26.44"
"24.0","Tomatoes","1 kg","56.57","46.67","45.0","52.5","48.31","48.75","46.25","50.0","50.63","45.58","45.47","46.25","55.0","33.96","38.13","43.75","30.0","46.05"
"25.0","Sugar, Refined","1 kg","59.31","54.5","53.0","53.25","53.49","53.0","51.38","51.25","51.0","54.31","52.0","50.75","52.5","54.5","52.13","52.25","53.0","53.04"
"26.0","Gur, Average Quality","1 kg","96.88","85.83","65.0","77.5","79.87","75.0","67.5","62.5","62.5","76.54","70.0","58.75","70.0","66.04","77.81","80.0","80.0","73.63"
"27.0","Salt Powder, Loose, Lahori","1 kg","9.5","8.92","9.0","8.0","8.0","7.5","7.5","7.0","10.0","7.0","10.0","8.0","10.0","10.0","6.25","10.0","10.0","8.63"
"28.0","Red Chilly Powder, Loose","1 kg","282.5","248.13","200.0","245.0","209.29","210.63","285.0","185.0","225.0","286.15","270.0","225.0","200.0","248.75","300.63","370.0","280.0","251.24"
