"","","","","","","AVERAGE","","MONTLY PRICES OF ESSENTIAL ITEMS, FEBRUARY","","","","","","2012.0","","","","","","",""
"SL
NO","","DESCRIPTION","UNIT","ISLAM-
ABAD","RAWAL- GUJRAN-
PINDI WALA","","SIAL-
KOT","LAHORE","FAISAL-
ABAD","SAR-
GODHA","MUL-
TAN","BAHA-
WALPUR","KARA-
CHI","HYDER-
ABAD","SUKKUR","LAR-
KANA","PESHA-
WAR","BANNU","QUETTA","KHUZ-
DAR","AVERAGE"
"1.0","WHEAT","","10 KG.","282.5","282.5","277.5","272.5","279.38","266.25","258.13","259.88","260.0","287.5","267.5","285.0","250.0","287.92","269.38","300.0","280.0","274.47"
"2.0","WHEAT FLOUR BAG","","10 KG.","302.5","300.0","300.0","295.0","300.0","295.0","301.5","295.0","300.0","340.0","315.0","307.5","300.0","305.0","320.0","325.0","330.0","307.74"
"3.0","RICE BASMATI BROKEN","","KG.","70.63","65.67","52.5","62.5","60.29","64.5","52.0","61.0","57.5","61.54","56.25","57.5","60.0","66.62","45.5","59.0","50.0","59.0"
"4.0","RICE IRRI-6/9","","KG.","51.88","49.42","47.5","47.5","55.64","50.0","46.0","37.0","45.0","48.62","42.5","37.5","35.0","47.0","46.69","40.0","45.0","45.43"
"5.0","BREAD PLAIN MED.SIZE (340-400 GM.)","","EACH","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","32.0","36.0","35.0","32.0","30.0","30.0","32.5","35.0","31.32"
"6.0","BEEF","","KG.","262.5","247.5","276.25","265.0","253.93","250.0","225.0","255.0","235.0","286.15","270.0","245.0","250.0","250.0","250.0","280.0","270.0","257.14"
"7.0","MUTTON","","KG.","544.06","528.13","525.0","495.0","553.93","490.0","450.0","490.0","440.0","526.15","480.0","455.0","500.0","500.0","385.0","520.0","480.0","491.9"
"8.0","CHICKEN LIVE (FARM)","","KG.","164.14","154.82","148.0","150.38","141.61","153.19","152.75","153.75","154.5","177.0","163.13","176.0","162.5","166.25","172.5","181.25","185.0","162.16"
"9.0","MILK FRESH","","LITR","63.75","55.83","65.0","50.0","52.53","50.0","49.0","57.25","52.5","70.0","66.0","55.0","62.5","54.17","53.13","65.0","65.0","58.04"
"10.0","CURD","","KG.","75.63","61.25","70.0","57.0","61.61","60.0","60.0","66.88","57.5","91.72","84.0","60.0","67.5","63.33","63.13","75.0","80.0","67.91"
"11.0","MILK POWDERED NIDO","","500G","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0"
"12.0","EGG HEN (FARM)","","DOZ.","100.22","95.73","101.75","104.06","96.23","100.63","93.25","95.5","95.25","100.75","102.0","99.75","115.0","99.96","107.5","123.75","127.5","103.46"
"13.0","MUSTARD OIL","","KG.","215.0","205.0","167.5","175.0","182.32","177.94","175.0","181.67","180.0","171.45","168.13","158.0","170.0","188.34","176.25","170.0","180.0","178.92"
"14.0","COOKING OIL (TIN)","","2.5LTR","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0"
"15.0","VEG. GHEE (TIN)","","2.5KG.","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0"
"16.0","VEG.GHEE LOOSE","","KG.","167.97","163.9","158.5","160.88","157.25","157.13","160.0","170.5","169.38","161.44","159.38","173.0","150.0","155.83","155.94","165.63","160.0","161.57"
"17.0","BANANAS","","DOZ.","88.75","75.42","59.38","60.94","65.18","43.75","45.0","65.42","50.0","50.58","41.57","45.0","40.0","54.17","65.63","60.0","43.75","56.15"
"18.0","MASOOR PULSE WASHED","","KG.","110.0","101.25","100.0","103.75","95.27","96.56","100.0","102.5","92.5","81.54","91.56","95.0","111.5","90.0","102.5","100.0","97.5","98.32"
"19.0","MOONG PULSE WASHED","","KG.","123.13","116.67","120.0","140.0","120.43","130.0","108.13","107.88","112.5","113.08","122.5","125.0","131.75","101.0","98.13","125.5","124.5","118.84"
"20.0","MASH PULSE WASHED","","KG.","155.0","149.17","151.0","160.0","152.32","162.0","150.0","142.5","125.0","113.51","121.56","145.0","134.75","136.0","140.0","132.5","133.5","141.4"
"21.0","GRAM PULSE WASHED","","KG.","82.04","77.42","75.0","77.13","72.26","73.5","71.0","75.38","71.63","74.12","73.68","75.63","79.5","78.25","75.0","70.75","76.25","75.21"
"22.0","POTATOES","","KG.","27.35","21.92","15.0","20.0","19.79","17.13","13.5","15.0","18.38","20.43","15.71","15.0","15.0","21.5","18.56","20.0","17.5","18.34"
"23.0","ONIONS","","KG.","50.79","44.8","35.63","40.0","38.64","37.69","33.75","35.0","41.88","36.54","29.38","32.5","37.25","43.96","38.13","34.25","29.25","37.61"
"24.0","TOMATOES","","KG.","57.82","49.59","48.75","52.5","44.85","48.75","41.25","42.5","44.38","41.49","33.75","28.75","37.0","44.58","32.5","41.25","42.5","43.07"
"25.0","SUGAR","","KG.","54.29","50.96","50.25","49.75","50.84","50.38","49.5","48.75","49.5","50.62","49.13","48.88","51.5","50.67","50.0","50.25","50.0","50.31"
