"","","","","","","MONTHLY","","AVERAGE","PRICES OF ESSENTIAL ITEMS, JANUARY,2012","","","","","","","","","","","",""
"SL
NO","","DESCRIPTION","UNIT","ISLAM-
ABAD","RAWAL- GUJRAN-
PINDI WALA","","SIAL-
KOT","LAHORE","FAISAL-
ABAD","SAR-
GODHA","MUL-
TAN","BAHA-
WALPUR","KARA-
CHI","HYDER-
ABAD","SUKKUR","LAR-
KANA","PESHA-
WAR","BANNU","QUETTA","KHUZ-
DAR","AVERAGE"
"1.0","WHEAT","","10 KG.","283.44","283.44","277.5","272.5","276.56","265.94","257.88","263.13","259.38","285.0","265.0","285.0","250.0","290.0","267.5","300.0","280.0","274.25"
"2.0","WHEAT FLOUR BAG","","10 KG.","300.63","298.13","300.0","295.0","300.0","295.0","300.9","300.0","296.25","340.0","315.0","307.5","300.0","302.5","320.0","325.0","330.0","307.41"
"3.0","RICE BASMATI BROKEN","","KG.","70.0","65.67","52.5","62.5","60.29","64.5","53.5","61.0","57.5","59.39","57.5","57.5","60.0","66.33","47.0","59.0","51.25","59.14"
"4.0","RICE IRRI-6","","KG.","50.0","48.67","47.5","47.5","55.64","50.0","47.5","37.0","45.0","48.62","42.5","37.5","35.0","47.0","46.5","40.0","45.0","45.35"
"5.0","BREAD PLAIN MED.SIZE (340-400 GM.)","","EACH","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","32.0","36.0","35.0","32.0","29.5","30.0","32.5","35.0","31.29"
"6.0","BEEF","","KG.","260.0","245.0","272.5","245.0","253.93","250.0","222.5","255.0","235.0","286.15","260.0","245.0","250.0","250.0","247.5","272.5","260.0","253.53"
"7.0","MUTTON","","KG.","530.0","520.83","492.5","495.0","553.93","490.0","442.5","490.0","440.0","526.15","480.0","450.0","495.0","493.33","380.0","505.0","460.0","484.96"
"8.0","CHICKEN LIVE (FARM)","","KG.","161.13","150.46","148.25","151.13","143.86","155.0","156.25","156.25","157.5","175.0","166.88","166.0","160.0","169.75","166.5","166.25","175.0","160.31"
"9.0","MILK FRESH","","LITR","63.75","55.83","65.0","50.0","51.0","50.0","47.5","56.0","52.5","70.0","66.0","55.0","62.5","54.17","52.5","65.0","65.0","57.75"
"10.0","CURD","","KG.","75.63","61.25","70.0","57.0","60.0","60.0","59.38","65.0","57.5","90.62","84.0","60.0","67.5","63.33","62.5","75.0","80.0","67.57"
"11.0","MILK POWDERED NIDO","","500G","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0","245.0"
"12.0","EGG HEN (FARM)","","DOZ.","115.41","111.79","117.25","119.69","110.79","114.06","112.0","114.38","114.25","116.5","116.63","120.0","121.25","115.42","119.38","122.5","123.75","116.77"
"13.0","MUSTARD OIL","","KG.","215.0","205.0","167.5","175.0","183.39","180.0","175.0","180.75","180.0","166.54","168.13","163.75","170.25","190.0","180.0","170.0","180.0","179.43"
"14.0","COOKING OIL (TIN)","","2.5LTR","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0"
"15.0","VEG. GHEE (TIN)","","2.5KG.","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0","495.0"
"16.0","VEG.GHEE LOOSE","","KG.","164.07","160.0","159.0","160.0","157.71","160.19","161.25","172.5","171.25","162.08","159.06","173.0","150.0","155.83","153.75","165.0","160.0","161.45"
"17.0","BANANAS","","DOZ.","85.16","67.5","53.75","53.44","52.86","42.5","47.5","62.5","50.0","45.58","39.38","42.5","43.75","56.25","63.44","60.0","46.25","53.67"
"18.0","MASOOR PULSE WASHED","","KG.","110.0","101.25","100.0","106.88","92.5","97.0","98.13","102.5","100.0","81.54","92.5","95.0","112.0","93.33","102.5","93.75","100.0","98.76"
"19.0","MOONG PULSE WASHED","","KG.","123.13","116.67","133.75","140.0","123.02","131.88","109.38","107.5","122.5","123.08","122.5","125.0","132.63","97.0","100.0","122.5","125.0","120.91"
"20.0","MASH PULSE WASHED","","KG.","155.0","149.17","155.5","160.0","156.21","162.06","150.0","142.5","140.0","115.68","123.75","145.0","131.25","135.83","140.0","134.5","135.0","143.03"
"21.0","GRAM PULSE WASHED","","KG.","78.91","73.21","69.0","69.0","65.57","68.25","66.0","71.88","69.0","71.54","70.94","72.5","74.88","74.67","70.0","65.0","75.0","70.9"
"22.0","POTATOES","","KG.","29.06","22.29","14.25","17.5","19.54","16.88","11.25","15.68","18.0","21.54","16.74","16.88","15.75","21.84","17.94","20.5","20.5","18.6"
"23.0","ONIONS","","KG.","61.25","53.13","46.25","50.0","50.18","44.69","45.0","44.58","45.0","36.54","35.63","36.25","38.38","50.0","41.88","31.75","27.25","43.4"
"24.0","TOMATOES","","KG.","62.66","55.88","46.25","54.38","49.45","53.44","46.0","52.83","50.25","46.01","44.22","36.88","45.0","46.25","44.38","51.25","55.0","49.42"
"25.0","SUGAR","","KG.","55.75","53.08","50.75","50.5","51.93","51.5","50.0","50.5","51.0","51.7","50.25","50.0","53.75","53.25","51.94","51.75","50.75","51.67"
"26.0","GUR","","KG.","101.88","90.42","66.5","70.0","79.29","67.5","53.88","62.09","57.5","71.54","72.81","63.75","74.25","70.21","75.63","80.0","82.5","72.93"
"27.0","SALT POWDERED LOOSE (LAHORI)","","KG.","8.5","8.0","9.0","8.0","8.0","7.5","6.5","7.0","10.0","7.0","8.0","7.0","9.0","10.0","4.0","10.0","10.0","8.09"
"28.0","RED CHILLIES POWDER LOOSE","","KG.","332.5","320.0","320.0","360.0","326.61","295.0","310.0","285.0","275.0","364.23","338.13","350.0","258.75","350.0","363.75","260.0","270.0","316.41"
"29.0","GARLIC","","KG.","130.0","98.33","85.0","92.5","94.2","75.0","94.38","73.96","80.0","89.62","87.5","75.0","88.88","102.5","103.75","105.0","105.0","92.98"
"30.0","TEA (YELLOW LABLE 200 GM.)","","200GM.","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58","131.58"
"31.0","COOKED BEEF PLATE","","EACH","66.25","61.67","52.5","55.0","65.54","70.0","50.0","60.0","55.0","46.54","48.75","65.0","62.5","76.67","50.0","70.0","70.0","60.32"
"32.0","COOKED DAL PLATE","","EACH","41.88","38.75","27.5","30.0","36.79","35.0","30.0","30.0","32.5","31.54","33.75","35.0","39.38","53.33","37.5","45.0","50.0","36.94"
"33.0","TEA PREPARED (SADA)","","CUP","15.0","15.0","14.25","14.25","13.5","15.0","12.0","15.0","13.0","13.62","13.25","15.0","18.13","11.33","11.0","18.0","15.0","14.25"
"34.0","CIGARETTES K-2 (20's)","","20'S","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","28.0","30.0","30.0","30.0","30.0","30.0","28.0","30.0","28.71"
"35.0","LONG CLOTH","","MTR.","122.5","115.0","92.5","95.0","108.75","91.88","124.38","110.0","135.0","78.08","95.0","115.0","117.5","96.67","100.0","82.5","105.0","104.99"
"36.0","SHIRTING","","MTR.","113.75","112.5","130.0","125.0","87.5","125.0","122.5","130.0","85.0","92.69","95.0","85.0","90.0","136.67","75.88","105.0","130.0","108.32"
"37.0","LAWN","","MTR.","97.5","92.5","101.25","105.0","98.13","112.5","105.0","130.0","117.0","120.0","90.0","110.0","158.75","100.0","102.5","95.0","90.0","107.36"
"38.0","GEORGETTE","","MTR.","105.0","102.5","82.5","82.5","82.86","95.0","105.63","80.0","80.0","91.15","85.0","85.0","95.0","74.17","83.75","82.5","85.0","88.09"
"39.0","SANDAL GENTS BATA","","PAIR","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","CHAPPAL SPNG.BATA","(GENTS)","PAIR","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0","139.0"
"41.0","SANDAL LADIES BATA","","PAIR","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","ELECTRIC CHARGES (1-50)","","UNIT","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87","1.87"
"43.0","GAS CHARGES","","MMBTU","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","142.62","0.0","142.62","0.0","142.62"
"44.0","KEROSENE","","LITR","107.0","107.0","104.5","105.0","101.0","100.0","98.0","100.0","105.0","102.31","105.0","100.0","110.0","107.33","105.0","98.0","99.5","103.21"
