"8/1/2012 1:55 PM","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of Essential Items July, 2012","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"1.0","Wheat","10 kg","272.5","272.5","267.5","273.44","264.38","262.57","255.0","253.13","254.69","291.25","263.75","301.0","262.5","280.0","254.38","300.0","280.0","271.09"
"2.0","Wheat Flour, Bag","10 kg","311.25","310.0","280.38","277.5","302.5","300.0","292.5","291.25","288.75","352.5","320.0","311.25","305.0","302.5","305.0","330.0","325.0","306.2"
"3.0","Rice Basmati Broken, Average Quality","1 kg","75.0","72.17","68.13","70.0","68.79","68.75","62.5","69.0","57.5","66.54","60.63","62.5","65.0","74.21","55.25","67.0","55.0","65.76"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","53.5","50.5","50.0","45.0","59.0","55.63","50.0","41.0","45.0","51.54","48.13","42.5","35.5","48.92","54.13","40.0","50.0","48.26"
"5.0","Bread Plain, Medium Size","Each","33.0","33.0","33.0","33.0","33.0","33.0","30.0","33.0","30.0","32.0","36.0","35.0","32.0","30.0","30.0","32.5","35.0","32.56"
"6.0","Beef With Bone, Average quality","1 kg","280.0","254.17","277.5","265.0","263.93","250.0","235.0","255.0","250.0","286.15","280.0","250.0","260.0","250.84","260.0","280.0","280.0","263.39"
"7.0","Mutton, Average Quality","1 kg","565.0","546.67","537.5","500.0","553.93","525.0","462.5","490.0","510.0","526.15","500.0","460.0","500.0","500.0","400.0","520.0","500.0","505.69"
"8.0","Chicken Farm, Broiler, Live","1 kg","189.43","179.11","168.63","170.13","164.36","176.88","171.25","166.25","163.0","138.5","137.5","154.5","151.25","182.5","175.25","167.5","186.25","167.19"
"9.0","Milk, Fresh, Unboiled","1 Ltr","71.88","66.25","70.0","60.0","58.07","57.5","52.5","63.5","55.0","74.0","70.0","58.13","67.5","60.0","57.5","75.0","65.0","63.64"
"10.0","Curd (Dahi)","1 kg","81.25","74.58","80.0","70.0","68.93","62.5","60.0","73.5","60.0","98.62","88.0","70.31","77.5","70.0","67.5","85.0","80.0","74.57"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","285.0","285.0","290.0","290.0","285.0","290.0","290.0","290.0","290.0","290.0","290.0","275.0","275.0","290.0","290.0","287.35"
"12.0","Eggs Hen, Farm","Dozen","77.88","74.48","77.88","84.63","74.79","77.25","78.5","76.5","74.0","75.75","76.38","74.0","75.0","73.75","78.13","85.0","76.75","77.1"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","173.75","173.75","186.96","194.38","182.5","177.5","180.0","183.08","162.19","158.0","177.5","208.34","180.0","180.0","190.0","187.09"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","546.25","550.0","546.25","546.25","546.25","550.0","550.0","549.12"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","540.0","540.0","540.0","540.0","540.0","540.0","540.0","540.0","540.0","540.0","536.25","540.0","536.25","536.25","536.25","540.0","540.0","539.12"
