"","","","","","","","AVERAGE MONTHLY PRICES OF ESSENTIAL ITEMS, JUNE 2012","","","","","","","","","","","","","",""
"SL
NO","","DESCRIPTION","UNIT","ISLAM-
ABAD","RAWAL-
PINDI","GUJRAN-
WALA","SIAL-
KOT","LAHORE","FAISAL-
ABAD","SAR-
GODHA","MUL-
TAN","BAHA-
WALPUR","KARA-
CHI","HYDER-
ABAD","SUKKUR","LAR-
KANA","PESHA-
WAR","BANNU","QUETTA","KHUZ-
DAR","AVERAGE"
"1.0","WHEAT","","10 KG","270.0","270.0","268.25","264.06","263.75","262.5","256.41","256.88","258.13","285.0","260.0","295.0","262.5","280.0","259.38","300.0","280.0","270.11"
"2.0","WHEAT FLOUR BAG","","10 KG","311.25","310.0","296.5","290.0","300.0","300.0","300.0","295.0","305.0","350.0","320.0","307.5","302.5","302.5","310.0","330.0","325.0","309.14"
"3.0","RICE BASMATI BROKEN","","KG","75.0","72.17","66.88","70.0","68.14","68.5","62.5","69.0","57.5","66.54","60.63","62.5","61.25","73.86","55.0","67.0","55.0","65.38"
"4.0","RICE IRRI-6/9","","KG","53.5","50.5","49.38","45.0","58.45","55.0","48.13","41.0","45.0","51.54","48.13","42.5","38.0","49.33","53.25","40.0","50.0","48.16"
"5.0","BREAD PLAIN MED.SIZE (340-400 GM.)","","EACH","33.0","33.0","33.0","33.0","33.0","33.0","30.0","33.0","30.0","32.0","36.0","35.0","32.0","30.0","30.0","32.5","35.0","32.56"
"6.0","BEEF","","KG","280.0","254.17","277.5","265.0","261.43","250.0","235.0","255.0","250.0","286.15","280.0","250.0","260.0","250.0","260.0","280.0","280.0","263.19"
"7.0","MUTTON","","KG","556.88","545.0","537.5","496.25","553.93","525.0","462.5","490.0","510.0","526.15","495.0","460.0","500.0","500.0","400.0","520.0","500.0","504.6"
"8.0","CHICKEN LIVE (FARM)","","KG","162.81","152.36","150.0","152.63","147.36","154.88","155.63","152.38","154.5","140.0","136.88","156.0","145.0","168.0","159.88","156.25","177.5","154.24"
"9.0","MILK FRESH","","LTR","70.0","60.73","70.0","57.5","57.61","57.5","49.88","62.88","54.38","74.0","70.0","57.38","63.75","60.0","57.5","75.0","65.0","62.54"
"10.0","CURD","","KG","78.75","68.33","80.0","66.75","68.48","62.5","60.0","72.88","59.38","98.62","88.0","70.0","75.63","70.0","67.5","85.0","80.0","73.64"
"11.0","MILK POWDERED NIDO","","400GM","280.0","280.0","270.0","270.0","280.0","280.0","270.0","275.0","280.0","280.0","280.0","280.0","270.0","270.0","270.0","275.0","280.0","275.88"
"12.0","EGG HEN (FARM)","","DOZ","72.85","69.23","72.75","73.13","69.29","72.25","66.5","68.63","67.0","69.0","69.75","69.5","68.13","70.0","76.25","85.63","80.0","71.76"
"13.0","MUSTARD OIL","","KG","235.0","226.67","170.0","170.0","186.96","185.0","175.0","177.5","180.0","183.08","162.5","151.63","177.5","210.0","180.0","180.0","190.0","184.76"
"14.0","COOKING OIL (TIN)","","2.5 LTR","550.0","550.0","532.5","532.5","550.0","550.0","550.0","550.0","550.0","523.75","515.0","550.0","550.0","515.0","541.25","541.25","550.0","541.25"
"15.0","VEG. GHEE (TIN)","","2.5KG","540.0","540.0","527.5","527.5","540.0","540.0","540.0","540.0","540.0","521.25","515.0","540.0","540.0","515.0","533.75","533.75","540.0","533.75"
"16.0","VEG.GHEE LOOSE","","KG","173.75","172.75","164.63","168.13","162.93","160.25","165.5","167.0","171.0","176.44","164.53","172.13","175.0","172.09","164.38","187.5","185.0","170.77"
"17.0","BANANAS","","DOZ","160.0","135.0","157.5","158.75","113.93","70.0","138.75","89.38","96.25","73.85","58.13","105.0","50.0","87.92","121.25","70.0","61.25","102.76"
"18.0","MASOOR PULSE WASHED","","KG","118.13","106.25","100.0","110.63","99.29","101.19","105.0","103.75","97.5","83.08","91.25","97.5","102.5","88.33","97.5","107.63","102.0","100.68"
"19.0","MOONG PULSE WASHED","","KG","131.88","123.33","120.0","140.0","120.43","127.81","115.0","111.67","120.0","123.08","121.25","125.0","128.75","100.33","110.0","127.5","130.0","122.12"
"20.0","MASH PULSE WASHED","","KG","156.88","151.67","150.0","160.0","155.71","156.5","150.0","131.25","125.0","103.08","120.0","145.0","142.5","128.33","120.63","135.0","132.0","139.03"
"21.0","GRAM PULSE WASHED","","KG","113.75","108.33","102.5","110.0","107.32","104.38","100.0","108.0","112.5","101.54","114.06","115.0","117.5","110.0","106.88","112.5","107.5","108.93"
"22.0","POTATOES","","KG","35.44","30.42","29.38","29.38","28.98","27.97","22.5","33.13","25.0","21.54","20.63","19.25","20.0","28.33","23.06","26.0","27.75","26.4"
"23.0","ONIONS","","KG","33.44","25.21","17.5","20.0","20.04","21.56","17.25","17.21","18.5","23.08","21.25","19.13","19.38","22.04","20.0","24.5","25.75","21.52"
"24.0","TOMATOES","","KG","29.03","21.46","18.13","21.56","22.29","25.63","16.25","23.71","23.13","30.0","25.75","24.38","31.88","16.17","15.38","29.5","28.75","23.7"
"25.0","SUGAR","","KG","58.31","55.82","54.63","54.13","55.89","54.53","53.88","53.38","54.38","54.62","54.13","52.75","55.0","55.29","54.88","54.75","55.63","54.82"
"26.0","GUR","","KG","91.88","82.08","75.25","74.38","83.21","72.5","62.5","63.75","62.5","66.54","70.0","62.5","67.5","66.67","72.19","80.0","80.0","72.56"
"27.0","SALT POWDERED LOOSE (LAHORI)","","KG","9.5","8.92","9.0","8.0","8.0","7.5","7.5","7.0","10.0","7.0","10.0","8.0","10.0","10.0","4.0","10.0","10.0","8.5"
