"","","","","MONTHLY AVERAGE PRICES OF ESSENTIAL ITEMS, MARCH 2012","","","","","","","","","","","","","","","",""
"SL
NO","DESCRIPTION","UNIT","ISLAM-
ABAD","RAWAL-GUJRAN-
PINDI WALA","","SIAL-
KOT","LAHORE","FAISAL-
ABAD","SAR-
GODHA","MUL-
TAN","BAHA-
WALPUR","KARA-
CHI","HYDER- SUKKUR
ABAD","","LAR-
KANA","PESHA-
WAR","BANNU QUETTA","","KHUZ-
DAR","AVERAGE"
"1.0","WHEAT","10 KG.","278.5","278.5","277.5","272.5","279.38","263.75","258.5","262.5","262.25","290.0","270.0","293.0","259.0","288.67","269.0","300.0","280.0","275.47"
"2.0","WHEAT FLOUR AV. QLT.","10 KG.","302.5","300.0","300.0","295.0","300.0","296.5","302.5","299.0","304.0","346.0","317.0","307.5","306.0","302.08","319.0","327.0","330.0","309.06"
"3.0","RICE BASMATI BROKEN","KG.","72.5","65.67","58.5","64.0","62.47","64.5","50.0","62.5","57.5","61.54","56.25","57.5","60.0","67.6","45.25","63.8","52.5","60.12"
"4.0","RICE IRRI-6","KG.","52.5","49.67","47.5","47.5","56.33","50.0","47.5","38.8","45.0","48.62","42.5","37.5","35.0","48.8","48.65","40.6","45.0","45.97"
"5.0","BREAD PLAIN MID.SIZE","EACH","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","30.0","32.0","36.0","35.0","32.0","30.0","30.0","32.5","35.0","31.32"
"6.0","BEEF","KG.","265.0","250.0","277.5","265.0","253.93","250.0","225.0","255.0","245.0","286.15","280.0","250.0","250.0","250.0","250.0","280.0","280.0","259.56"
"7.0","MUTTON","KG.","548.75","534.0","537.5","495.0","553.93","512.5","450.0","490.0","484.0","526.15","480.0","460.0","500.0","500.0","385.0","520.0","500.0","498.64"
"8.0","CHICKEN (FARM)","KG.","151.23","140.69","148.6","153.8","146.96","156.3","151.0","155.5","153.6","153.6","143.5","176.0","157.5","152.8","170.9","171.0","184.0","156.88"
"9.0","MILK FRESH","LITR","66.63","57.5","65.0","50.0","53.0","50.0","49.0","57.93","52.5","70.0","66.0","55.0","62.5","58.33","55.0","70.0","65.0","59.02"
"10.0","CURD","KG.","76.88","64.17","70.0","57.0","62.1","60.0","60.0","67.83","57.5","92.62","84.0","60.0","67.5","68.0","65.0","80.0","80.0","68.98"
"11.0","MILK POTDERED NIDO","500G","255.0","255.0","255.0","255.0","255.0","255.0","245.0","250.0","245.0","255.0","255.0","255.0","248.0","245.0","245.0","250.0","245.0","251.06"
"12.0","EGG HEN (FARM)","DOZ.","91.1","85.77","91.4","91.0","85.49","90.6","83.4","83.5","83.8","88.4","86.6","89.2","98.5","92.3","91.0","104.0","101.0","90.42"
"13.0","MUSTARD OIL","KG.","219.0","209.33","169.0","175.0","183.25","177.05","175.0","181.84","180.0","173.08","168.13","159.6","170.0","190.0","178.0","170.0","185.0","180.19"
"14.0","COOKING OIL (TIN)","2.5LTR","499.0","499.0","499.0","499.0","499.0","495.0","495.0","499.0","499.0","499.0","499.0","499.0","495.0","499.0","495.0","495.0","495.0","497.59"
"15.0","VEG. GHEE (TIN)","2.5KG.","499.0","499.0","499.0","499.0","499.0","495.0","495.0","499.0","499.0","499.0","499.0","499.0","495.0","499.0","495.0","495.0","495.0","497.59"
"16.0","VEG.GHEE LOOSE","KG.","170.88","169.35","168.8","172.0","168.81","173.85","167.0","180.4","180.4","168.48","166.75","173.0","163.5","173.17","169.25","167.5","162.0","170.3"
"17.0","BANANAS","DOZ.","111.25","95.5","78.5","79.0","78.96","42.5","47.0","86.52","50.0","53.08","43.75","45.0","41.0","60.0","79.25","61.0","55.5","65.17"
"18.0","MASOOR PULSE TASHED","KG.","113.75","105.0","102.0","108.0","104.29","99.0","100.0","106.5","94.5","94.81","91.25","95.5","111.2","91.67","100.0","105.0","105.0","101.62"
"19.0","MOONG PULSE TASHED","KG.","128.13","120.0","121.0","140.0","120.43","130.0","110.0","115.8","120.0","123.08","130.0","125.0","135.5","101.67","108.0","128.4","125.6","122.51"
"20.0","MASH PULSE TASHED","KG.","155.0","149.17","154.4","160.0","155.03","161.1","150.0","142.5","130.0","124.81","123.75","145.0","132.2","136.47","140.0","140.0","139.0","143.44"
