"6/13/2013 12:32 PM","","","","","","","","","","","","","","","","","","","",""
"","","","","","Average Monthly Prices of Essential Items October 2012","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"1.0","Wheat","10 kg","287.5","287.5","275.0","287.5","282.4","275.0","271.25","278.75","280.63","310.0","297.5","321.88","278.75","300.0","281.25","310.0","280.0","288.52"
"2.0","Wheat Flour, Bag","10 kg","340.63","339.17","312.5","320.0","325.0","340.0","316.25","325.0","325.0","370.0","360.94","336.25","348.75","325.0","336.25","340.0","330.0","334.75"
"3.0","Rice Basmati Broken, Average Quality","1 kg","75.0","72.17","70.0","70.0","68.79","72.5","68.0","75.0","57.5","66.54","60.63","66.25","72.5","75.0","55.5","72.5","60.0","68.11"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","53.5","50.5","50.0","45.0","59.0","57.5","50.0","41.0","47.5","51.54","48.75","42.5","33.75","48.33","54.5","40.0","60.0","49.02"
"5.0","Bread Plain, Medium Size","Each","33.0","33.0","33.0","33.0","33.0","33.0","30.0","33.0","33.0","35.0","36.0","36.88","32.0","30.0","30.0","35.0","35.0","33.17"
"6.0","Beef With Bone, Average quality","1 kg","280.0","257.5","277.5","265.0","293.93","250.0","250.0","265.0","250.0","286.15","280.0","250.0","260.0","258.33","260.0","280.0","280.0","267.26"
"7.0","Mutton, Average Quality","1 kg","565.0","546.67","537.5","500.0","553.93","525.0","475.0","530.0","510.0","553.08","500.0","460.0","500.0","500.0","405.0","520.0","500.0","510.66"
"8.0","Chicken Farm, Broiler, Live","1 kg","117.63","105.34","96.5","100.63","98.34","110.31","100.0","114.0","107.5","119.0","121.38","124.0","125.0","117.0","151.88","145.0","193.75","120.43"
"9.0","Milk, Fresh, Unboiled","1 Ltr","71.88","66.25","70.0","60.0","58.07","57.5","52.5","63.92","55.0","74.0","70.0","65.0","70.0","60.0","60.0","75.0","70.0","64.65"
"10.0","Curd (Dahi)","1 kg","81.25","74.58","80.0","70.0","70.0","62.5","60.0","73.92","60.0","98.62","88.0","72.5","80.0","70.0","70.0","85.0","80.0","75.08"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","106.31","101.27","106.5","110.0","102.22","105.56","102.75","109.0","103.5","104.0","104.38","105.5","101.88","106.04","109.06","112.5","101.25","105.4"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","165.0","167.5","186.96","187.5","185.0","177.5","180.0","183.08","160.55","144.25","180.0","223.33","180.0","180.0","190.0","186.07"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","532.5","532.5","532.5","523.75","550.0","550.0","523.75","523.75","523.75","538.75","538.75","550.0","550.0","550.0","550.0","550.0","550.0","539.41"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","522.5","522.5","522.5","513.75","540.0","540.0","513.75","513.75","513.75","528.75","528.75","540.0","540.0","540.0","540.0","540.0","540.0","529.41"
"16.0","Vegetable Ghee (Loose)","1 kg","166.1","160.0","150.5","158.13","156.39","150.47","152.5","159.92","161.75","167.07","160.0","171.25","160.0","170.32","156.88","187.5","172.5","162.43"
"17.0","Bananas","Dozen","100.78","85.63","48.75","47.5","70.32","46.25","46.25","60.84","55.0","53.47","41.25","52.5","43.13","68.75","61.56","65.0","66.25","59.6"
"18.0","Pulse Masoor, Washed","1 kg","111.25","98.75","100.0","106.88","89.56","100.94","105.0","97.5","88.75","86.54","91.25","97.5","95.0","91.67","93.75","105.0","92.5","97.17"
"19.0","Pulse Moong, Washed","1 kg","127.5","113.33","120.0","140.0","114.14","112.5","110.0","97.5","110.0","116.54","118.75","125.0","110.0","105.84","92.5","120.75","120.0","114.96"
"20.0","Pulse Mash, Washed","1 kg","153.75","144.17","150.0","160.0","150.71","144.69","145.0","118.75","115.0","113.11","117.5","145.0","125.0","122.92","120.0","129.5","125.0","134.12"
"21.0","Pulse Gram, Washed","1 kg","118.75","109.58","96.25","104.38","97.5","97.44","97.5","101.25","105.0","113.08","112.5","115.0","110.0","109.17","100.0","110.0","105.0","106.02"
"22.0","Potatoes","1 kg","46.88","44.58","40.0","30.0","38.57","35.63","31.25","42.61","31.25","21.54","21.25","19.5","20.0","28.34","23.81","21.0","22.25","30.5"
"23.0","Onions","1 kg","60.79","53.85","40.0","46.25","42.95","41.25","37.5","41.25","44.38","43.66","37.5","35.06","39.38","40.0","37.5","27.5","32.5","41.25"
"24.0","Tomatoes","1 kg","68.28","60.73","47.5","56.25","53.98","52.81","48.75","52.42","49.38","60.58","49.38","57.5","54.38","48.84","35.81","32.5","30.0","50.53"
"25.0","Sugar, Refined","1 kg","58.25","54.46","53.25","53.5","54.34","52.88","52.13","52.0","52.0","54.03","51.72","51.38","52.88","53.75","53.38","53.85","54.25","53.41"
"26.0","Gur, Average Quality","1 kg","94.38","83.96","71.25","70.0","82.81","68.13","67.5","67.5","65.0","69.04","70.0","66.25","77.5","67.92","77.5","80.0","72.5","73.6"
"27.0","Salt Powder, Loose, Lahori","1 kg","9.5","8.92","9.0","8.0","8.0","7.5","7.5","7.0","10.0","7.0","10.0","8.0","10.0","10.0","6.0","10.0","10.0","8.61"
"28.0","Red Chilly Powder, Loose","1 kg","313.75","298.75","285.0","287.5","238.22","233.75","302.5","195.0","250.0","386.23","292.5","225.0","220.0","268.75","340.0","367.5","280.0","281.44"
"29.0","Garlic","1 kg","162.5","146.67","88.75","125.63","111.87","106.25","92.5","112.71","131.25","108.08","120.0","110.0","120.0","96.67","123.75","120.0","132.5","118.18"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","133.95","133.95","133.43","130.53","130.53","133.95","130.53","133.95","133.95","130.53","130.53","130.53","130.53","130.53","130.53","130.53","130.53","131.71"
"31.0","Cooked Beef, Average Hotel","Plate","71.25","65.83","55.0","57.5","65.54","70.0","70.0","60.0","60.0","56.54","55.0","65.0","62.5","80.0","69.38","70.0","100.0","66.68"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","30.0","32.5","41.79","37.5","32.5","30.0","32.5","35.0","37.5","35.0","40.0","60.0","40.0","45.0","50.0","39.22"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.57","15.0","15.0","15.0","14.0","15.0","14.5","15.0","20.0","15.0","11.0","18.0","15.0","15.12"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","32.0","32.0","33.0","32.0","33.0","33.0","32.0","32.0","30.0","30.0","32.03"
"35.0","Long Cloth","1 mtr","132.5","125.0","97.5","115.0","187.5","95.0","175.0","225.0","135.0","140.0","170.0","150.0","175.0","150.0","115.0","110.0","140.0","143.38"
"36.0","Shirting","1 mtr","125.0","122.5","140.0","125.0","87.5","125.0","130.0","130.0","102.5","106.15","110.0","85.0","90.0","156.67","100.0","125.0","150.0","118.25"
"37.0","Lawn","1 mtr","146.25","133.75","162.5","125.0","192.5","125.0","170.0","130.0","136.5","175.0","210.0","225.0","190.0","250.0","130.0","105.0","115.0","160.09"
"38.0","Georgette","1 mtr","115.0","112.5","105.0","105.0","82.86","95.0","120.0","80.0","98.75","91.15","100.0","85.0","120.0","85.0","92.5","90.0","90.0","98.1"
"39.0","Sandal Bata (Gents)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0","399.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","116.0","0.0","116.0","0.0","116.0"
"44.0","Kerosene Oil","1 Ltr","124.0","124.0","121.0","124.5","110.95","117.38","107.88","124.25","121.5","120.0","120.25","114.63","128.75","119.42","120.5","111.5","117.5","119.29"
"45.0","Firewood Whole","40 kg","513.75","468.96","575.0","560.0","596.79","525.0","390.0","475.0","500.0","436.15","325.0","345.0","400.0","586.67","387.5","525.0","450.0","474.11"
"46.0","Energy Saver (14 watts)","Each","157.5","157.5","145.0","145.0","145.0","150.0","145.0","150.0","150.0","145.0","150.0","145.0","140.0","160.0","145.0","140.0","145.0","147.94"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","17.0","36.0","20.0","35.0","22.0","16.0","14.0","24.0","18.0","20.0","17.0","16.5","18.0","25.0","20.74"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","Petrol, Super","1 Ltr","103.43","103.39","103.53","105.55","103.46","103.42","105.3","104.55","105.91","103.43","104.7","103.55","104.8","103.53","107.03","103.93","105.62","104.42"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","112.97","112.93","113.1","114.8","112.99","112.88","114.55","113.9","114.95","112.95","113.8","113.08","114.4","113.03","115.6","113.21","114.64","113.75"
"51.0","LPG Cylinder, 11kg","Each","1515.0","1495.0","1540.0","1443.75","1430.0","1550.0","1600.0","1590.0","1650.0","1375.0","1430.0","1471.25","1518.0","1622.5","1525.0","1520.0","1487.5","1515.47"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59","3.59"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
