"","","","","","","Average Monthly Prices of Essential Items, September 2012","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-age"
"1.0","Wheat","10 kg","287.5","287.5","284.5","287.5","279.22","275.0","271.13","276.88","275.0","303.75","293.75","320.0","273.75","300.0","281.25","310.0","290.0","288.04"
"2.0","Wheat Flour, Bag","10 kg","340.63","339.17","325.0","320.0","325.0","330.0","317.5","321.25","340.0","370.0","357.03","332.5","337.5","324.38","336.25","340.0","330.0","334.48"
"3.0","Rice Basmati Broken, Average Quality","1 kg","75.0","72.17","70.0","70.0","68.79","72.13","62.5","73.63","57.5","66.54","60.63","67.5","68.75","75.0","55.5","68.5","60.0","67.3"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","53.5","50.5","50.0","45.0","59.0","57.5","50.0","41.0","46.25","51.54","48.75","42.5","35.5","48.33","54.5","40.0","60.0","49.05"
"5.0","Bread Plain, Medium Size","Each","33.0","33.0","33.0","33.0","33.0","33.0","30.0","33.0","30.0","33.5","36.0","35.0","32.0","30.0","30.0","32.5","35.0","32.65"
"6.0","Beef With Bone, Average quality","1 kg","280.0","257.5","277.5","265.0","288.31","250.0","246.25","265.0","250.0","286.15","280.0","250.0","260.0","253.33","260.0","280.0","280.0","266.41"
"7.0","Mutton, Average Quality","1 kg","565.0","546.67","537.5","500.0","553.93","525.0","468.75","530.0","510.0","553.08","500.0","460.0","500.0","500.0","400.0","520.0","500.0","510.0"
"8.0","Chicken Farm, Broiler, Live","1 kg","126.26","113.82","119.75","109.63","106.13","116.56","111.25","111.38","109.0","138.5","134.38","157.0","127.5","133.0","167.38","155.0","171.25","129.87"
"9.0","Milk, Fresh, Unboiled","1 Ltr","71.88","66.25","70.0","60.0","58.07","57.5","52.5","63.5","55.0","74.0","70.0","65.0","70.0","60.0","60.0","75.0","70.0","64.63"
"10.0","Curd (Dahi)","1 kg","81.25","74.58","80.0","70.0","70.0","62.5","60.0","73.5","60.0","98.62","88.0","72.5","80.0","70.0","70.0","85.0","80.0","75.06"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","93.75","89.5","93.0","97.5","89.95","93.38","90.5","96.25","93.0","87.5","88.38","87.5","83.75","90.92","95.63","95.0","77.5","90.77"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","173.75","173.75","186.96","195.0","185.0","177.5","180.0","183.08","165.0","153.63","180.0","216.67","180.0","180.0","190.0","187.81"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0","550.0"
