"02/05/2013 14:48","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of Essential Items April 2013","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"1.0","Wheat","10 kg","330.75","330.75","340.63","337.5","316.1","304.54","315.31","288.75","296.25","345.0","290.0","297.5","325.0","327.29","305.0","325.0","305.0","316.49"
"2.0","Wheat Flour, Bag","10 kg","345.0","342.5","337.5","345.0","345.0","361.25","352.5","340.0","342.5","383.94","366.88","352.59","351.25","351.04","355.0","355.0","350.0","351.59"
"3.0","Rice Basmati Broken, Average Quality","1 kg","81.88","77.08","70.0","75.0","72.36","78.0","66.0","77.5","62.5","71.54","65.0","62.5","75.0","79.9","57.75","75.0","60.0","71.0"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","60.0","56.67","50.0","45.0","60.43","61.38","50.0","41.0","52.5","51.54","48.75","55.0","40.0","48.65","54.5","40.0","55.0","51.2"
"5.0","Bread Plain, Medium Size","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","40.0","36.0","37.5","32.0","30.0","30.0","38.75","35.0","35.49"
"6.0","Beef With Bone, Average quality","1 kg","290.0","272.5","277.5","275.0","293.93","252.5","250.0","275.0","261.25","286.15","280.0","253.75","250.0","263.33","260.0","280.0","289.0","271.17"
"7.0","Mutton, Average Quality","1 kg","595.0","581.25","537.5","575.0","609.29","550.0","484.38","545.0","530.63","553.08","515.0","460.0","500.0","533.75","425.0","520.0","500.0","530.29"
"8.0","Chicken Farm, Broiler, Live","1 kg","137.57","129.33","127.0","129.5","123.54","134.06","126.25","130.34","125.5","127.77","125.63","134.0","135.0","142.0","157.5","142.5","192.5","136.47"
"9.0","Milk, Fresh, Unboiled","1 Ltr","74.07","67.29","70.0","60.0","58.07","58.75","50.0","67.67","55.0","74.0","70.0","65.0","80.0","60.0","62.5","75.0","72.5","65.87"
"10.0","Curd (Dahi)","1 kg","83.44","75.0","80.0","70.0","70.0","65.0","60.0","77.67","60.0","98.62","88.0","72.5","80.0","70.0","72.5","90.0","82.75","76.2"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","77.16","72.81","77.5","79.38","72.48","77.44","69.75","73.42","73.0","74.17","74.03","75.5","86.88","80.09","84.38","93.75","73.75","77.38"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","161.25","161.25","171.34","185.0","175.0","177.5","175.0","193.08","163.13","138.75","177.5","226.67","195.0","180.0","190.0","184.88"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","535.0","535.0","525.0","525.0","525.0","535.0","525.0","535.0","545.0","535.0","525.0","525.0","525.0","530.0","525.0","525.0","527.5","529.56"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0"
"16.0","Vegetable Ghee (Loose)","1 kg","161.88","154.17","150.25","149.69","154.7","142.13","147.0","155.0","159.0","161.54","157.5","148.75","145.0","165.0","149.69","180.0","170.0","155.96"
"17.0","Bananas","Dozen","117.5","89.17","60.0","60.0","57.59","55.0","53.75","68.33","55.0","53.08","49.38","55.0","41.25","75.0","65.63","60.0","66.25","63.64"
"18.0","Pulse Masoor, Washed","1 kg","111.25","101.5","100.0","110.0","101.79","105.0","105.0","101.71","101.25","88.08","95.31","95.0","102.5","97.71","95.0","121.25","91.25","101.39"
"19.0","Pulse Moong, Washed","1 kg","133.75","116.25","110.0","140.0","106.21","115.0","105.0","106.25","111.25","113.08","120.32","110.0","115.0","100.0","99.06","131.0","120.0","114.83"
"20.0","Pulse Mash, Washed","1 kg","153.75","140.42","140.0","145.0","147.32","145.0","140.0","117.5","115.0","103.08","117.5","131.25","113.25","112.61","120.0","130.0","125.0","129.22"
"21.0","Pulse Gram, Washed","1 kg","104.38","88.65","77.5","80.0","76.26","82.63","76.88","82.08","85.0","83.08","93.75","98.75","97.5","92.5","81.88","94.0","101.25","88.01"
"22.0","Potatoes","1 kg","33.13","26.67","17.5","20.0","20.71","17.38","13.88","19.63","16.38","20.39","19.0","18.5","18.75","25.58","19.13","20.0","18.75","20.32"
"23.0","Onions","1 kg","65.47","58.43","47.5","57.5","53.22","53.06","51.25","45.38","51.88","48.08","48.44","41.88","48.75","60.0","57.19","48.75","42.5","51.72"
"24.0","Tomatoes","1 kg","64.22","54.27","55.0","60.0","54.79","56.25","49.38","51.29","46.25","38.08","40.0","34.38","32.5","50.63","42.5","42.5","40.0","47.77"
"25.0","Sugar, Refined","1 kg","58.5","54.42","52.75","53.5","54.36","53.13","52.63","52.25","52.0","53.37","52.0","52.0","51.5","53.92","53.5","52.0","51.0","53.11"
"26.0","Gur, Average Quality","1 kg","96.88","85.83","72.5","77.5","76.9","77.5","62.5","65.63","61.25","76.54","70.0","63.13","59.5","69.58","71.25","80.0","70.0","72.73"
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","8.0","8.0","7.5","7.5","9.0","10.0","9.31","10.0","8.0","10.0","10.0","6.0","10.0","10.0","8.94"
"28.0","Red Chilly Powder, Loose","1 kg","261.25","228.33","200.0","225.0","204.72","196.25","215.0","168.12","210.0","246.15","242.5","250.0","185.0","195.0","230.0","275.0","250.0","222.49"
"29.0","Garlic","1 kg","190.63","168.86","86.25","121.25","135.89","110.0","90.63","112.5","203.13","125.58","160.0","148.75","150.0","118.12","151.88","130.0","141.25","137.92"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","163.16","163.16","163.16","163.16","163.16","163.16","163.16","163.16","163.16","163.16","163.16","163.16","163.16","163.16","153.69","153.69","153.69","161.49"
"31.0","Cooked Beef, Average Hotel","Plate","76.25","70.83","57.5","57.5","72.86","70.0","70.0","70.0","60.0","56.54","58.75","65.0","60.0","80.0","80.0","80.0","120.0","70.9"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","32.5","32.5","47.86","37.5","32.5","30.0","32.5","36.54","37.5","35.0","40.0","60.0","45.0","55.0","60.0","41.29"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.89","15.0","15.0","15.0","15.0","15.0","15.0","18.75","20.0","15.0","15.0","18.0","15.0","15.68"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","33.0","32.0","33.0","32.0","33.0","32.0","32.0","32.0","35.0","30.0","32.32"
"35.0","Long Cloth","1 mtr","155.0","145.0","107.5","115.0","187.5","122.5","180.0","225.0","162.5","140.0","180.0","230.0","195.0","242.92","128.75","125.0","187.5","166.42"
"36.0","Shirting","1 mtr","145.0","142.5","140.0","125.0","98.57","125.0","140.0","130.0","115.0","106.15","120.0","120.0","120.0","225.0","112.5","125.0","160.0","132.34"
"37.0","Lawn","1 mtr","167.5","152.5","172.5","172.5","192.5","137.5","175.0","130.0","139.5","170.0","210.0","280.0","230.0","250.0","157.5","130.0","162.5","178.21"
"38.0","Georgette","1 mtr","125.0","122.5","105.0","105.0","82.86","95.0","135.0","90.0","110.0","91.15","100.0","125.0","130.0","106.67","92.5","90.0","95.63","105.96"
"39.0","Sandal Bata (Gents)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","0.0","123.12","0.0","123.12"
"44.0","Kerosene Oil","1 Ltr","121.0","121.0","119.75","121.0","108.5","114.5","106.0","119.0","118.0","120.0","118.0","112.5","130.0","117.67","121.0","107.0","120.0","117.35"
"45.0","Firewood Whole","40 kg","625.0","583.33","625.0","600.0","652.86","550.0","400.0","510.0","500.0","460.0","350.0","350.0","400.0","618.33","413.75","525.0","400.0","503.72"
"46.0","Energy Saver (14 watts)","Each","158.75","158.75","155.0","145.0","165.0","153.75","156.0","160.0","165.0","150.0","155.0","150.0","160.0","160.0","152.5","180.0","150.0","157.34"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","20.0","36.0","20.0","37.0","22.0","18.0","14.0","24.0","18.0","20.0","17.0","20.0","18.0","25.0","21.35"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.23","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.1"
"49.0","Petrol, Super","1 Ltr","102.6","102.6","102.9","104.8","102.65","102.7","105.4","103.3","105.2","102.6","103.7","102.8","104.1","102.7","106.2","102.6","103.8","103.57"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","108.9","108.85","109.2","110.9","108.95","109.0","111.3","109.5","111.0","108.9","109.6","109.0","110.5","109.0","111.6","108.9","110.2","109.72"
"51.0","LPG Cylinder, 11kg","Each","1375.0","1355.0","1265.0","1306.25","1251.25","1430.0","1387.5","1357.5","1375.0","1237.5","1292.5","1347.5","1421.75","1485.0","1364.38","1450.0","1350.0","1355.95"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
