"9/2/2013 1:48 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of Aug 2013","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Aug 13 Jul 13 Aug 12","","","%change Aug 13 over
Jul 13 Aug 12",""
"1.0","Wheat","10 kg","340.5","346.5","347.5","354.9","345.75","345.25","338.5","351.5","343.5","364.0","360.0","374.75","352.5","340.0","354.5","357.0","330.0","349.8","331.57","279.75","5.5","25.04"
"2.0","Wheat Flour, Bag","10 kg","405.3","402.38","399.0","398.5","385.4","386.25","366.0","379.0","371.0","455.0","422.0","400.0","388.0","399.0","413.2","400.0","354.0","395.53","380.8","309.0","3.87","28.0"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","77.5","77.5","74.13","81.25","64.0","77.5","62.5","76.54","65.63","65.0","80.0","78.33","57.75","90.0","60.0","73.81","73.32","66.42","0.67","11.13"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","60.43","65.0","52.5","43.0","52.5","56.54","48.75","51.75","45.0","48.33","57.6","48.0","55.0","53.69","53.33","48.84","0.68","9.93"
"5.0","Bread Plain, Medium Size","Each","36.0","36.0","37.6","36.8","38.4","38.4","36.4","38.4","36.0","40.0","36.0","37.75","35.0","30.0","33.5","38.5","35.0","36.46","35.72","32.56","2.07","11.98"
"6.0","Beef With Bone, Average quality","1 kg","295.0","286.67","280.0","280.0","296.72","262.0","255.0","275.0","265.0","306.15","282.5","255.0","280.0","264.33","260.0","282.0","289.0","277.32","276.27","264.37","0.38","4.9"
"7.0","Mutton, Average Quality","1 kg","606.25","590.0","550.0","600.0","618.29","580.0","500.0","545.0","537.5","603.38","542.0","490.0","550.0","536.67","425.0","522.0","500.0","546.83","543.68","507.8","0.58","7.69"
"8.0","Chicken Farm, Broiler, Live","1 kg","178.07","166.57","155.2","158.6","152.77","160.5","162.0","165.56","157.6","186.0","168.69","178.2","170.0","178.0","183.5","187.0","201.0","171.13","167.87","146.08","1.94","17.15"
"9.0","Milk, Fresh, Unboiled","1 Ltr","81.25","73.33","70.0","60.0","58.07","62.5","55.0","70.0","55.0","78.0","74.0","70.0","80.0","60.0","66.5","75.0","72.5","68.3","67.96","64.31","0.5","6.2"
"10.0","Curd (Dahi)","1 kg","95.0","80.0","80.0","70.0","70.0","70.0","65.0","80.0","60.0","108.0","97.0","80.0","83.5","70.0","76.5","90.0","82.75","79.87","79.22","74.88","0.82","6.66"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","0.0","0.0"
"12.0","Eggs Hen, Farm","Dozen","89.65","84.63","91.7","93.5","84.09","88.1","87.6","84.7","83.7","82.8","81.75","84.4","85.0","84.3","87.5","94.0","72.0","85.85","80.25","79.92","6.98","7.42"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","165.0","160.0","177.46","189.0","173.0","177.5","170.0","173.08","155.0","142.0","178.0","220.0","188.0","180.0","190.0","182.97","182.24","187.62","0.4","-2.48"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","530.0","530.0","545.0","545.0","535.0","535.0","530.0","535.0","530.0","550.0","545.0","545.0","520.0","535.0","525.0","545.0","545.0","536.76","537.35","545.76","-0.11","-1.65"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","490.0","490.0","505.0","505.0","505.0","505.0","490.0","505.0","490.0","540.0","505.0","525.0","520.0","505.0","505.0","545.0","521.0","508.88","508.82","536.12","0.01","-5.08"
"16.0","Vegetable Ghee (Loose)","1 kg","166.13","157.92","145.0","150.0","151.86","146.75","148.0","158.2","157.5","161.54","155.0","150.0","145.0","164.83","152.5","200.0","170.0","157.66","158.2","167.55","-0.34","-5.9"
"17.0","Bananas","Dozen","138.96","110.5","79.5","78.0","78.45","64.5","69.0","82.14","73.0","63.54","62.5","69.0","68.0","84.0","105.75","74.0","78.0","81.11","84.81","96.84","-4.36","-16.24"
"18.0","Pulse Masoor, Washed","1 kg","123.75","113.67","110.0","110.0","101.95","105.67","105.0","112.5","115.0","105.85","106.13","111.0","100.0","109.87","107.5","133.0","105.0","110.35","110.35","98.91","0.0","11.57"
"19.0","Pulse Moong, Washed","1 kg","139.23","129.1","120.0","140.0","118.93","115.25","120.0","120.3","125.0","129.85","131.25","138.0","120.0","116.47","120.0","125.2","115.0","124.92","123.86","119.4","0.86","4.62"
"20.0","Pulse Mash, Washed","1 kg","145.38","130.57","150.0","150.0","147.32","145.0","132.0","117.5","120.0","117.85","117.5","125.0","119.2","115.0","120.0","130.0","120.0","129.55","130.19","136.02","-0.49","-4.76"
"21.0","Pulse Gram, Washed","1 kg","87.69","78.77","65.0","67.5","59.55","68.57","62.5","67.3","74.0","73.08","82.0","75.0","84.5","82.57","70.0","93.2","111.0","76.6","78.67","108.46","-2.63","-29.37"
"22.0","Potatoes","1 kg","50.31","40.83","34.0","38.0","40.42","41.03","22.5","41.6","27.0","23.54","21.25","20.0","20.5","33.33","28.5","23.6","25.8","31.31","28.93","31.44","8.23","-0.41"
"23.0","Onions","1 kg","69.19","58.61","47.5","53.0","60.26","50.55","46.25","47.43","47.5","49.77","55.19","42.5","54.0","48.67","48.5","41.0","25.4","49.72","40.58","36.64","22.52","35.7"
"24.0","Tomatoes","1 kg","97.8","93.3","92.0","96.5","95.2","84.54","72.0","79.64","67.0","81.54","74.5","81.0","81.0","78.0","68.0","55.0","53.0","79.41","87.78","56.28","-9.54","41.1"
