"1/1/2014 5:38 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of 53 Essential Items for the month of December 2013","","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Dec 13 Nov 13 Dec 12","","","%change Dec 13 over
Nov 13 Dec 12",""
"1.0","Wheat","10 kg","385.0","385.0","406.0","403.75","398.13","385.0","393.5","386.25","400.0","370.0","378.75","400.0","375.0","400.0","450.0","440.0","400.0","397.43","382.88","305.8","3.8","29.96"
"2.0","Wheat Flour, Bag","10 kg","404.14","399.94","400.0","401.25","397.0","430.0","401.25","417.5","410.0","467.5","455.63","434.38","416.25","448.23","440.0","470.0","425.0","424.59","420.86","343.59","0.89","23.57"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","70.0","73.13","76.79","83.75","67.5","77.5","62.5","76.54","70.0","75.0","80.0","78.33","57.75","90.0","60.0","74.46","75.06","68.37","-0.8","8.91"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","63.07","65.0","53.75","41.0","52.5","56.54","50.0","52.5","32.25","48.42","78.75","45.0","53.75","54.17","53.48","49.17","1.29","10.17"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","43.75","42.5","43.0","40.0","50.0","38.0","35.0","35.0","37.5","35.0","39.99","39.03","34.15","2.46","17.1"
"6.0","Beef With Bone, Average quality","1 kg","295.0","286.67","280.0","280.0","318.93","275.0","265.0","275.0","265.0","306.15","292.5","275.0","280.0","268.33","260.0","310.0","285.0","283.39","282.12","268.11","0.45","5.7"
"7.0","Mutton, Average Quality","1 kg","611.25","608.33","550.0","600.0","640.36","600.0","500.0","545.0","556.25","612.31","550.0","510.0","565.0","536.67","425.0","550.0","500.0","556.48","553.83","512.42","0.48","8.6"
"8.0","Chicken Farm, Broiler, Live","1 kg","157.14","146.38","142.25","149.5","145.61","154.0","152.5","163.75","159.5","166.77","157.19","169.0","160.0","164.25","153.75","167.5","217.5","160.39","135.02","143.88","18.79","11.47"
"9.0","Milk, Fresh, Unboiled","1 Ltr","83.13","73.33","70.0","60.0","60.54","62.5","60.0","70.83","60.0","78.0","74.0","70.0","80.0","60.0","67.5","75.0","70.0","69.11","68.78","64.97","0.48","6.37"
"10.0","Curd (Dahi)","1 kg","96.41","81.98","80.0","70.0","70.0","70.0","67.5","80.0","65.0","108.0","97.0","80.0","95.0","70.0","77.5","90.0","80.69","81.12","80.92","75.41","0.25","7.57"
"11.0","Powdered Milk, Nido, Polybag","400 gm","300.0","300.0","300.0","300.0","300.0","300.0","300.0","300.0","300.0","300.0","300.0","300.0","300.0","300.0","290.0","295.0","292.5","298.68","298.46","290.0","0.07","2.99"
"12.0","Eggs Hen, Farm","Dozen","119.24","113.12","120.0","115.0","112.29","116.69","116.25","113.63","112.5","114.23","116.2","119.0","120.0","121.55","125.0","128.75","122.5","118.0","113.18","124.1","4.26","-4.92"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","165.0","160.0","178.21","185.0","190.0","172.5","175.0","173.08","160.0","142.5","198.75","220.0","180.0","190.0","190.0","185.44","183.15","186.27","1.25","-0.45"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","530.0","530.0","545.0","545.0","535.0","535.0","537.5","530.0","530.0","535.0","545.0","545.0","530.0","535.0","540.0","535.0","550.0","537.21","537.72","527.94","-0.09","1.76"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","501.0","501.0","505.0","505.0","505.0","505.0","500.0","498.0","498.0","520.0","505.0","525.0","520.0","505.0","510.0","530.0","550.0","510.76","510.68","518.53","0.02","-1.5"
"16.0","Vegetable Ghee (Loose)","1 kg","166.88","161.25","151.0","153.0","159.57","155.13","154.75","162.0","162.5","161.54","160.0","160.0","150.0","167.92","157.5","200.0","170.0","161.94","160.71","158.82","0.77","1.96"
"17.0","Bananas","Dozen","96.31","65.8","43.13","55.0","68.21","48.75","45.0","60.0","50.0","41.83","40.0","45.0","40.0","58.12","45.0","56.25","56.25","53.8","53.45","54.32","0.65","-0.96"
"18.0","Pulse Masoor, Washed","1 kg","135.33","125.41","130.0","110.0","125.71","135.0","130.0","119.0","120.0","115.68","113.75","130.0","115.0","118.33","110.0","130.0","102.5","121.51","116.25","97.39","4.52","24.77"
"19.0","Pulse Moong, Washed","1 kg","146.01","134.65","130.0","140.0","134.82","135.0","126.88","132.5","140.0","150.58","141.88","145.0","130.0","123.12","120.0","144.75","105.0","134.13","128.36","111.78","4.5","19.99"
"20.0","Pulse Mash, Washed","1 kg","145.0","130.92","150.0","147.5","148.57","151.88","133.75","122.5","125.0","123.08","120.0","135.0","119.38","122.5","125.0","148.75","105.0","132.58","130.92","132.32","1.27","0.2"
"21.0","Pulse Gram, Washed","1 kg","90.63","80.05","61.88","62.5","59.93","65.0","57.5","67.5","70.0","71.45","72.5","75.0","78.75","75.42","61.88","100.0","90.0","72.94","71.2","102.81","2.44","-29.05"
"22.0","Potatoes","1 kg","51.57","45.6","33.19","35.06","37.05","36.88","30.63","37.04","31.25","37.82","37.19","34.38","35.63","43.81","40.0","45.0","47.0","38.77","59.9","26.8","-35.28","44.66"
"23.0","Onions","1 kg","64.28","58.35","44.38","46.25","46.92","45.0","40.0","42.92","43.13","36.83","37.35","36.88","46.25","51.25","47.5","47.5","39.25","45.53","58.92","26.44","-22.73","72.2"
"24.0","Tomatoes","1 kg","70.7","60.69","73.13","60.83","60.84","55.0","51.88","56.67","58.13","41.83","33.53","41.25","56.25","56.5","53.75","65.0","66.25","56.6","115.78","46.05","-51.11","22.91"
"25.0","Sugar, Refined","1 kg","59.79","55.92","54.13","54.0","54.68","52.63","52.13","52.38","53.25","53.95","51.5","50.88","53.25","55.0","52.75","54.5","59.25","54.12","58.86","53.04","-8.05","2.04"
"26.0","Gur, Average Quality","1 kg","106.88","92.29","78.75","86.25","89.02","75.0","73.13","68.13","65.0","88.08","80.63","63.13","76.88","88.13","85.0","85.0","87.5","81.69","86.77","73.63","-5.85","10.95"
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","9.0","8.0","8.0","9.0","9.0","10.0","10.0","10.0","8.5","10.0","10.0","7.0","10.0","10.0","9.25","9.22","8.63","0.33","7.18"
"28.0","Red Chilly Powder, Loose","1 kg","248.75","220.0","200.0","225.0","183.39","196.25","220.0","202.5","190.0","273.08","240.0","230.0","171.25","195.84","210.0","290.0","200.0","217.42","216.27","251.24","0.53","-13.46"
"29.0","Garlic","1 kg","162.5","148.33","140.0","118.75","162.86","117.5","140.0","133.75","116.25","133.08","128.75","120.0","115.0","133.96","155.0","160.0","153.75","137.62","135.06","123.37","1.9","11.55"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","147.37","147.37","153.95","151.32","160.53","147.37","160.53","151.32","147.37","160.53","164.47","173.68","173.68","160.53","159.21","173.68","163.16","158.59","169.35","144.21","-6.35","9.97"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","57.5","78.04","75.0","80.0","70.0","65.0","61.54","61.25","100.0","70.0","93.33","80.0","80.0","135.0","78.33","76.98","68.77","1.75","13.9"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","31.88","32.5","41.54","37.5","50.0","60.0","60.0","45.0","57.5","50.0","45.53","45.2","39.96","0.73","13.94"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","15.0","15.0","18.5","16.13","15.0","15.0","15.0","20.0","22.5","15.0","15.0","20.0","15.0","17.04","16.66","15.2","2.28","12.11"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","35.0","40.0","40.0","36.0","36.0","38.0","36.0","38.0","40.0","40.0","35.0","35.0","40.0","38.06","37.71","32.32","0.93","17.76"
"35.0","Long Cloth","1 mtr","155.0","145.0","120.0","125.0","205.0","125.0","190.0","225.0","165.0","140.0","180.0","230.0","200.0","250.0","140.0","150.0","190.0","172.65","172.21","147.57","0.26","17.0"
"36.0","Shirting","1 mtr","145.0","142.5","168.75","165.0","98.57","125.0","140.0","170.0","115.0","106.15","120.0","120.0","130.0","225.0","127.5","150.0","190.0","143.44","142.7","121.64","0.52","17.92"
"37.0","Lawn","1 mtr","167.5","152.5","177.5","177.5","229.64","150.0","275.0","130.0","139.5","170.0","210.0","255.0","250.0","250.0","167.5","160.0","165.0","189.8","189.8","160.68","0.0","18.12"
"38.0","Georgette","1 mtr","135.0","132.5","125.0","120.0","95.0","95.0","140.0","90.0","110.0","99.62","100.0","125.0","130.0","110.0","92.5","90.0","95.0","110.86","110.61","100.53","0.23","10.28"
"39.0","Sandal Bata (Gents)","Pair","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","674.0","649.0","499.0","3.85","35.07"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","399.0","0.0","25.06"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","116.0","0.0","7.05"
"44.0","Kerosene Oil","1 Ltr","131.0","131.0","130.0","131.0","118.5","125.5","118.0","125.0","128.0","132.0","130.0","122.5","140.0","124.67","125.0","117.0","125.0","126.72","126.75","117.6","-0.02","7.76"
"45.0","Firewood Whole","40 kg","650.0","608.33","675.0","668.75","652.86","575.0","475.0","536.25","561.25","496.15","400.0","380.0","443.75","662.08","450.0","525.0","400.0","538.79","530.58","493.48","1.55","9.18"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","155.0","163.75","167.5","155.0","155.0","152.5","165.0","190.0","150.0","180.0","152.5","162.28","161.77","150.15","0.32","8.08"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","22.5","22.5","16.0","20.0","40.0","25.0","38.0","22.0","18.0","14.0","25.0","19.5","20.0","18.0","20.0","30.0","30.0","23.56","23.31","21.04","1.07","11.98"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","1.5","1.5","1.75","2.0","2.0","2.0","2.0","2.0","1.5","1.0","1.5","1.49","1.41","1.09","5.67","36.7"
"49.0","Petrol, Super","1 Ltr","113.05","113.1","113.2","114.0","113.13","113.45","113.3","114.9","113.6","113.1","113.9","113.2","115.4","113.1","117.6","113.2","118.3","114.09","114.09","103.51","0.0","10.22"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","117.1","117.1","117.2","118.0","117.11","117.05","117.4","119.2","117.5","117.1","117.8","117.2","119.7","117.1","120.8","117.1","122.2","118.04","118.04","110.98","0.0","6.36"
"51.0","LPG Cylinder, 11kg","Each","1580.0","1570.0","1416.25","1485.0","1471.25","1600.0","1550.0","1595.0","1677.5","1428.94","1457.5","1636.25","1512.5","1760.0","1532.5","1528.75","1550.0","1550.08","1584.46","1730.05","-2.17","-10.4"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.59","0.0","9.75"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","32.0","0.0","12.5"
