"01/03/2013 12:38","","","","","","","","","","","","","","","","","","","",""
"","","","","","Average Monthly Prices of Essential Items February 2013","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"1.0","Wheat","10 kg","337.5","337.5","330.0","348.13","313.75","335.16","337.5","313.75","326.25","350.0","333.75","350.0","340.0","340.0","341.25","325.0","350.0","335.86"
"2.0","Wheat Flour, Bag","10 kg","345.0","342.5","337.5","345.0","345.0","370.0","357.5","358.75","340.0","412.5","416.56","386.25","398.75","364.17","389.38","355.0","400.0","368.46"
"3.0","Rice Basmati Broken, Average Quality","1 kg","81.88","77.08","70.0","74.38","70.29","75.0","71.25","77.5","62.5","66.54","60.79","65.0","72.5","76.67","51.0","75.0","60.0","69.85"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","60.0","53.67","50.0","45.0","59.0","59.0","55.0","41.0","52.5","51.54","48.75","44.38","40.0","48.67","54.5","40.0","55.0","50.47"
"5.0","Bread Plain, Medium Size","Each","36.0","36.0","36.0","36.0","36.0","36.0","35.0","36.0","36.0","40.0","36.0","37.5","32.0","30.0","30.0","38.75","35.0","35.43"
"6.0","Beef With Bone, Average quality","1 kg","280.0","257.5","277.5","265.0","293.93","250.0","250.0","275.0","250.0","286.15","280.0","250.0","260.0","261.67","260.0","280.0","289.0","268.57"
"7.0","Mutton, Average Quality","1 kg","568.75","556.67","537.5","500.0","575.18","525.0","475.0","545.0","510.0","553.08","500.0","460.0","500.0","501.04","425.0","520.0","500.0","514.84"
"8.0","Chicken Farm, Broiler, Live","1 kg","140.85","126.34","123.5","126.5","121.15","129.69","126.25","140.0","138.5","171.75","164.06","164.0","156.25","141.5","169.75","172.5","181.25","146.7"
"9.0","Milk, Fresh, Unboiled","1 Ltr","71.88","66.25","70.0","60.0","58.07","57.5","52.5","64.33","55.0","74.0","70.0","65.0","80.0","60.0","62.5","75.0","72.5","65.56"
"10.0","Curd (Dahi)","1 kg","81.25","74.58","80.0","70.0","70.0","62.5","60.0","74.33","60.0","98.62","88.0","72.5","80.0","70.0","72.5","86.25","82.75","75.49"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","86.05","80.19","84.0","85.63","80.83","85.31","77.63","82.34","80.5","81.75","83.69","81.5","92.5","88.19","88.13","120.0","96.25","86.73"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","165.0","170.0","170.71","181.25","185.0","177.5","180.0","193.08","165.0","150.5","180.0","226.67","180.0","180.0","190.0","186.31"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","532.5","532.5","522.5","522.5","525.0","525.0","522.5","532.5","535.0","522.5","522.5","525.0","522.5","522.5","531.25","531.25","531.25","526.99"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","507.5","505.0","513.75","513.75","513.75","506.69"
"16.0","Vegetable Ghee (Loose)","1 kg","166.25","155.83","150.0","155.0","155.41","146.06","153.38","165.58","164.0","161.54","160.0","147.5","150.0","165.0","151.25","187.5","170.0","159.08"
"17.0","Bananas","Dozen","102.5","80.84","57.5","60.0","62.81","45.0","52.5","78.75","50.0","50.58","37.5","50.0","45.0","68.54","58.75","65.0","50.0","59.72"
"18.0","Pulse Masoor, Washed","1 kg","111.25","101.5","100.0","110.0","96.43","108.44","112.5","97.5","98.75","90.2","91.25","97.5","101.13","92.88","102.5","110.0","90.0","100.7"
"19.0","Pulse Moong, Washed","1 kg","127.5","113.33","110.0","140.0","103.93","115.0","105.0","107.5","110.0","113.08","121.25","125.0","117.25","103.86","100.0","130.0","120.0","115.45"
"20.0","Pulse Mash, Washed","1 kg","153.75","140.42","140.0","145.0","154.11","146.25","145.0","117.5","111.88","113.08","117.5","145.0","118.0","120.21","120.0","126.0","125.0","131.69"
"21.0","Pulse Gram, Washed","1 kg","114.38","105.83","96.25","98.13","97.37","97.19","92.5","104.13","100.0","98.18","108.75","115.0","113.63","103.65","100.0","109.0","100.0","103.18"
"22.0","Potatoes","1 kg","34.38","27.04","20.0","21.25","21.2","17.81","17.5","19.0","20.0","21.54","19.0","19.38","20.0","25.94","22.5","22.5","20.25","21.72"
"23.0","Onions","1 kg","44.88","35.84","29.38","36.25","35.94","34.06","26.88","31.0","30.0","24.04","24.91","25.88","21.25","35.21","28.75","28.0","18.0","30.02"
"24.0","Tomatoes","1 kg","66.41","59.21","52.5","58.75","53.21","56.56","53.75","56.25","56.25","46.45","51.25","43.75","47.5","52.33","38.44","48.75","57.5","52.87"
"25.0","Sugar, Refined","1 kg","58.25","53.83","52.0","51.63","53.11","51.63","50.25","50.13","50.0","51.12","51.0","50.13","50.0","53.21","50.75","52.0","52.0","51.83"
"26.0","Gur, Average Quality","1 kg","96.88","85.83","67.5","77.5","76.96","77.5","67.5","62.5","61.88","76.54","70.0","57.5","59.25","68.33","72.81","80.0","80.0","72.85"
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","8.0","8.0","7.5","7.5","8.0","10.0","8.47","10.0","8.0","10.0","10.0","6.0","10.0","10.0","8.84"
"28.0","Red Chilly Powder, Loose","1 kg","267.5","242.5","200.0","236.25","209.29","190.0","235.0","185.0","210.0","246.15","257.5","225.0","197.5","201.67","259.38","367.5","280.0","235.9"
"29.0","Garlic","1 kg","182.5","168.34","110.0","130.63","132.41","130.0","105.0","121.88","130.63","126.15","138.75","123.75","120.0","108.34","159.69","125.0","142.5","132.68"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21","144.21"
"31.0","Cooked Beef, Average Hotel","Plate","76.25","70.83","55.0","57.5","67.37","70.0","70.0","67.5","60.0","56.54","58.75","65.0","60.0","80.0","73.13","80.0","120.0","69.87"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","30.0","32.5","43.31","37.5","32.5","30.0","32.5","36.54","37.5","35.0","40.0","60.0","42.5","55.0","50.0","40.14"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.57","15.0","15.0","15.0","14.0","15.0","15.0","15.0","20.0","15.0","13.5","18.0","15.0","15.3"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","32.5","32.0","33.0","32.0","33.0","32.5","32.0","32.0","35.0","30.0","32.32"
"35.0","Long Cloth","1 mtr","132.5","125.0","97.5","115.0","187.5","95.0","175.0","225.0","135.0","140.0","180.0","150.0","190.0","205.0","115.0","125.0","160.0","150.15"
"36.0","Shirting","1 mtr","125.0","122.5","140.0","125.0","94.38","125.0","140.0","130.0","105.0","106.15","120.0","120.0","117.5","201.67","105.0","125.0","151.25","126.67"
"37.0","Lawn","1 mtr","146.25","133.75","162.5","125.0","192.5","125.0","170.0","130.0","136.5","160.0","210.0","225.0","220.0","250.0","130.0","130.0","130.0","163.32"
"38.0","Georgette","1 mtr","115.0","112.5","105.0","105.0","82.86","95.0","135.0","90.0","110.0","91.15","100.0","125.0","122.5","93.33","92.5","90.0","97.5","103.67"
"39.0","Sandal Bata (Gents)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","0.0","123.12","0.0","123.12"
"44.0","Kerosene Oil","1 Ltr","122.5","122.5","120.0","122.0","110.0","118.0","106.0","121.0","120.0","120.0","118.0","115.0","130.0","119.5","122.0","109.0","120.0","118.56"
"45.0","Firewood Whole","40 kg","625.0","583.33","625.0","600.0","652.86","550.0","400.0","510.0","500.0","460.0","340.0","350.0","400.0","628.33","400.0","525.0","450.0","505.85"
"46.0","Energy Saver (14 watts)","Each","157.5","157.5","145.0","145.0","145.0","150.0","143.75","150.0","165.0","150.0","151.25","150.0","160.0","160.0","150.0","180.0","150.0","153.53"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","17.0","36.0","20.0","37.0","22.0","18.0","14.0","24.0","18.0","20.0","17.0","19.25","18.0","25.0","21.13"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","Petrol, Super","1 Ltr","103.4","103.4","103.6","105.6","103.42","103.5","105.4","103.45","106.0","103.4","104.7","103.5","104.8","103.5","107.0","103.4","104.45","104.27"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","109.55","109.55","109.8","111.5","109.57","109.7","111.3","109.6","111.6","109.5","110.5","109.7","111.1","109.06","112.2","109.6","111.1","110.29"
"51.0","LPG Cylinder, 11kg","Each","1782.5","1762.5","1663.75","1608.75","1553.75","1775.0","1737.5","1647.5","1760.0","1457.5","1553.75","1622.5","1625.75","1874.58","1695.0","1602.5","1700.0","1671.93"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
