"01/02/2013 14:50","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of Essential Items January 2013","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"1.0","Wheat","10 kg","317.5","325.5","333.0","334.0","309.88","333.0","333.5","324.0","342.5","345.0","328.0","348.0","317.0","347.0","337.5","322.0","344.0","331.85"
"2.0","Wheat Flour, Bag","10 kg","355.5","346.67","339.0","345.0","343.0","363.5","358.0","362.0","356.0","407.0","412.0","374.0","366.0","376.33","388.0","352.0","392.0","366.82"
"3.0","Rice Basmati Broken, Average Quality","1 kg","81.0","76.66","71.0","71.5","69.09","74.5","70.0","76.5","61.5","66.54","60.63","65.0","72.5","76.33","50.2","75.0","55.0","69.0"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","58.5","52.97","50.0","45.0","59.0","58.7","53.0","41.0","51.0","51.54","48.75","42.5","33.0","48.67","54.5","40.0","60.0","49.89"
"5.0","Bread Plain, Medium Size","Each","36.0","36.0","33.0","33.0","36.0","36.0","35.0","34.8","35.6","37.0","36.0","37.5","32.0","30.0","30.0","38.75","35.0","34.8"
"6.0","Beef With Bone, Average quality","1 kg","280.0","257.5","277.5","265.0","293.93","250.0","250.0","275.0","250.0","286.15","280.0","250.0","260.0","261.67","260.0","280.0","289.0","268.57"
"7.0","Mutton, Average Quality","1 kg","565.0","556.67","537.5","500.0","560.36","525.0","475.0","545.0","510.0","553.08","500.0","460.0","500.0","500.0","425.0","520.0","500.0","513.68"
"8.0","Chicken Farm, Broiler, Live","1 kg","167.39","156.87","147.4","150.4","144.16","159.0","153.6","159.0","154.4","147.6","144.0","156.0","150.0","176.4","164.4","166.0","186.0","157.8"
"9.0","Milk, Fresh, Unboiled","1 Ltr","71.88","66.25","70.0","60.0","58.07","57.5","52.5","64.33","55.0","74.0","70.0","65.0","70.0","60.0","62.5","75.0","72.5","64.97"
