"8/1/2013 1:14 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2013","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jul 13 Jun 13 Jul 12","","","%change Jul 13 over
Jun 13 Jul 12",""
"1.0","Wheat","10 kg","318.75","318.75","340.0","343.0","331.26","330.63","327.5","331.88","328.91","353.75","343.75","339.06","309.38","340.0","335.0","325.0","320.0","331.57","319.86","271.09","3.66","22.31"
"2.0","Wheat Flour, Bag","10 kg","387.91","385.84","381.25","380.0","365.0","378.75","341.88","362.5","346.25","437.5","418.13","385.94","380.0","382.71","390.0","400.0","350.0","380.8","369.33","306.2","3.11","24.36"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","76.88","77.5","72.36","80.63","62.5","77.5","62.5","76.54","65.0","61.25","80.0","78.96","57.75","90.0","60.0","73.32","72.12","65.76","1.66","11.5"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","51.88","51.25","60.43","65.0","52.5","43.0","52.5","52.79","48.75","52.81","45.0","48.42","56.0","48.0","55.0","53.33","51.66","48.26","3.23","10.51"
"5.0","Bread Plain, Medium Size","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","40.0","36.0","36.25","33.5","30.0","32.5","40.0","35.0","35.72","35.56","32.56","0.45","9.71"
"6.0","Beef With Bone, Average quality","1 kg","295.0","286.67","280.0","280.0","293.93","257.5","255.0","275.0","265.0","301.15","280.0","255.0","280.0","263.33","260.0","280.0","289.0","276.27","273.62","263.39","0.97","4.89"
"7.0","Mutton, Average Quality","1 kg","606.25","590.0","550.0","600.0","609.3","575.0","500.0","545.0","537.5","567.88","540.0","490.0","550.0","536.67","425.0","520.0","500.0","543.68","540.18","505.69","0.65","7.51"
"8.0","Chicken Farm, Broiler, Live","1 kg","174.49","165.3","158.75","164.88","154.87","159.0","161.25","161.17","156.0","153.75","159.06","166.5","163.75","176.5","181.0","182.5","215.0","167.87","176.75","167.19","-5.02","0.41"
"9.0","Milk, Fresh, Unboiled","1 Ltr","81.25","73.33","70.0","60.0","58.07","62.5","55.0","70.0","55.0","78.0","74.0","67.5","80.0","60.0","63.13","75.0","72.5","67.96","67.37","63.64","0.88","6.79"
"10.0","Curd (Dahi)","1 kg","94.69","80.0","80.0","70.0","70.0","70.0","65.0","80.0","60.0","108.0","97.0","76.25","80.0","70.0","73.13","90.0","82.75","79.22","78.55","74.57","0.85","6.24"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","287.35","0.0","0.92"
"12.0","Eggs Hen, Farm","Dozen","84.36","79.29","86.0","87.5","79.54","84.25","80.5","77.96","79.25","75.5","75.13","74.63","78.75","80.42","91.25","87.5","62.5","80.25","77.54","77.1","3.49","4.09"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","161.25","161.88","179.46","185.0","170.0","177.5","170.0","178.08","155.0","142.0","170.0","221.67","183.75","180.0","190.0","182.24","182.74","187.09","-0.27","-2.59"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","533.75","533.75","545.0","545.0","535.0","535.0","528.75","535.0","533.75","550.0","545.0","545.0","520.0","535.0","525.0","545.0","545.0","537.35","537.35","549.12","0.0","-2.14"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","493.75","493.75","505.0","505.0","505.0","505.0","493.75","505.0","493.75","540.0","505.0","525.0","520.0","505.0","505.0","545.0","505.0","508.82","505.0","539.12","0.76","-5.62"
