"","","","","","","","Average Monthly Prices of 53 Essential Items, Jun 2013","","","","","","","","","","","","",""
"S. No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-abad","Sar-godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuz-dar","Aver-age"
"1.0","Wheat","10 kg","311.88","311.88","322.5","327.44","321.72","321.25","310.56","316.88","316.25","350.0","325.0","310.0","300.0","326.67","325.63","325.0","315.0","319.86"
"2.0","Wheat Flour, Bag","10 kg","375.74","370.26","354.75","360.0","364.75","365.0","339.38","353.13","367.5","420.0","400.31","367.5","363.75","371.46","380.0","377.5","347.5","369.33"
"3.0","Rice Basmati Broken, Average Quality","1 kg","81.88","77.08","75.0","77.5","72.36","78.75","63.38","77.5","62.5","76.54","65.0","60.0","78.75","79.58","57.75","82.5","60.0","72.12"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","60.0","56.67","50.0","45.63","60.43","62.75","50.63","42.0","52.5","51.54","48.75","55.0","40.0","48.5","54.88","44.0","55.0","51.66"
"5.0","Bread Plain, Medium Size","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","40.0","36.0","37.5","32.0","30.0","30.0","40.0","35.0","35.56"
"6.0","Beef With Bone, Average quality","1 kg","291.25","277.92","280.0","280.0","293.93","255.0","255.0","275.0","265.0","286.15","280.0","255.0","265.0","263.33","260.0","280.0","289.0","273.62"
"7.0","Mutton, Average Quality","1 kg","601.56","590.0","550.0","600.0","609.29","575.0","500.0","545.0","537.5","553.08","530.0","485.0","525.0","536.67","425.0","520.0","500.0","540.18"
"8.0","Chicken Farm, Broiler, Live","1 kg","179.53","171.36","164.5","167.63","156.61","164.06","173.75","162.63","164.5","191.0","186.25","185.0","188.75","182.5","173.0","187.5","206.25","176.75"
"9.0","Milk, Fresh, Unboiled","1 Ltr","78.75","73.33","70.0","60.0","58.07","62.5","51.88","68.84","55.0","78.0","74.0","65.0","80.0","60.0","62.5","75.0","72.5","67.37"
"10.0","Curd (Dahi)","1 kg","90.0","80.0","80.0","70.0","70.0","70.0","63.75","78.84","60.0","108.0","97.0","72.5","80.0","70.0","72.5","90.0","82.75","78.55"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","81.69","77.56","83.0","85.0","77.54","83.38","79.5","77.75","77.13","70.75","69.88","68.5","71.88","78.42","85.0","86.25","65.0","77.54"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","160.0","160.0","175.09","185.0","171.25","177.5","170.0","193.08","156.88","142.0","170.0","223.33","180.0","180.0","190.0","182.74"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","545.0","545.0","545.0","545.0","535.0","535.0","525.0","535.0","545.0","545.0","540.0","535.0","515.0","535.0","525.0","540.0","545.0","537.35"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0"
"16.0","Vegetable Ghee (Loose)","1 kg","165.07","156.98","145.0","151.25","152.93","148.25","147.5","159.5","157.5","161.54","155.0","150.0","145.0","161.46","151.56","197.5","170.0","157.41"
"17.0","Bananas","Dozen","122.5","89.17","88.13","80.0","84.82","66.88","71.25","73.33","65.0","63.08","50.0","45.0","62.5","95.0","72.81","65.0","73.75","74.6"
"18.0","Pulse Masoor, Washed","1 kg","117.5","110.42","102.5","110.0","104.13","105.0","106.25","112.5","105.0","111.54","102.5","102.5","105.0","108.33","96.25","125.0","95.0","107.02"
"19.0","Pulse Moong, Washed","1 kg","133.75","116.25","120.0","140.0","105.84","115.0","106.25","119.13","116.25","131.54","131.25","110.0","121.25","107.5","105.63","128.0","116.25","119.05"
"20.0","Pulse Mash, Washed","1 kg","153.75","140.42","150.0","150.0","147.32","145.0","132.5","117.5","116.25","115.29","117.5","130.0","118.13","115.83","120.0","131.5","121.25","130.72"
"21.0","Pulse Gram, Washed","1 kg","102.5","87.08","70.0","72.5","70.54","76.25","69.38","72.0","75.0","93.08","86.25","95.31","91.25","87.92","73.13","91.5","106.25","83.53"
"22.0","Potatoes","1 kg","39.3","32.19","25.0","30.0","33.71","31.88","16.75","27.96","20.0","16.54","20.63","19.38","20.0","28.12","21.88","22.5","20.0","25.05"
"23.0","Onions","1 kg","53.6","41.46","32.5","40.0","40.36","37.5","30.63","35.71","31.75","41.45","36.56","38.75","40.0","38.96","35.63","36.25","33.75","37.93"
"24.0","Tomatoes","1 kg","60.32","52.5","55.31","63.75","60.09","62.66","48.75","68.44","56.25","68.27","72.19","61.25","92.5","43.23","42.19","57.5","48.75","59.64"
"25.0","Sugar, Refined","1 kg","59.25","55.63","53.5","53.5","55.11","53.81","52.5","53.13","53.0","53.62","52.0","52.5","53.5","54.75","54.5","57.25","53.0","54.15"
"26.0","Gur, Average Quality","1 kg","105.0","90.83","87.5","81.88","99.46","78.75","75.0","81.67","80.0","76.54","80.0","85.0","80.0","89.59","77.5","80.0","70.0","83.45"
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","8.0","8.0","7.5","7.5","9.0","10.0","10.0","10.0","8.0","10.0","10.0","7.0","10.0","10.0","9.04"
"28.0","Red Chilly Powder, Loose","1 kg","247.5","215.0","200.0","225.0","197.14","190.0","208.75","163.33","190.0","246.15","240.0","245.63","166.25","196.67","214.38","272.5","240.0","215.19"
"29.0","Garlic","1 kg","154.06","137.5","117.5","110.0","116.07","110.0","98.75","116.67","95.0","115.58","121.25","100.0","115.0","100.83","128.75","130.0","151.25","118.72"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","173.68","173.68","173.68","173.68","163.16","173.68","163.16","173.68","173.68","173.68","173.68","163.16","171.05","173.68","163.16","163.16","163.16","169.81"
"31.0","Cooked Beef, Average Hotel","Plate","76.25","70.83","57.5","57.5","72.86","70.0","70.0","70.0","60.0","56.54","58.75","65.0","67.5","80.0","80.0","80.0","120.0","71.34"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","32.5","32.5","47.86","37.5","32.5","30.0","32.5","36.54","37.5","35.0","50.0","60.0","45.0","55.0","60.0","41.88"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","15.0","20.0","21.25","15.0","15.0","18.0","15.0","15.84"
"34.0","Cigarettes, K-2, 20's","Packet","36.0","36.0","33.5","34.0","33.75","36.0","33.0","35.0","32.0","34.0","32.0","35.5","36.0","32.0","32.0","35.0","30.0","33.87"
"35.0","Long Cloth","1 mtr","155.0","145.0","107.5","115.0","187.5","122.5","180.0","225.0","165.0","140.0","180.0","230.0","195.0","250.0","135.63","150.0","190.0","169.01"
"36.0","Shirting","1 mtr","145.0","142.5","150.0","145.0","98.57","125.0","140.0","145.0","115.0","106.15","120.0","120.0","120.0","225.0","115.0","150.0","165.0","136.9"
"37.0","Lawn","1 mtr","167.5","152.5","172.5","172.5","229.64","150.0","175.0","130.0","139.5","170.0","210.0","280.0","230.0","250.0","162.5","160.0","165.0","183.33"
"38.0","Georgette","1 mtr","135.0","132.5","115.0","110.0","95.0","95.0","135.0","90.0","110.0","91.15","100.0","125.0","130.0","106.67","92.5","90.0","95.0","108.7"
"39.0","Sandal Bata (Gents)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","123.39","123.39","123.39","123.39","123.39","123.39","123.39","123.39","123.39","123.39","123.39","123.39","123.39","123.39","0.0","123.39","0.0","123.39"
"44.0","Kerosene Oil","1 Ltr","118.25","118.25","115.5","117.0","103.75","112.0","104.75","115.25","113.88","120.0","117.5","110.94","130.0","116.34","115.5","103.0","120.0","114.82"
"45.0","Firewood Whole","40 kg","625.0","583.33","625.0","600.0","652.86","550.0","400.0","510.0","500.0","460.0","350.0","350.0","425.0","620.0","425.0","525.0","400.0","505.95"
"46.0","Energy Saver (14 watts)","Each","162.5","162.5","155.0","155.0","165.0","157.5","156.0","160.0","165.0","152.5","155.0","150.0","160.0","160.0","152.5","180.0","150.0","158.74"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","20.0","37.0","20.0","37.0","22.0","18.0","14.0","24.0","18.75","20.0","17.0","20.0","30.0","25.0","22.16"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","2.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.15"
"49.0","Petrol, Super","1 Ltr","100.3","100.3","100.85","102.95","100.34","100.45","102.3","101.5","102.96","100.35","101.35","101.34","102.28","100.33","103.85","101.62","100.87","101.41"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","105.14","105.15","105.8","107.45","105.2","105.38","106.92","106.7","107.38","105.13","106.2","106.01","107.38","105.13","107.93","105.78","105.78","106.14"
"51.0","LPG Cylinder, 11kg","Each","1475.0","1460.0","1542.5","1622.0","1471.25","1562.5","1487.5","1565.0","1595.0","1237.5","1333.75","1361.25","1402.5","1530.83","1466.25","1380.0","1400.0","1464.28"
