"4/1/2013 2:44 PM","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of Essential Items March, 2013","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"1.0","Wheat","10 kg","332.5","335.0","340.0","352.5","316.88","326.38","334.38","311.25","322.5","360.0","312.5","350.0","350.0","340.0","332.5","325.0","350.0","334.79"
"2.0","Wheat Flour, Bag","10 kg","345.0","342.5","337.5","345.0","345.0","367.5","357.5","356.25","355.0","420.0","398.44","382.5","373.75","362.3","381.25","355.0","400.0","366.15"
"3.0","Rice Basmati Broken, Average Quality","1 kg","81.88","77.08","70.0","75.0","71.86","76.25","69.25","77.5","62.5","69.04","62.5","63.75","73.75","80.0","53.69","75.0","60.0","70.53"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","60.0","53.67","50.0","45.0","59.72","59.5","52.5","41.0","52.5","51.54","48.75","52.5","40.0","48.67","54.5","40.0","55.0","50.87"
"5.0","Bread Plain, Medium Size","Each","36.0","36.0","36.0","36.0","36.0","36.0","35.5","36.0","36.0","40.0","36.0","37.5","32.0","30.0","30.0","38.75","35.0","35.46"
"6.0","Beef With Bone, Average quality","1 kg","285.0","261.25","277.5","267.5","293.93","250.0","250.0","275.0","250.0","286.15","280.0","250.0","255.0","262.5","260.0","280.0","289.0","268.99"
"7.0","Mutton, Average Quality","1 kg","587.5","572.71","537.5","518.75","605.82","525.0","475.0","545.0","510.0","553.08","500.0","460.0","500.0","514.59","425.0","520.0","500.0","520.59"
"8.0","Chicken Farm, Broiler, Live","1 kg","123.88","114.9","104.25","107.25","104.3","114.07","116.75","117.88","116.0","140.5","138.44","149.0","148.75","125.5","152.63","150.0","193.75","130.46"
"9.0","Milk, Fresh, Unboiled","1 Ltr","71.88","66.25","70.0","60.0","58.07","57.5","50.63","66.83","55.0","74.0","70.0","65.0","80.0","60.0","62.5","75.0","72.5","65.6"
"10.0","Curd (Dahi)","1 kg","81.25","74.58","80.0","70.0","70.0","62.5","60.0","76.83","60.0","98.62","88.0","72.5","80.0","70.0","72.5","90.0","82.75","75.85"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","88.63","83.69","88.75","92.5","82.82","88.5","81.5","85.58","85.0","87.5","87.47","90.5","91.25","90.09","95.63","106.88","80.0","88.61"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","165.0","170.0","170.71","185.0","182.5","177.5","180.0","193.08","169.06","148.25","180.0","226.67","189.69","180.0","190.0","187.06"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","535.0","535.0","525.0","525.0","525.0","527.5","525.0","535.0","540.0","525.0","525.0","525.0","525.0","525.0","525.0","525.0","525.0","527.79"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0"
"16.0","Vegetable Ghee (Loose)","1 kg","164.07","155.0","151.25","152.5","155.63","144.25","151.19","163.33","162.75","161.54","160.0","147.5","148.75","165.0","149.38","181.88","170.0","157.88"
"17.0","Bananas","Dozen","110.0","86.15","62.5","60.0","60.78","50.0","53.13","74.58","55.0","53.08","40.94","55.0","45.0","73.75","68.44","65.0","55.0","62.84"
"18.0","Pulse Masoor, Washed","1 kg","111.25","101.5","100.0","110.0","97.49","106.5","107.5","97.5","100.0","86.54","91.88","96.25","100.0","95.04","100.63","115.0","90.0","100.42"
"19.0","Pulse Moong, Washed","1 kg","131.99","114.79","110.0","140.0","103.93","115.0","105.0","105.0","101.25","113.08","121.25","117.5","115.0","100.94","96.25","129.0","120.0","114.12"
"20.0","Pulse Mash, Washed","1 kg","153.75","140.42","140.0","145.0","149.82","145.0","142.5","117.5","112.5","110.58","117.5","140.0","118.13","115.84","120.0","129.0","125.0","130.74"
"21.0","Pulse Gram, Washed","1 kg","112.03","97.87","82.13","90.0","85.18","93.0","83.13","89.75","100.0","93.18","101.88","110.0","101.25","92.61","92.5","99.25","100.0","95.52"
"22.0","Potatoes","1 kg","34.07","27.8","18.75","20.0","20.71","16.25","14.88","18.71","16.13","21.54","19.0","18.5","20.0","26.25","20.94","20.0","19.5","20.77"
"23.0","Onions","1 kg","60.32","53.07","43.75","53.75","52.14","48.88","40.63","44.0","45.0","38.18","36.41","41.25","40.0","51.46","46.25","32.0","23.5","44.15"
"24.0","Tomatoes","1 kg","73.04","60.59","60.0","67.5","59.54","60.63","50.0","58.79","63.75","43.08","55.56","47.5","52.5","59.17","41.56","45.0","56.88","56.18"
"25.0","Sugar, Refined","1 kg","58.25","54.0","52.0","52.0","52.79","51.44","50.75","51.13","50.0","50.62","50.25","50.0","50.0","52.92","51.75","66.69","51.5","52.71"
"26.0","Gur, Average Quality","1 kg","96.88","85.83","68.13","77.5","75.71","77.5","61.88","62.5","60.0","76.54","70.0","59.38","60.25","68.33","71.88","80.0","78.75","72.42"
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","8.0","8.0","7.5","7.5","9.0","10.0","8.62","10.0","8.0","10.0","10.0","6.0","10.0","10.0","8.9"
"28.0","Red Chilly Powder, Loose","1 kg","265.94","238.96","200.0","225.0","209.29","195.0","227.5","177.5","210.0","246.15","246.33","237.5","190.0","201.67","254.38","362.5","265.0","232.51"
"29.0","Garlic","1 kg","180.0","160.42","97.5","133.75","130.99","125.0","100.0","125.42","175.0","133.08","153.44","128.75","142.5","117.08","150.63","130.0","143.75","136.9"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","163.16","163.16","158.42","153.69","163.16","153.69","158.42","158.42","163.16","158.42","153.69","158.42","158.42","158.42","144.21","144.21","144.21","156.19"
"31.0","Cooked Beef, Average Hotel","Plate","76.25","70.83","55.63","57.5","72.86","70.0","70.0","70.0","60.0","56.54","58.75","65.0","60.0","80.0","77.5","80.0","120.0","70.64"
"32.0","Cooked Daal, Average Hotel","Plate","46.25","41.25","30.63","32.5","47.86","37.5","32.5","30.0","32.5","36.54","37.5","35.0","40.0","60.0","43.13","55.0","51.25","40.55"
"33.0","Tea Prepared, Average Hotel","Cup","15.0","15.0","15.0","15.0","14.57","15.0","15.0","15.0","14.5","15.0","15.0","15.0","20.0","15.0","14.25","18.0","15.0","15.37"
"34.0","Cigarettes, K-2, 20's","Packet","32.0","32.0","32.0","32.0","32.5","32.0","33.0","33.0","32.0","33.0","32.0","33.0","32.0","32.0","32.0","35.0","30.0","32.32"
"35.0","Long Cloth","1 mtr","143.75","135.0","100.0","115.0","187.5","95.0","177.5","225.0","142.5","140.0","180.0","190.0","191.25","209.17","120.0","125.0","160.0","155.1"
"36.0","Shirting","1 mtr","135.0","132.5","140.0","125.0","98.57","125.0","140.0","130.0","110.0","106.15","120.0","120.0","120.0","207.5","106.88","125.0","151.25","128.99"
"37.0","Lawn","1 mtr","156.88","143.13","165.0","136.88","192.5","125.0","171.25","130.0","136.5","167.5","210.0","266.25","225.0","250.0","140.0","130.0","130.0","169.17"
"38.0","Georgette","1 mtr","115.0","112.5","105.0","105.0","82.86","95.0","135.0","90.0","110.0","91.15","100.0","125.0","130.0","95.42","92.5","90.0","97.5","104.23"
"39.0","Sandal Bata (Gents)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","123.12","0.0","123.12","0.0","123.12"
"44.0","Kerosene Oil","1 Ltr","122.5","122.5","120.0","122.0","110.0","118.0","106.0","121.0","120.0","120.0","118.0","115.0","130.0","119.5","122.0","109.0","120.0","118.56"
"45.0","Firewood Whole","40 kg","625.0","583.33","625.0","600.0","652.86","550.0","400.0","510.0","500.0","460.0","345.0","350.0","400.0","628.33","400.0","525.0","437.5","505.41"
"46.0","Energy Saver (14 watts)","Each","157.5","157.5","147.5","145.0","165.0","150.0","146.81","155.0","165.0","150.0","155.0","150.0","160.0","160.0","150.63","180.0","150.0","155.58"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","18.5","36.0","20.0","37.0","22.0","18.0","14.0","24.0","18.0","20.0","17.0","20.0","18.0","25.0","21.26"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.0","1.5","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.09"
"49.0","Petrol, Super","1 Ltr","103.4","103.4","103.6","105.6","103.42","103.5","105.4","103.45","106.0","103.4","104.7","103.5","104.8","103.5","107.0","103.4","104.45","104.27"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","109.55","109.55","109.8","111.5","109.57","109.7","111.3","109.6","111.6","109.5","110.5","109.7","111.1","109.06","112.2","109.6","111.1","110.29"
"51.0","LPG Cylinder, 11kg","Each","1520.0","1500.0","1402.5","1333.75","1320.0","1500.0","1575.0","1420.0","1443.75","1292.5","1361.25","1443.75","1628.0","1655.42","1475.0","1492.5","1487.5","1461.82"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94"
"53.0","Soap, LifeBuoy","Each","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0","32.0"
