"6/3/2013 3:03 PM","","","","","","","","","","","","","","","","","","","",""
"","","","","","Average Monthly Prices of Essential Items for May 2013","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Aver-
age"
"1.0","Wheat","10 kg","308.8","308.8","305.0","305.0","304.25","300.0","295.0","298.5","300.38","346.0","313.0","296.0","300.0","314.0","298.5","325.0","300.0","306.95"
"2.0","Wheat Flour, Bag","10 kg","355.56","348.83","338.7","340.5","348.0","356.25","345.75","340.0","350.0","409.81","387.0","350.5","355.0","350.61","348.5","355.0","340.0","354.12"
"3.0","Rice Basmati Broken, Average Quality","1 kg","81.88","77.08","70.0","75.0","72.36","78.75","66.0","77.5","62.5","75.54","65.0","62.0","75.0","79.58","57.75","75.0","60.0","71.23"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","60.0","56.67","50.0","45.0","60.43","62.0","50.0","41.0","52.5","51.54","48.75","55.0","40.0","48.56","54.5","40.0","55.0","51.23"
"5.0","Bread Plain, Medium Size","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","40.0","36.0","37.5","32.0","30.0","30.0","38.75","35.0","35.49"
"6.0","Beef With Bone, Average quality","1 kg","290.0","275.0","279.5","280.0","293.93","255.0","254.0","275.0","265.0","286.15","280.0","255.0","250.0","263.33","260.0","280.0","289.0","272.41"
"7.0","Mutton, Average Quality","1 kg","599.5","588.67","547.5","600.0","609.29","575.0","487.5","545.0","537.5","553.08","520.0","476.0","500.0","536.67","425.0","520.0","500.0","536.51"
"8.0","Chicken Farm, Broiler, Live","1 kg","132.06","121.57","119.8","124.3","123.39","133.5","126.0","133.97","132.0","154.0","149.0","152.0","152.0","138.4","163.6","164.0","194.5","142.01"
"9.0","Milk, Fresh, Unboiled","1 Ltr","78.34","71.46","70.0","60.0","58.07","60.0","50.0","67.67","55.0","74.0","70.0","65.0","80.0","60.0","62.5","75.0","72.5","66.44"
"10.0","Curd (Dahi)","1 kg","89.38","79.25","80.0","70.0","70.0","67.5","61.0","77.67","60.0","98.62","89.2","72.5","80.0","70.0","72.5","90.0","82.75","77.08"
"11.0","Powdered Milk, Nido, Polybag","400 gm","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0","290.0"
"12.0","Eggs Hen, Farm","Dozen","73.58","69.4","73.0","76.0","67.77","72.3","66.4","69.07","69.8","68.4","68.91","72.8","74.0","75.33","81.0","97.0","63.0","72.81"
