"12/2/2013 4:27 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","Average Monthly Prices of 53 Essential Items for the month of November 2013","","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 13 Oct 13 Nov 12","","","%change Nov 13 over
Oct 13 Nov 12",""
"1.0","Wheat","10 kg","366.88","366.88","391.75","385.88","381.25","385.16","390.5","367.5","383.13","370.0","368.75","390.0","375.0","383.75","415.0","387.5","400.0","382.88","362.72","298.79","5.56","28.14"
"2.0","Wheat Flour, Bag","10 kg","408.6","404.38","407.5","407.5","397.0","437.5","394.69","411.25","410.0","460.0","443.75","426.25","416.88","439.27","433.75","431.25","425.0","420.86","411.24","339.89","2.34","23.82"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","77.5","76.25","76.79","85.0","66.25","77.5","62.5","76.54","69.53","75.0","80.0","78.33","57.75","90.0","60.0","75.06","74.45","68.69","0.82","9.27"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","63.07","65.0","52.5","41.0","52.5","56.54","50.0","52.5","34.38","48.4","61.75","45.75","57.5","53.48","53.76","49.27","-0.52","8.54"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","40.0","43.0","40.0","42.5","38.0","32.5","35.0","37.5","35.0","39.03","38.49","33.6","1.4","16.16"
"6.0","Beef With Bone, Average quality","1 kg","295.0","286.67","280.0","280.0","318.93","275.0","265.0","275.0","265.0","306.15","292.5","260.0","275.0","265.0","260.0","310.0","286.75","282.12","281.66","267.89","0.16","5.31"
"7.0","Mutton, Average Quality","1 kg","611.25","608.33","550.0","600.0","640.36","600.0","500.0","545.0","537.5","612.31","550.0","495.0","553.75","536.67","425.0","550.0","500.0","553.83","553.2","511.54","0.11","8.27"
"8.0","Chicken Farm, Broiler, Live","1 kg","135.27","122.82","115.75","118.5","111.62","121.56","123.75","126.25","121.0","127.93","129.06","143.5","139.38","139.0","152.5","153.75","213.75","135.02","140.21","123.92","-3.7","8.96"
"9.0","Milk, Fresh, Unboiled","1 Ltr","81.25","73.33","70.0","60.0","60.54","62.5","57.5","70.83","56.88","78.0","74.0","70.0","80.0","60.0","67.5","75.0","71.88","68.78","68.53","64.97","0.36","5.86"
