"01/11/2013 2:13 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of October 2013","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Oct 13 Sep 13 Oct 12","","","%change Oct 13 over
Sep 13 Oct 12",""
"1.0","Wheat","10 kg","357.5","357.5","355.0","358.5","365.25","356.5","351.0","354.0","355.0","370.0","360.0","365.0","375.0","356.0","365.0","365.0","400.0","362.72","362.27","288.52","0.12","25.72"
"2.0","Wheat Flour, Bag","10 kg","403.57","400.25","405.0","400.0","397.0","414.0","380.5","400.0","406.0","460.0","438.5","410.0","406.0","412.83","427.5","405.0","425.0","411.24","407.33","334.75","0.96","22.85"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","77.5","76.25","76.79","84.25","65.0","77.5","62.5","76.54","68.13","68.0","80.0","78.33","57.75","90.0","60.0","74.45","74.21","68.11","0.32","9.31"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","63.07","65.0","52.5","42.2","52.5","56.54","50.0","52.5","41.0","48.33","59.0","48.0","55.0","53.76","53.89","49.02","-0.24","9.67"
"5.0","Bread Plain, Medium Size","Each","37.6","37.6","40.0","40.0","40.0","40.0","39.6","40.0","40.0","42.4","39.2","40.0","38.0","32.5","35.0","37.5","35.0","38.49","37.78","33.17","1.88","16.04"
"6.0","Beef With Bone, Average quality","1 kg","295.0","286.67","280.0","280.0","318.93","275.0","265.0","275.0","265.0","306.15","292.5","255.0","272.0","265.0","260.0","308.0","289.0","281.66","280.13","267.26","0.55","5.39"
"7.0","Mutton, Average Quality","1 kg","611.25","608.33","550.0","600.0","640.36","600.0","500.0","545.0","537.5","612.31","550.0","490.0","550.0","536.67","425.0","548.0","500.0","553.2","551.3","510.66","0.34","8.33"
"8.0","Chicken Farm, Broiler, Live","1 kg","141.45","129.75","120.2","123.8","118.56","127.25","122.0","133.03","130.0","144.32","147.24","148.0","148.0","142.8","149.1","152.0","206.0","140.21","148.81","120.43","-5.78","16.42"
"9.0","Milk, Fresh, Unboiled","1 Ltr","81.25","73.33","70.0","60.0","60.54","62.5","55.0","70.33","55.0","78.0","74.0","70.0","80.0","60.0","67.5","75.0","72.5","68.53","68.43","64.65","0.15","6.0"
"10.0","Curd (Dahi)","1 kg","95.0","81.04","80.0","70.0","70.0","70.0","65.0","80.0","60.0","108.0","97.0","80.0","95.0","70.0","77.5","90.0","82.75","80.66","80.5","75.08","0.2","7.43"
"11.0","Powdered Milk, Nido, Polybag","400 gm","300.0","300.0","300.0","300.0","300.0","300.0","290.0","300.0","300.0","298.0","300.0","300.0","300.0","296.0","290.0","300.0","290.0","297.88","294.26","290.0","1.23","2.72"
"12.0","Eggs Hen, Farm","Dozen","100.38","96.33","100.0","101.5","96.29","100.6","99.2","96.17","97.6","95.71","96.81","98.4","98.0","97.2","98.0","108.0","85.0","97.95","98.28","105.4","-0.34","-7.07"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","165.0","160.0","174.46","195.0","175.0","177.5","164.0","173.08","152.48","132.5","190.0","220.0","182.0","180.0","190.0","182.56","183.59","186.07","-0.56","-1.89"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","530.0","530.0","545.0","545.0","535.0","535.0","530.0","535.0","530.0","550.0","545.0","545.0","530.0","535.0","525.0","545.0","545.0","537.35","537.35","539.41","0.0","-0.38"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","490.0","490.0","505.0","505.0","505.0","505.0","490.0","505.0","491.6","540.0","505.0","525.0","520.0","505.0","505.0","545.0","545.0","510.39","510.29","529.41","0.02","-3.59"
"16.0","Vegetable Ghee (Loose)","1 kg","166.13","157.92","145.0","150.0","149.57","148.55","148.0","158.8","157.5","161.54","155.0","156.0","146.0","164.17","152.5","200.0","170.0","158.04","157.68","162.43","0.23","-2.7"
"17.0","Bananas","Dozen","97.26","69.08","44.0","48.0","62.5","56.25","51.0","55.84","55.0","47.39","47.41","45.0","50.0","58.83","44.5","59.0","59.0","55.89","61.31","59.6","-8.84","-6.22"
"18.0","Pulse Masoor, Washed","1 kg","124.75","113.67","110.0","110.0","103.96","109.0","113.0","112.5","115.0","113.08","112.53","120.0","103.5","110.3","110.0","137.0","100.0","112.84","112.36","97.17","0.43","16.13"
"19.0","Pulse Moong, Washed","1 kg","139.38","123.54","120.0","140.0","120.71","116.0","115.0","119.33","125.0","139.09","126.23","145.0","118.5","115.67","120.0","127.2","105.0","124.45","122.89","114.96","1.27","8.26"
"20.0","Pulse Mash, Washed","1 kg","145.0","130.92","150.0","150.0","142.68","145.25","135.0","117.5","120.0","123.08","115.06","135.0","115.0","115.0","125.0","133.2","105.0","129.57","128.61","134.12","0.75","-3.39"
"21.0","Pulse Gram, Washed","1 kg","85.31","76.67","58.2","63.5","59.57","63.55","55.0","64.17","70.0","73.08","72.5","75.0","76.3","77.2","60.0","84.4","91.0","70.91","73.44","106.02","-3.44","-33.12"
"22.0","Potatoes","1 kg","69.13","59.83","49.5","46.55","57.07","52.16","34.0","55.5","53.5","36.54","35.14","29.7","36.0","39.17","45.0","29.4","36.2","44.96","34.71","30.5","29.53","47.41"
"23.0","Onions","1 kg","74.15","63.67","53.0","58.0","58.43","58.75","49.5","52.23","57.0","51.08","46.26","43.5","54.0","52.66","50.0","38.0","30.4","52.39","47.17","41.25","11.07","27.01"
"24.0","Tomatoes","1 kg","86.63","75.34","73.5","75.0","72.89","74.75","66.0","69.5","68.5","76.31","58.84","68.0","71.0","61.5","56.5","65.0","42.0","68.31","64.48","50.53","5.94","35.19"
"25.0","Sugar, Refined","1 kg","60.11","57.12","55.9","56.3","56.02","55.7","54.8","54.2","54.8","55.96","53.4","54.3","54.7","56.93","55.0","56.4","55.0","55.68","53.84","53.41","3.42","4.25"
"26.0","Gur, Average Quality","1 kg","105.0","92.5","95.5","97.0","98.93","89.25","75.0","82.5","79.5","97.69","88.13","79.5","82.5","97.83","85.0","80.0","90.0","89.17","89.88","73.6","-0.79","21.15"
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","9.0","8.0","8.0","9.0","9.0","10.0","10.0","10.0","8.0","10.0","10.0","7.0","10.0","10.0","9.22","9.15","8.61","0.77","7.08"
"28.0","Red Chilly Powder, Loose","1 kg","242.5","205.35","202.0","225.0","202.14","210.0","220.0","186.67","190.0","286.15","240.0","220.0","158.0","193.33","212.0","295.0","200.0","216.95","216.85","281.44","0.05","-22.91"
"29.0","Garlic","1 kg","162.5","147.0","135.0","114.0","153.57","125.0","118.0","117.5","110.0","152.92","118.39","101.0","99.0","140.33","140.0","120.0","144.0","129.31","124.85","118.18","3.57","9.42"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","163.16","163.16","173.68","173.68","173.68","173.68","173.68","173.68","163.16","173.68","173.68","173.68","173.68","173.68","163.16","173.68","163.16","170.59","172.13","131.71","-0.89","29.52"
"31.0","Cooked Beef, Average Hotel","Plate","81.25","75.83","57.5","57.5","78.04","75.0","80.0","70.0","64.0","61.54","61.25","100.0","70.0","84.0","80.0","80.0","120.0","76.23","75.49","66.68","0.98","14.32"
"32.0","Cooked Daal, Average Hotel","Plate","51.25","45.83","32.5","32.5","51.07","42.5","40.0","30.0","32.5","41.54","37.5","50.0","60.0","60.0","45.0","55.0","60.0","45.13","44.99","39.22","0.31","15.07"
"33.0","Tea Prepared, Average Hotel","Cup","18.75","17.5","15.0","15.0","15.0","15.0","16.0","15.0","15.0","15.0","15.0","20.0","22.5","15.0","15.0","18.0","15.0","16.34","16.34","15.12","0.0","8.07"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","35.0","40.0","40.0","36.0","36.0","36.8","36.0","38.0","40.0","40.0","35.0","35.0","34.0","37.64","37.59","32.03","0.13","17.51"
"35.0","Long Cloth","1 mtr","155.0","145.0","112.5","125.0","201.5","125.0","190.0","225.0","165.0","140.0","180.0","230.0","200.0","250.0","140.0","150.0","190.0","172.0","171.14","143.38","0.5","19.96"
"36.0","Shirting","1 mtr","145.0","142.5","162.5","165.0","98.57","125.0","140.0","170.0","115.0","106.15","120.0","120.0","130.0","225.0","127.5","150.0","165.0","141.6","141.01","118.25","0.42","19.75"
"37.0","Lawn","1 mtr","167.5","152.5","177.5","177.5","229.64","150.0","275.0","130.0","139.5","170.0","210.0","255.0","250.0","250.0","167.5","160.0","165.0","189.8","189.8","160.09","0.0","18.56"
"38.0","Georgette","1 mtr","135.0","132.5","125.0","120.0","95.0","95.0","140.0","90.0","110.0","91.15","100.0","125.0","130.0","110.0","92.5","90.0","95.0","110.36","110.29","98.1","0.06","12.5"
"39.0","Sandal Bata (Gents)","Pair","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","649.0","499.0","0.0","30.06"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","399.0","0.0","25.06"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","116.0","0.0","7.05"
"44.0","Kerosene Oil","1 Ltr","131.0","131.0","130.0","131.0","118.5","126.0","118.0","125.0","128.0","131.6","130.0","122.5","140.0","124.68","125.0","117.0","125.0","126.72","124.84","119.29","1.51","6.23"
"45.0","Firewood Whole","40 kg","650.0","608.33","650.0","637.5","652.86","575.0","400.0","510.0","500.0","481.08","400.0","350.0","450.0","627.67","430.0","525.0","400.0","520.44","517.38","474.11","0.59","9.77"
"46.0","Energy Saver (14 watts)","Each","162.5","162.5","155.0","155.0","165.0","162.5","155.0","160.0","165.0","155.0","155.0","150.0","160.0","190.0","152.5","180.0","160.0","161.47","161.47","147.94","0.0","9.15"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","19.0","19.0","16.0","20.0","40.0","25.0","38.0","22.0","18.0","14.0","25.0","19.5","20.0","17.0","20.0","30.0","30.0","23.09","23.03","20.74","0.26","11.33"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","1.5","1.5","1.0","2.0","1.8","2.0","2.0","1.5","1.7","1.0","1.0","1.38","1.29","1.09","6.98","26.61"
"49.0","Petrol, Super","1 Ltr","113.53","113.55","113.7","116.31","113.61","113.7","116.3","115.4","116.35","113.6","114.4","113.7","115.9","113.6","118.1","114.82","118.8","115.02","110.88","104.42","3.73","10.15"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","117.3","117.3","117.4","119.7","117.31","117.4","119.5","119.4","119.6","117.3","118.0","117.4","119.9","117.3","121.0","118.19","122.4","118.61","113.91","113.75","4.13","4.27"
"51.0","LPG Cylinder, 11kg","Each","1564.0","1554.0","1365.65","1430.0","1463.0","1630.0","1530.0","1560.0","1650.0","1430.0","1485.0","1529.0","1546.6","1760.0","1548.0","1495.0","1550.0","1534.72","1529.65","1515.47","0.33","1.27"
