"10/1/2013 1:25 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of September 2013","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Sep 13 Aug 13 Sep 12","","","%change Sep 13 over
Aug 13 Sep 12",""
"1.0","Wheat","10 kg","352.5","352.5","355.0","358.5","365.63","354.38","345.0","351.25","347.5","370.0","402.5","365.0","375.0","353.75","365.0","365.0","380.0","362.27","349.8","288.04","3.56","25.77"
"2.0","Wheat Flour, Bag","10 kg","405.79","403.54","405.0","405.0","397.0","407.5","376.88","393.75","400.0","452.5","431.88","405.0","400.0","413.33","427.5","402.5","397.5","407.33","395.53","334.48","2.98","21.78"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","77.5","76.88","76.79","82.5","65.0","77.5","62.5","76.54","68.13","65.0","80.0","78.33","57.75","90.0","60.0","74.21","73.81","67.3","0.54","10.27"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","61.74","65.0","52.5","43.0","52.5","56.54","48.75","52.5","45.0","48.33","59.0","48.0","55.0","53.89","53.69","49.05","0.37","9.87"
"5.0","Bread Plain, Medium Size","Each","36.0","36.0","40.0","40.0","40.0","40.0","38.0","40.0","39.0","40.0","36.0","40.0","37.25","32.5","35.0","37.5","35.0","37.78","36.46","32.65","3.62","15.71"
"6.0","Beef With Bone, Average quality","1 kg","295.0","286.67","280.0","280.0","307.86","272.5","262.5","275.0","265.0","306.15","292.5","255.0","280.0","265.0","260.0","290.0","289.0","280.13","277.32","266.41","1.01","5.15"
"7.0","Mutton, Average Quality","1 kg","610.0","603.75","550.0","600.0","631.79","600.0","500.0","545.0","537.5","612.31","550.0","490.0","550.0","536.67","425.0","530.0","500.0","551.3","546.83","510.0","0.82","8.1"
"8.0","Chicken Farm, Broiler, Live","1 kg","147.27","134.23","128.75","133.0","126.0","134.38","136.25","137.38","133.5","161.0","150.6","156.0","157.5","154.5","159.38","163.75","216.25","148.81","171.13","129.87","-13.04","14.58"
"9.0","Milk, Fresh, Unboiled","1 Ltr","81.25","73.33","70.0","60.0","59.31","62.5","55.0","70.0","55.0","78.0","74.0","70.0","80.0","60.0","67.5","75.0","72.5","68.43","68.3","64.63","0.19","5.88"
"10.0","Curd (Dahi)","1 kg","95.0","80.78","80.0","70.0","70.0","70.0","65.0","80.0","60.0","108.0","97.0","80.0","92.5","70.0","77.5","90.0","82.75","80.5","79.87","75.06","0.79","7.25"
"11.0","Powdered Milk, Nido, Polybag","400 gm","297.5","297.5","297.5","297.5","295.0","297.5","290.0","295.0","295.0","290.0","295.0","297.5","297.5","290.0","290.0","290.0","290.0","294.26","290.0","290.0","1.47","1.47"
"12.0","Eggs Hen, Farm","Dozen","100.04","96.1","100.0","103.75","95.79","99.38","100.0","97.09","99.0","100.0","100.0","102.0","100.0","92.04","98.13","102.5","85.0","98.28","85.85","90.77","14.48","8.27"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","165.0","160.0","174.46","195.0","175.0","177.5","170.0","173.08","153.69","134.75","190.0","220.0","190.0","180.0","190.0","183.59","182.97","187.81","0.34","-2.25"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","530.0","530.0","545.0","545.0","535.0","535.0","530.0","535.0","530.0","550.0","545.0","545.0","530.0","535.0","525.0","545.0","545.0","537.35","536.76","550.0","0.11","-2.3"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","490.0","490.0","505.0","505.0","505.0","505.0","490.0","505.0","490.0","540.0","505.0","525.0","520.0","505.0","505.0","545.0","545.0","510.29","508.88","539.49","0.28","-5.41"
"16.0","Vegetable Ghee (Loose)","1 kg","166.13","157.92","145.0","150.0","149.57","148.25","148.0","160.0","157.5","161.54","155.0","150.0","145.0","164.17","152.5","200.0","170.0","157.68","157.66","165.04","0.01","-4.46"
"17.0","Bananas","Dozen","100.94","70.0","63.13","57.5","62.68","55.0","45.0","62.5","55.0","53.08","50.63","52.5","55.0","66.87","63.75","58.75","70.0","61.31","81.11","74.0","-24.41","-17.15"
