"3/3/2014 2:46 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of February 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 14 Jan 14 Feb 13","","","%change Feb 14 over
Jan 14 Feb 13",""
"1.0","Wheat","10 kg","399.38","400.63","399.0","400.0","411.25","382.81","395.13","384.38","390.31","385.0","386.25","400.0","375.0","420.0","407.5","440.0","420.0","399.8","397.57","335.86","0.56","19.04"
"2.0","Wheat Flour, Bag","10 kg","403.75","400.84","397.5","400.0","397.0","410.0","407.5","418.75","425.38","480.0","462.19","431.25","420.63","439.17","442.5","470.0","470.0","428.03","424.25","368.46","0.89","16.17"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","66.25","70.0","76.79","80.94","67.5","77.5","62.5","76.54","71.25","75.0","80.0","78.33","54.94","90.0","60.0","73.8","73.72","69.85","0.11","5.65"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","63.07","65.0","55.0","41.0","52.5","56.54","50.0","52.5","32.5","48.48","79.38","45.0","55.0","54.37","54.33","50.47","0.07","7.73"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","40.0","50.0","38.0","35.0","35.0","37.5","35.0","40.32","40.32","35.43","0.0","13.8"
"6.0","Beef With Bone, Average quality","1 kg","302.5","293.34","280.0","280.0","318.93","275.0","265.0","275.0","265.0","323.46","292.5","290.0","280.0","269.58","260.0","310.0","300.0","287.08","284.45","268.57","0.92","6.89"
"7.0","Mutton, Average Quality","1 kg","615.94","608.33","575.0","600.0","640.36","600.0","500.0","566.25","562.5","629.23","550.0","510.0","565.0","557.5","480.0","550.0","500.0","565.3","557.32","514.84","1.43","9.8"
"8.0","Chicken Farm, Broiler, Live","1 kg","156.14","145.37","143.0","148.75","139.86","148.13","150.0","157.29","150.0","183.95","172.5","166.0","166.25","163.25","173.25","182.5","215.0","162.43","182.75","146.7","-11.12","10.72"
"9.0","Milk, Fresh, Unboiled","1 Ltr","84.22","75.68","70.0","60.0","60.54","62.5","60.0","70.83","60.0","78.0","74.0","70.0","80.0","60.0","67.5","75.0","70.0","69.31","69.14","65.56","0.25","5.72"
"10.0","Curd (Dahi)","1 kg","97.82","83.7","80.0","70.0","70.0","75.0","67.5","80.0","65.0","108.0","97.0","80.0","95.0","70.0","77.5","90.0","80.0","81.56","81.19","75.49","0.46","8.04"
"11.0","Powdered Milk, Nido, Polybag","400 gm","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","320.0","325.0","325.0","325.0","325.0","324.71","313.12","290.0","3.7","11.97"
"12.0","Eggs Hen, Farm","Dozen","105.57","99.42","102.75","103.38","99.29","104.44","100.75","102.17","99.0","104.97","107.81","110.0","108.75","106.04","110.0","111.88","137.5","106.69","106.59","86.73","0.09","23.01"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","166.25","162.5","182.95","188.13","190.0","172.5","170.0","173.08","160.0","148.5","200.0","222.09","180.0","190.0","190.0","186.38","185.93","186.31","0.24","0.04"
