"03/02/2014 14:33","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of January 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jan 14 Dec 13 Jan 13","","","%change Jan 14 over
Dec 13 Jan 13",""
"1.0","Wheat","10 kg","395.0","395.0","395.0","400.0","406.75","377.5","393.5","377.5","383.38","370.0","380.0","400.0","375.0","404.0","450.0","440.0","416.0","397.57","397.43","331.85","0.04","19.8"
"2.0","Wheat Flour, Bag","10 kg","400.25","398.44","397.5","400.0","397.0","414.0","401.25","414.0","415.0","480.0","461.25","433.5","417.0","440.0","436.0","470.0","437.0","424.25","424.59","366.82","-0.08","15.66"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","62.5","70.0","76.79","81.5","67.5","77.5","62.5","76.54","70.25","75.0","80.0","78.33","57.75","90.0","60.0","73.72","74.46","69.0","-0.99","6.84"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","63.07","65.0","55.0","41.0","52.5","56.54","50.0","52.5","32.2","48.42","80.0","45.0","54.0","54.33","54.17","49.89","0.3","8.9"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","40.0","50.0","38.0","35.0","35.0","37.5","35.0","40.32","39.99","34.8","0.83","15.86"
"6.0","Beef With Bone, Average quality","1 kg","295.0","286.67","280.0","280.0","318.93","275.0","265.0","275.0","265.0","306.15","292.5","278.0","280.0","268.33","260.0","310.0","300.0","284.45","283.39","268.57","0.37","5.91"
"7.0","Mutton, Average Quality","1 kg","611.25","608.33","550.0","600.0","640.36","600.0","500.0","551.0","562.5","612.31","550.0","510.0","565.0","538.67","425.0","550.0","500.0","557.32","556.48","513.68","0.15","8.5"
"8.0","Chicken Farm, Broiler, Live","1 kg","181.03","171.43","164.4","168.2","158.57","169.0","168.0","175.83","174.0","208.12","200.0","206.8","191.0","183.4","172.0","202.0","213.0","182.75","160.39","157.8","13.94","15.81"
"9.0","Milk, Fresh, Unboiled","1 Ltr","83.75","73.33","70.0","60.0","60.54","62.5","60.0","70.83","60.0","78.0","74.0","70.0","80.0","60.0","67.5","75.0","70.0","69.14","69.11","64.97","0.04","6.42"
"10.0","Curd (Dahi)","1 kg","96.88","82.29","80.0","70.0","70.0","71.0","67.5","80.0","65.0","108.0","97.0","80.0","95.0","70.0","77.5","90.0","80.0","81.19","81.12","75.41","0.09","7.66"
"11.0","Powdered Milk, Nido, Polybag","400 gm","315.0","315.0","315.0","315.0","315.0","310.0","315.0","315.0","315.0","315.0","315.0","315.0","308.0","310.0","308.0","307.0","315.0","313.12","298.68","290.0","4.83","7.97"
"12.0","Eggs Hen, Farm","Dozen","102.85","96.34","98.6","100.5","95.69","100.25","98.0","98.4","97.6","109.83","109.53","106.8","114.0","108.59","113.0","120.0","142.0","106.59","118.0","111.75","-9.67","-4.62"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","165.0","160.0","178.21","188.0","190.0","172.5","174.0","173.08","160.0","145.6","200.0","222.0","180.0","190.0","190.0","185.93","185.44","185.87","0.26","0.03"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","530.0","530.0","545.0","545.0","535.0","535.0","545.0","538.0","540.0","535.0","545.0","545.0","530.0","535.0","540.0","535.0","550.0","538.71","537.21","528.59","0.28","1.91"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 Ltr","510.0","510.0","505.0","505.0","505.0","505.0","510.0","507.6","510.0","520.0","505.0","525.0","520.0","505.0","510.0","530.0","550.0","513.68","510.76","517.53","0.57","-0.74"
"16.0","Vegetable Ghee (Loose)","1 kg","166.88","162.5","152.0","153.5","159.57","155.1","154.0","161.2","162.5","161.54","160.0","160.0","150.0","168.33","157.5","200.0","170.0","162.04","161.94","159.21","0.06","1.78"
"17.0","Bananas","Dozen","103.28","70.0","48.0","55.0","68.21","50.0","38.0","66.83","50.0","36.08","38.75","51.0","36.0","61.67","39.0","56.0","56.0","54.34","53.8","57.09","1.0","-4.82"
"18.0","Pulse Masoor, Washed","1 kg","136.88","130.67","130.0","110.0","134.21","135.0","139.0","119.0","120.0","116.54","113.75","130.0","112.0","116.67","110.0","130.0","105.0","122.87","121.51","99.99","1.12","22.88"
"19.0","Pulse Moong, Washed","1 kg","153.63","141.25","130.0","140.0","140.59","135.0","128.5","137.5","140.0","153.08","142.5","145.0","130.0","124.0","130.0","142.0","127.0","137.65","134.13","113.44","2.62","21.34"
"20.0","Pulse Mash, Washed","1 kg","147.0","135.02","150.0","147.5","148.57","148.0","130.0","122.5","129.0","123.08","121.25","135.0","122.0","122.08","125.0","150.0","127.0","134.29","132.58","131.71","1.29","1.96"
"21.0","Pulse Gram, Washed","1 kg","90.63","80.0","62.5","64.5","63.24","66.2","60.5","68.33","70.5","70.46","72.5","75.0","74.0","75.58","64.0","101.6","99.0","74.03","72.94","104.13","1.49","-28.91"
"22.0","Potatoes","1 kg","38.06","32.75","27.0","29.0","29.71","22.3","22.6","26.07","25.0","30.85","27.5","26.5","29.0","30.83","29.0","33.0","31.6","28.87","38.77","22.77","-25.54","26.79"
"23.0","Onions","1 kg","53.25","44.17","32.0","40.5","41.54","35.0","33.5","35.83","35.0","30.16","27.5","32.0","37.0","39.0","36.0","38.0","29.0","36.44","45.53","24.74","-19.96","47.29"
"24.0","Tomatoes","1 kg","59.35","49.96","45.0","52.0","52.22","46.25","39.0","40.5","40.5","34.77","40.1","38.5","46.0","41.0","37.5","39.0","43.0","43.8","56.6","57.35","-22.61","-23.63"
"25.0","Sugar, Refined","1 kg","57.54","53.33","52.0","52.5","52.19","50.75","50.0","50.2","50.0","51.02","50.0","50.0","50.0","52.33","50.0","51.6","50.2","51.39","54.12","52.52","-5.04","-2.15"
"26.0","Gur, Average Quality","1 kg","105.0","90.83","72.5","85.0","81.43","75.75","67.5","63.5","60.5","76.08","76.75","62.5","66.5","84.5","85.0","85.0","90.0","78.14","81.69","73.4","-4.35","6.46"
"27.0","Salt Powder, Loose, Lahori","1 kg","10.0","9.75","9.0","9.0","8.8","8.0","9.0","9.0","10.0","10.0","10.0","8.5","10.0","10.0","7.0","10.0","10.0","9.3","9.25","8.7","0.54","6.9"
"28.0","Red Chilly Powder, Loose","1 kg","248.75","225.33","200.0","225.0","185.71","204.0","220.0","205.0","190.0","273.08","240.0","230.0","180.0","196.67","206.0","290.0","200.0","218.8","217.42","238.6","0.63","-8.3"
"29.0","Garlic","1 kg","162.5","148.33","150.0","113.0","154.86","113.5","114.5","123.5","110.0","133.08","128.0","121.0","101.0","135.83","142.0","148.0","162.0","133.01","137.62","128.17","-3.35","3.78"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","147.37","152.63","152.63","147.37","147.37","152.63","150.53","148.48","158.59","144.21","-6.37","2.96"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","61.5","78.04","75.0","80.0","70.0","65.0","61.54","61.25","100.0","70.0","97.33","80.0","80.0","140.0","79.1","78.33","69.22","0.98","14.27"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","32.5","32.5","41.54","38.5","50.0","60.0","60.0","45.0","60.0","50.0","45.78","45.53","39.98","0.55","14.51"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","15.0","15.0","18.5","16.5","15.0","15.0","15.0","20.0","22.5","15.0","15.0","20.0","15.0","17.06","17.04","15.3","0.12","11.5"
"34.0","Cigarettes, K-2, 20's","Packet","39.0","39.0","40.0","40.0","36.0","40.0","40.0","36.0","36.0","38.0","36.0","38.0","40.0","40.0","38.0","35.0","40.0","38.29","38.06","32.32","0.6","18.47"
"35.0","Long Cloth","1 mtr","155.0","145.0","127.5","125.0","205.0","125.0","190.0","225.0","165.0","140.0","190.0","230.0","200.0","250.0","140.0","150.0","190.0","173.68","172.65","148.49","0.6","16.96"
"36.0","Shirting","1 mtr","145.0","142.5","175.0","165.0","98.57","125.0","140.0","182.0","115.0","106.15","120.0","120.0","130.0","225.0","127.5","150.0","190.0","144.51","143.44","124.85","0.75","15.75"
"37.0","Lawn","1 mtr","167.5","152.5","177.5","177.5","229.64","150.0","275.0","130.0","139.5","170.0","210.0","265.0","250.0","250.0","167.5","160.0","165.0","190.39","189.8","161.03","0.31","18.23"
"38.0","Georgette","1 mtr","135.0","132.5","125.0","120.0","95.0","95.0","140.0","90.0","110.0","99.62","100.0","125.0","130.0","110.0","92.5","90.0","95.0","110.86","110.86","102.38","0.0","8.28"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","674.0","599.0","3.71","16.69"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Electricity Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","123.12","0.0","0.86"
"44.0","Kerosene Oil","1 Ltr","131.0","131.0","130.0","131.0","118.5","125.5","118.0","125.0","128.0","132.0","130.0","122.5","140.0","124.67","125.0","117.0","125.0","126.72","126.72","117.96","0.0","7.43"
"45.0","Firewood Whole","40 kg","747.5","678.33","700.0","675.0","652.86","575.0","475.0","545.0","565.0","509.69","400.0","390.0","425.0","669.83","474.0","525.0","400.0","553.37","538.79","502.35","2.71","10.16"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","155.0","165.0","175.0","155.0","155.0","155.0","168.0","190.0","156.0","180.0","150.0","163.32","162.28","151.74","0.64","7.63"
"47.0","Washing Soap, 200-250 g, Specify Name","Cake","22.5","22.5","16.0","20.0","40.0","25.0","38.0","22.0","18.4","14.0","25.0","19.5","20.0","18.0","20.0","30.0","30.0","23.58","23.56","21.06","0.08","11.97"
"48.0","Match Box, Regular","Each","1.0","1.0","1.0","1.0","1.0","1.5","1.5","1.5","2.0","2.0","2.0","2.0","2.0","2.0","1.5","1.0","1.5","1.5","1.49","1.09","0.67","37.61"
"49.0","Petrol, Super","1 Ltr","113.05","113.1","113.2","114.0","113.13","113.45","113.3","114.9","113.6","113.1","113.9","113.2","115.4","113.1","117.6","113.2","118.3","114.09","114.09","103.33","0.0","10.41"
"50.0","Hi Speed Diesel (HSP)","1 Ltr","117.1","117.1","117.2","118.0","117.11","117.05","117.4","119.2","117.5","117.1","117.8","117.2","119.7","117.1","120.8","117.1","122.2","118.04","118.04","110.91","0.0","6.43"
"51.0","LPG Cylinder, 11kg","Each","1568.0","1558.0","1364.0","1430.0","1397.0","1475.0","1400.0","1496.0","1540.0","1320.0","1430.0","1530.38","1485.0","1716.0","1450.0","1524.0","1600.0","1487.26","1550.08","1879.65","-4.05","-20.88"
"52.0","Telephone Local Call Charges, 3 Minutes","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.66","0.0","7.65"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","32.0","0.0","12.5"
