"7/1/2014 12:51 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2014","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuzdar","Average Prices
May 14","June 13","June 14","%change June 14 over
May 14 June 13",""
"1.0","Wheat","10 kg","345.0","345.0","337.5","341.25","330.0","313.13","315.0","311.25","319.69","340.0","355.0","320.0","312.5","345.0","343.75","385.0","400.0","338.77","339.19","319.86","-0.12","5.91"
"2.0","Wheat Flour, Bag","10 kg","392.51","391.67","363.13","360.0","376.0","342.5","362.5","355.0","375.0","428.08","416.25","381.88","372.5","379.59","383.75","410.0","445.0","384.43","389.35","369.33","-1.26","4.09"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","70.0","70.0","78.67","81.25","67.5","77.5","62.5","76.54","75.63","75.0","80.0","79.58","52.5","85.0","60.0","74.04","74.01","72.12","0.04","2.66"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","63.07","65.0","52.5","41.0","52.5","61.54","50.0","52.5","35.38","48.5","77.5","45.0","55.0","54.58","54.45","51.66","0.24","5.65"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","38.0","35.21","35.0","37.5","35.0","40.57","40.56","35.56","0.02","14.09"
"6.0","Beef With Bone, Average quality","1 kg","311.25","301.25","280.0","280.0","326.43","275.0","265.0","275.0","265.0","329.23","300.0","290.0","280.0","270.0","270.0","310.0","300.0","289.89","288.72","273.62","0.41","5.95"
"7.0","Mutton, Average Quality","1 kg","651.88","637.5","600.0","600.0","654.46","600.0","500.0","570.0","562.5","629.23","575.0","510.0","565.0","585.83","480.0","550.0","500.0","574.79","572.03","540.18","0.48","6.41"
"8.0","Chicken Farm, Broiler, Live","1 kg","167.2","158.71","147.0","151.25","143.36","151.25","152.5","158.75","153.5","167.71","166.88","178.0","177.5","171.0","168.25","184.38","211.25","165.21","167.59","176.75","-1.42","-6.53"
"9.0","Milk, Fresh, Unboiled","1 Ltr","87.5","81.25","77.5","70.0","68.04","67.5","60.0","70.83","60.0","84.0","78.67","75.0","80.0","71.88","70.0","85.0","80.0","74.54","72.96","67.37","2.17","10.64"
"10.0","Curd (Dahi)","1 kg","102.5","91.04","88.5","80.0","75.54","77.5","74.0","80.0","68.13","120.0","106.0","85.0","95.0","79.38","80.0","100.0","80.0","87.21","85.04","78.55","2.55","11.02"
"11.0","Powdered Milk, Nido, Polybag","400 gm","350.0","350.0","350.0","350.0","350.0","350.0","347.5","343.75","350.0","337.5","343.75","350.0","350.0","343.75","327.5","325.0","331.25","344.12","325.0","290.0","5.88","18.66"
"12.0","Eggs Hen, Farm","Dozen","81.21","76.75","78.0","76.88","76.79","80.81","78.0","74.25","77.0","84.42","86.38","84.0","80.0","78.5","81.25","93.75","115.0","82.53","80.66","77.54","2.32","6.44"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","155.0","160.0","188.93","192.5","190.0","172.5","160.0","173.08","160.0","139.0","200.0","221.67","178.75","190.0","190.0","184.94","184.28","182.74","0.36","1.2"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","540.0","540.0","545.0","545.0","535.0","545.0","538.75","540.0","540.0","545.0","545.0","545.0","530.0","540.0","540.0","540.0","550.0","541.4","540.81","537.35","0.11","0.75"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 kg","510.0","510.0","505.0","505.0","505.0","510.0","507.5","510.0","510.0","505.0","505.0","525.0","520.0","510.0","510.0","510.0","550.0","512.21","513.38","505.0","-0.23","1.43"
"16.0","Vegetable Ghee (Loose)","1 kg","168.75","163.08","150.0","150.0","155.71","148.38","150.25","160.0","160.0","161.54","160.0","160.0","145.0","168.96","155.0","190.0","170.0","159.8","160.67","157.41","-0.54","1.52"
"17.0","Bananas","Dozen","185.63","175.42","121.25","128.75","124.64","73.75","80.0","104.38","97.5","84.62","77.5","86.25","72.5","103.33","124.38","92.5","75.0","106.32","95.03","74.6","11.88","42.52"
"18.0","Pulse Masoor, Washed","1 kg","141.25","130.63","150.0","120.0","152.32","147.19","137.5","122.5","120.0","121.54","117.5","130.0","111.25","120.0","120.0","136.0","115.0","128.98","128.37","107.02","0.48","20.52"
"19.0","Pulse Moong, Washed","1 kg","180.31","164.58","161.25","150.0","161.52","175.0","155.0","165.0","165.0","173.08","171.25","155.0","167.5","150.62","152.5","146.25","140.0","160.82","158.32","119.05","1.58","35.09"
"20.0","Pulse Mash, Washed","1 kg","158.75","155.0","158.75","152.5","153.84","160.0","149.38","147.5","160.0","143.08","142.5","135.0","136.25","141.77","137.5","165.0","140.0","149.22","143.05","130.72","4.31","14.15"
"21.0","Pulse Gram, Washed","1 kg","88.75","75.83","62.5","62.0","66.07","68.25","62.5","69.17","70.0","83.08","72.5","75.0","71.25","76.67","70.0","107.5","100.0","75.36","75.15","83.53","0.28","-9.78"
"22.0","Potatoes","1 kg","72.42","66.98","58.13","67.5","60.58","68.44","60.63","67.71","55.63","58.08","58.44","52.5","52.5","61.46","55.63","55.0","58.75","60.61","56.05","25.05","8.14","141.96"
"23.0","Onions","1 kg","47.19","40.0","30.0","36.88","34.46","32.19","26.25","27.08","26.88","36.54","30.94","28.75","29.38","34.9","28.75","32.5","27.5","32.36","32.77","37.93","-1.25","-14.68"
"24.0","Tomatoes","1 kg","39.14","30.42","30.63","34.38","34.06","34.06","23.75","31.46","36.25","36.45","43.28","36.25","40.0","19.17","19.38","32.5","26.25","32.2","24.45","59.64","31.7","-46.01"
