"4/1/2014 3:11 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of March 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Mar 14 Feb 14 Mar 13","","","%change Mar 14 over
Feb 14 Mar 13",""
"1.0","Wheat","10 kg","401.25","402.5","404.0","400.0","412.66","389.06","401.88","400.0","404.69","390.0","367.5","415.0","384.38","420.0","415.63","440.0","420.0","404.03","399.8","334.79","1.06","20.68"
"2.0","Wheat Flour, Bag","10 kg","403.75","401.46","397.5","400.0","397.0","412.5","428.75","430.0","440.0","474.81","460.0","460.63","448.75","444.58","452.5","472.5","480.0","435.57","428.03","366.15","1.76","18.96"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","67.5","70.0","76.79","81.25","67.5","77.5","62.5","76.54","75.63","75.0","80.0","78.33","52.5","90.0","60.0","74.01","73.8","70.53","0.28","4.93"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","63.07","65.0","55.0","41.0","52.5","56.54","50.0","52.5","32.5","48.5","77.5","45.0","55.0","54.26","54.37","50.87","-0.2","6.66"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","40.0","50.0","38.0","35.0","35.0","37.5","35.0","40.32","40.32","35.46","0.0","13.71"
"6.0","Beef With Bone, Average quality","1 kg","310.0","300.0","280.0","280.0","318.93","275.0","265.0","275.0","265.0","329.23","292.5","290.0","280.0","270.0","260.0","310.0","300.0","288.27","287.08","268.99","0.41","7.17"
"7.0","Mutton, Average Quality","1 kg","625.94","612.08","600.0","600.0","640.36","600.0","500.0","570.0","562.5","629.23","550.0","510.0","565.0","563.33","480.0","550.0","500.0","568.14","565.3","520.59","0.5","9.13"
"8.0","Chicken Farm, Broiler, Live","1 kg","160.44","150.44","146.0","150.25","145.36","157.5","152.5","159.59","156.0","186.83","180.0","175.0","172.5","161.0","171.75","182.5","217.5","166.19","162.43","130.46","2.31","27.39"
"9.0","Milk, Fresh, Unboiled","1 Ltr","84.38","76.46","70.0","60.0","60.54","62.5","60.0","70.83","60.0","78.0","74.0","70.0","80.0","60.0","68.75","75.0","70.0","69.44","69.31","65.6","0.19","5.85"
"10.0","Curd (Dahi)","1 kg","98.13","84.17","80.0","70.0","70.0","75.0","69.38","80.0","65.0","108.0","97.0","80.0","95.0","70.0","78.75","90.0","80.0","81.79","81.56","75.85","0.28","7.83"
"11.0","Powdered Milk, Nido, Polybag","400 gm","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","320.0","325.0","325.0","325.0","325.0","324.71","324.71","290.0","0.0","11.97"
"12.0","Eggs Hen, Farm","Dozen","115.5","109.56","116.25","110.88","109.04","114.5","110.75","108.92","109.5","113.02","114.0","120.5","115.0","116.67","117.5","120.0","128.75","114.73","106.69","88.61","7.54","29.48"
"13.0","Mustard Oil, Average Quality","1 kg","240.0","232.5","170.0","170.0","188.93","187.5","190.0","172.5","170.0","173.08","160.0","149.0","200.0","221.67","180.0","190.0","190.0","187.36","186.38","187.06","0.53","0.16"
"14.0","Cooking Oil, Tin, Specify Name","2.5 Ltr","540.0","540.0","545.0","545.0","535.0","535.0","545.0","540.0","540.0","535.0","545.0","545.0","530.0","537.5","540.0","535.0","550.0","540.15","539.71","527.79","0.08","2.34"
"15.0","Vegetable Ghee, Tin, Specify Name","2.5 kg","510.0","510.0","505.0","505.0","505.0","505.0","510.0","510.0","510.0","520.0","505.0","525.0","520.0","510.0","510.0","530.0","550.0","514.12","513.9","505.0","0.04","1.81"
"16.0","Vegetable Ghee (Loose)","1 kg","168.28","162.94","159.25","162.5","163.95","159.63","158.5","169.5","167.5","161.54","160.0","160.0","146.25","175.52","159.69","200.0","170.0","165.0","161.95","157.88","1.88","4.51"
"17.0","Bananas","Dozen","119.38","90.84","77.5","76.25","85.76","53.44","52.5","82.09","56.25","61.35","46.88","52.5","38.75","68.33","78.44","60.0","60.0","68.25","59.5","62.84","14.71","8.61"
"18.0","Pulse Masoor, Washed","1 kg","141.25","131.61","150.0","124.38","157.32","143.44","147.5","119.0","120.0","119.33","113.75","130.0","109.38","116.67","120.0","131.25","105.0","128.23","126.66","100.42","1.24","27.69"
"19.0","Pulse Moong, Washed","1 kg","159.69","145.37","137.5","140.0","156.7","143.44","145.0","149.38","155.0","151.83","152.5","150.0","151.25","131.88","137.5","148.5","135.0","146.5","140.61","114.12","4.19","28.37"
"20.0","Pulse Mash, Washed","1 kg","150.0","136.04","150.0","146.25","143.57","142.81","132.5","122.5","125.0","123.08","121.25","135.0","120.0","121.67","127.5","150.0","130.0","133.95","134.5","130.74","-0.41","2.46"
