"6/2/2014 1:50 PM","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Average Monthly Prices of 53 Essential Items for the month of May 2014","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-war","Bannu","Quetta","Khuz-dar","Average Prices
May 14 Apr 14 May 13","","","%change May 14 over
Apr 14 May 13",""
"1.0","Wheat","10 kg","345.0","346.88","333.0","313.38","327.19","310.94","317.5","308.75","306.1","357.5","352.5","320.0","312.5","358.75","338.75","417.5","400.0","339.19","376.59","306.95","-9.93","10.5"
"2.0","Wheat Flour, Bag","10 kg","393.44","391.72","365.0","360.0","376.0","353.75","361.25","357.5","373.75","443.08","415.31","378.75","378.75","385.73","390.0","445.0","450.0","389.35","416.11","354.12","-6.43","9.95"
"3.0","Rice Basmati Broken, Average Quality","1 kg","86.25","80.83","70.0","70.0","76.79","81.25","67.5","77.5","62.5","76.54","75.63","75.0","80.0","78.33","52.5","87.5","60.0","74.01","74.13","71.23","-0.16","3.9"
"4.0","Rice Irri (Punjab/Sindh)","1 kg","62.5","60.83","52.5","52.5","63.07","65.0","52.5","41.0","52.5","61.54","50.0","52.5","33.25","48.48","77.5","45.0","55.0","54.45","54.32","51.23","0.24","6.29"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","38.0","35.0","35.0","37.5","35.0","40.56","40.51","35.49","0.12","14.29"
"6.0","Beef With Bone, Average quality","1 kg","310.0","300.0","280.0","280.0","318.93","275.0","265.0","275.0","265.0","329.23","295.0","290.0","280.0","270.0","265.0","310.0","300.0","288.72","288.55","272.41","0.06","5.99"
"7.0","Mutton, Average Quality","1 kg","645.31","630.0","600.0","600.0","640.36","600.0","500.0","570.0","562.5","629.23","556.25","510.0","565.0","585.83","480.0","550.0","500.0","572.03","570.98","536.51","0.18","6.62"
"8.0","Chicken Farm, Broiler, Live","1 kg","157.95","148.45","150.25","156.75","150.62","157.38","157.5","163.75","159.0","185.46","172.5","178.0","181.25","161.0","175.5","177.5","216.25","167.59","169.14","142.01","-0.92","18.01"
"9.0","Milk, Fresh, Unboiled","1 Ltr","85.79","78.34","73.75","60.0","62.42","67.5","60.0","70.83","60.0","83.31","78.67","73.75","80.0","71.04","70.0","85.0","80.0","72.96","71.84","66.44","1.56","9.81"
"10.0","Curd (Dahi)","1 kg","99.85","86.67","84.0","70.0","71.07","76.25","71.0","80.0","67.5","117.89","103.5","83.75","95.0","79.17","80.0","100.0","80.0","85.04","83.49","77.08","1.86","10.33"
"11.0","Powdered Milk, Nido, Polybag","400 gm","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","325.0","290.0","0.0","12.07"
"12.0","Eggs Hen, Farm","Dozen","77.63","72.61","75.0","72.5","71.79","76.38","71.75","69.92","72.0","80.17","81.5","79.5","80.0","76.17","81.88","98.75","133.75","80.66","86.65","72.81","-6.91","10.78"
