"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of November 2014","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 14 Oct 14 Nov 13","","","%change Nov 14 over
Oct 14 Nov 13",""
"1.0","Wheat","10 Kg","365.0","365.0","344.0","357.5","352.5","341.25","333.06","338.13","345.63","343.75","350.0","351.25","312.5","390.0","348.75","385.0","400.0","354.31","351.86","382.88","0.7","-7.46"
"2.0","Wheat Flour, Bag","10 Kg","408.44","408.33","400.0","400.0","399.0","370.0","397.88","386.25","400.0","430.58","420.0","380.0","380.0","402.08","413.75","410.0","440.0","402.72","403.75","420.86","-0.26","-4.31"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","86.25","80.83","72.5","70.0","79.29","81.25","67.5","77.5","62.5","76.54","77.5","75.0","80.0","77.81","51.0","90.0","60.0","74.44","74.48","75.06","-0.05","-0.83"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","62.5","60.83","48.75","48.75","65.32","65.0","52.31","41.0","52.5","56.54","50.0","52.5","32.0","48.86","52.5","50.0","50.0","52.32","52.82","53.48","-0.95","-2.17"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","39.03","0.0","4.59"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","280.0","275.0","293.33","265.0","346.15","300.0","290.0","290.0","274.17","272.5","400.0","320.0","301.97","301.77","282.12","0.07","7.04"
"7.0","Mutton, Average Quality","1 Kg","658.75","658.33","600.0","600.0","680.58","600.0","550.0","593.33","562.5","659.23","575.0","535.0","600.0","590.83","490.0","600.0","520.0","592.56","591.67","553.83","0.15","6.99"
"8.0","Chicken Farm, Broiler, Live","1 Kg","146.63","132.92","128.75","131.75","125.11","133.13","137.0","145.0","136.5","161.06","155.0","147.5","150.0","143.5","168.75","172.5","217.5","148.98","134.31","135.02","10.92","10.34"
"9.0","Milk, Fresh, Unboiled","1 Ltr","87.97","83.33","77.5","70.0","77.21","70.0","60.0","75.0","60.0","84.0","80.0","75.0","80.0","72.5","72.5","90.0","80.0","76.18","75.83","68.78","0.46","10.76"
"10.0","Curd (Dahi)","1 Kg","104.06","93.75","88.5","80.0","83.04","80.0","74.0","85.0","70.0","120.0","106.0","90.0","95.0","80.0","82.5","100.0","90.0","89.52","89.36","80.92","0.18","10.63"
"11.0","Powdered Milk, Nido, Polybag","400 gm","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","350.0","298.46","0.0","17.27"
"12.0","Eggs Hen, Farm","Dozen","114.98","109.31","113.75","120.0","109.52","113.13","113.0","113.42","112.0","115.45","116.94","118.0","110.0","117.5","118.75","123.75","111.25","114.75","106.13","113.18","8.12","1.39"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","232.5","155.0","160.0","183.26","195.0","190.0","172.5","160.0","176.54","160.0","147.5","200.0","221.67","180.0","190.0","190.0","185.53","185.29","183.15","0.13","1.3"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","520.0","520.0","545.0","545.0","535.0","545.0","520.0","540.0","520.0","545.0","545.0","545.0","530.0","535.0","540.0","540.0","550.0","536.47","537.0","537.72","-0.1","-0.23"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","505.0","505.0","505.0","505.0","505.0","510.0","505.0","505.0","505.0","505.0","505.0","525.0","520.0","505.0","510.0","510.0","550.0","510.59","510.71","510.68","-0.02","-0.02"
"16.0","Vegetable Ghee (Loose)","1 Kg","165.0","160.25","145.0","150.0","158.26","143.88","145.25","155.25","156.25","161.54","155.0","158.75","145.0","159.79","167.5","190.0","170.0","158.04","158.76","160.71","-0.45","-1.66"
"17.0","Bananas","Dozen","105.63","90.0","58.75","65.0","72.14","45.0","44.38","67.5","52.5","58.08","48.13","45.0","48.75","59.8","58.75","58.75","72.5","61.8","69.78","53.45","-11.44","15.62"
"18.0","Pulse Masoor, Washed","1 Kg","148.75","137.08","158.75","120.0","146.34","152.5","150.0","134.58","140.0","124.33","125.0","137.5","121.88","127.92","132.5","140.0","115.0","136.01","131.31","116.25","3.58","17.0"
"19.0","Pulse Moong, Washed","1 Kg","171.1","161.04","162.5","160.0","158.44","162.5","135.0","156.25","171.25","163.08","161.25","155.0","157.5","152.29","153.75","182.5","140.0","159.03","150.94","128.36","5.36","23.89"
"20.0","Pulse Mash, Washed","1 Kg","180.63","168.75","170.0","175.0","177.01","177.5","160.0","156.88","163.75","153.08","149.06","150.0","150.0","158.65","152.5","186.25","140.0","162.89","160.46","130.92","1.51","24.42"
"21.0","Pulse Gram, Washed","1 Kg","87.5","79.17","70.0","70.63","68.97","74.75","66.88","68.75","71.25","81.54","72.5","75.0","75.63","80.11","70.0","106.25","83.75","76.63","75.53","71.2","1.46","7.63"
"22.0","Potatoes","1 Kg","72.03","69.48","69.63","70.0","67.06","64.06","55.63","68.75","56.88","50.58","54.06","50.0","53.75","62.08","54.69","42.5","60.0","60.07","65.14","59.9","-7.78","0.28"
"23.0","Onions","1 Kg","46.65","41.46","30.0","33.75","32.37","28.44","24.13","27.5","30.63","28.02","25.63","25.63","25.63","38.75","26.25","30.0","35.0","31.17","40.15","58.92","-22.37","-47.1"
"24.0","Tomatoes","1 Kg","66.41","55.94","51.25","50.0","49.82","51.88","42.5","48.96","42.5","38.08","30.78","40.0","43.75","47.08","44.38","43.75","48.75","46.81","72.34","115.78","-35.29","-59.57"
"25.0","Sugar, Refined","1 Kg","61.75","59.13","56.25","57.38","58.79","57.31","56.63","55.04","55.5","57.23","55.38","53.75","54.75","58.34","56.75","55.75","55.5","56.78","59.17","58.86","-4.04","-3.53"
"26.0","Gur, Average Quality","1 Kg","107.5","95.0","82.5","84.38","99.51","86.25","71.25","72.5","67.5","90.29","82.5","75.0","73.75","88.96","91.88","85.0","86.25","84.71","86.42","86.77","-1.98","-2.37"
"27.0","Salt Powder, Loose, Lahori","1 Kg","11.0","10.83","10.0","10.0","10.0","10.0","10.0","9.0","10.0","12.0","10.0","9.0","10.0","10.0","8.0","10.0","10.0","9.99","9.99","9.22","0.0","8.35"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","295.83","280.0","260.0","262.28","270.0","282.5","255.0","210.0","307.69","305.0","250.0","220.0","233.33","274.38","290.0","200.0","264.91","261.17","216.27","1.43","22.49"
"29.0","Garlic","1 Kg","178.13","162.5","126.25","132.5","167.14","117.5","114.38","121.29","127.5","148.85","125.0","117.5","110.0","147.92","149.38","120.0","147.5","136.08","133.58","135.06","1.87","0.76"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","128.42","128.42","128.42","128.42","128.42","128.42","128.5","128.42","128.42","128.42","128.42","124.21","128.42","128.42","128.42","124.21","124.21","127.68","127.38","169.35","0.24","-24.61"
"31.0","Cooked Beef, Average Hotel","Plate","83.75","81.25","60.0","62.5","78.04","75.0","95.0","70.0","65.0","71.54","65.0","100.0","70.0","113.33","90.0","80.0","140.0","82.38","82.35","76.98","0.04","7.01"
"32.0","Cooked Daal, Average Hotel","Plate","56.25","50.83","35.0","32.5","51.07","42.5","40.0","36.25","38.13","53.08","41.25","50.0","60.0","60.0","47.5","60.0","60.0","47.9","47.63","45.2","0.57","5.97"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","15.0","19.93","20.0","18.5","20.0","15.0","16.54","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.59","18.59","16.66","0.0","11.58"
"34.0","Cigarettes, K-2, 20's","Packet","45.0","45.0","45.0","50.0","45.0","45.0","48.0","43.0","45.0","45.0","46.0","45.0","45.0","45.0","45.0","50.0","40.0","45.41","45.41","37.71","0.0","20.42"
"35.0","Long Cloth","1 mtr","185.0","175.0","137.5","135.0","247.14","237.5","225.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","150.0","170.0","190.0","199.54","199.51","172.21","0.02","15.87"
"36.0","Shirting","1 mtr","172.5","165.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","138.08","130.0","120.0","130.0","270.83","130.0","160.0","190.0","156.76","156.76","142.7","0.0","9.85"
"37.0","Lawn","1 mtr","227.5","210.0","205.0","205.0","261.07","240.0","360.0","150.0","146.5","360.0","215.0","280.0","333.0","360.0","167.5","180.0","165.0","239.15","239.15","189.8","0.0","26.0"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","110.61","0.0","11.29"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","649.0","0.0","7.7"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","124.18","","124.18","","124.18","124.18","124.18","0.0","0.0"
"44.0","Kerosene Oil","1 Ltr","120.0","117.5","105.5","114.0","100.5","92.5","103.0","104.5","109.0","117.85","115.0","100.0","130.0","112.33","118.0","98.0","98.0","109.16","116.54","126.75","-6.33","-13.88"
"45.0","Firewood Whole","40 Kg","762.5","683.33","700.0","625.0","731.43","600.0","475.0","545.0","565.0","528.08","400.0","400.0","400.0","670.83","490.0","525.0","400.0","558.89","555.4","530.58","0.63","5.34"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","165.0","162.5","170.0","165.0","175.0","170.0","160.0","155.0","175.0","180.0","160.0","180.0","150.0","165.44","165.44","161.77","0.0","2.27"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","19.5","20.0","20.0","22.5","30.0","30.0","24.35","24.35","23.31","0.0","4.46"
"48.0","Match Box, Regular","Each","1.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.74","1.72","1.41","1.16","23.4"
"49.0","Petrol, Super","1 Ltr","94.5","94.55","94.7","96.2","94.57","94.7","96.47","94.6","95.44","94.5","95.1","94.5","97.3","94.5","98.2","94.6","94.6","95.24","104.99","114.09","-9.29","-16.52"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","101.5","101.55","101.7","103.7","101.57","101.7","103.41","101.6","102.46","101.53","102.2","101.6","104.4","101.6","105.3","101.6","101.6","102.3","108.63","118.04","-5.83","-13.33"
"51.0","LPG Cylinder, 11kg","Each","1645.00 1630.00 1416.25 1512.50 1416.25 1543.75 1512.50 1441.25 1526.25 1278.75 1430.00 1595.00 1487.75 1760.00 1492.50 1500.00 1543.75 1513.62 1687.06 1584.46","","","","","","","","","","","","","","","","","","","","-10.28","-4.47"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","36.0","0.0","0.0"
