"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of April 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
15 Mar 15","Apr
Apr 14","","%change Apr 15 over
Mar 15 Apr 14",""
"1.0","Wheat","10 Kg","348.5","348.5","343.6","355.0","343.25","325.0","316.0","312.0","319.38","350.0","310.0","332.0","290.0","350.0","328.0","385.0","406.0","338.95","347.89","376.59","-2.57","-9.99"
"2.0","Wheat Flour, Bag","10 Kg","387.88","384.33","382.5","384.5","387.0","355.0","366.0","366.0","374.0","407.08","396.0","363.5","365.0","375.0","387.0","410.0","442.0","384.28","390.14","416.11","-1.5","-7.65"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.75","79.54","62.5","65.0","73.57","77.5","57.0","71.5","60.0","74.46","75.63","75.0","80.0","68.33","51.0","83.0","55.0","70.16","70.91","74.13","-1.06","-5.36"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.25","60.21","47.5","47.5","64.57","65.0","50.0","37.0","52.5","51.54","48.0","52.5","32.0","42.5","52.5","46.0","45.0","50.33","50.56","54.32","-0.45","-7.35"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.51","0.0","0.77"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","286.0","275.0","293.33","265.0","346.15","300.0","290.0","290.0","281.67","280.0","400.0","320.0","303.2","302.7","288.55","0.17","5.08"
"7.0","Mutton, Average Quality","1 Kg","679.63","661.0","600.0","600.0","684.64","600.0","550.0","593.33","562.5","659.23","575.0","535.0","600.0","600.0","500.0","600.0","520.0","595.31","593.99","570.98","0.22","4.26"
"8.0","Chicken Farm, Broiler, Live","1 Kg","146.28","135.93","128.8","132.6","127.76","133.8","136.0","149.5","144.4","157.03","150.25","164.0","161.5","146.8","157.4","166.0","216.0","150.24","134.07","169.14","12.06","-11.17"
"9.0","Milk, Fresh, Unboiled","1 Ltr","89.38","83.33","77.5","70.0","77.21","70.0","62.5","75.0","60.0","84.0","80.0","75.0","80.0","76.17","72.5","90.0","80.0","76.62","76.41","71.84","0.27","6.65"
"10.0","Curd (Dahi)","1 Kg","105.0","93.75","88.5","80.0","83.04","80.0","74.0","86.67","70.0","120.0","106.0","90.0","95.0","82.66","82.5","100.0","90.0","89.83","89.67","83.49","0.18","7.59"
"11.0","Powdered Milk, Nido, Polybag","400 gm","360.0","360.0","360.0","360.0","360.0","350.0","360.0","360.0","360.0","360.0","360.0","350.0","350.0","350.0","350.0","350.0","350.0","355.88","355.88","325.0","0.0","9.5"
"12.0","Eggs Hen, Farm","Dozen","83.09","76.13","78.2","80.0","75.89","81.15","76.6","76.73","74.4","78.79","79.6","82.0","85.0","84.5","88.0","93.0","88.0","81.24","90.67","86.65","-10.4","-6.24"
