"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of August 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Aug 15 Jul 15 Aug 14","","","%change Aug 15 over
Jul 15 Aug 14",""
"1.0","Wheat","10 Kg","342.5","342.5","331.0","350.0","340.63","310.63","301.25","307.5","311.25","350.0","307.5","300.0","275.0","310.0","321.25","350.0","350.0","323.59","327.65","351.21","-1.24","-7.86"
"2.0","Wheat Flour, Bag","10 Kg","385.0","382.5","375.63","377.5","369.75","345.0","335.0","363.75","360.0","413.08","400.0","366.88","360.0","375.83","378.75","380.0","380.0","373.45","377.12","401.6","-0.97","-7.01"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.75","79.54","62.5","62.5","71.79","72.5","51.25","70.0","60.0","73.08","75.63","75.0","80.0","68.33","51.0","80.0","55.0","68.93","68.89","74.14","0.06","-7.03"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.25","60.21","47.5","47.5","60.71","62.5","50.0","37.0","52.5","44.62","48.0","52.5","32.0","42.5","52.5","50.0","45.0","49.78","49.83","54.47","-0.1","-8.61"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.66","0.0","0.39"
"6.0","Beef With Bone, (AQ)","1 Kg","325.0","327.5","287.5","287.5","332.5","290.0","275.0","300.0","292.5","346.15","310.0","310.0","300.0","307.5","285.0","400.0","320.0","311.54","307.38","298.54","1.35","4.35"
"7.0","Mutton, Average Quality","1 Kg","702.5","688.34","618.75","628.13","733.93","600.0","575.0","600.0","590.63","665.38","600.0","565.0","600.0","650.0","510.0","600.0","530.0","615.16","606.53","585.69","1.42","5.03"
"8.0","Chicken Farm, Broiler, Live","1 Kg","150.91","131.03","136.5","138.75","132.36","138.13","137.5","148.96","129.75","168.77","151.88","155.5","163.75","150.5","166.25","183.75","215.0","152.9","187.72","158.57","-18.55","-3.58"
"9.0","Milk, Fresh, Unboiled","1 Ltr","90.63","86.67","77.5","70.0","77.21","70.0","65.0","75.0","60.0","84.0","80.0","75.0","80.0","82.5","72.5","90.0","80.0","77.41","77.41","75.43","0.0","2.62"
