"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of December 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Dec 15 Nov 15 Dec 14","","","%change Dec 15 over
Nov 15 Dec 14",""
"1.0","Wheat","10 Kg","355.0","355.0","377.5","380.0","356.25","340.9","337.5","333.5","342.25","370.0","350.0","340.0","310.0","340.0","357.0","368.0","400.0","353.7","347.68","352.85","1.73","0.24"
"2.0","Wheat Flour, Bag","10 Kg","399.06","394.17","387.5","397.5","391.0","385.0","370.0","384.0","389.0","443.19","420.0","390.0","383.5","389.59","411.5","398.0","450.0","399.0","396.26","399.99","0.69","-0.25"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","76.25","70.83","50.0","50.0","49.57","55.5","45.5","63.0","55.0","68.52","65.0","69.0","70.0","67.5","49.0","80.0","50.0","60.86","62.78","73.55","-3.06","-17.25"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","47.5","47.5","45.32","50.0","47.5","35.0","47.5","43.31","40.0","52.5","26.3","41.67","52.5","50.0","39.2","45.79","46.03","51.91","-0.52","-11.79"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.82","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","296.0","344.29","300.0","277.5","320.0","300.0","348.08","310.0","310.0","300.0","307.5","290.0","400.0","320.0","317.04","316.1","302.34","0.3","4.86"
"7.0","Mutton, Average Quality","1 Kg","706.25","705.0","625.0","645.0","733.93","635.0","600.0","670.0","600.0","667.31","600.0","590.0","600.0","650.0","510.0","600.0","530.0","627.5","624.81","593.19","0.43","5.78"
"8.0","Chicken Farm, Broiler, Live","1 Kg","153.31","140.0","137.4","143.4","133.36","141.5","139.5","141.5","141.6","148.11","142.5","147.2","139.0","152.4","140.5","160.0","177.0","145.78","135.98","161.23","7.21","-9.58"
"9.0","Milk, Fresh, Unboiled","1 Ltr","96.25","89.17","77.5","70.0","77.21","70.0","65.0","75.0","60.0","84.0","80.0","75.0","80.0","82.5","77.0","90.0","80.0","78.15","77.96","76.26","0.24","2.48"
"10.0","Curd (Dahi)","1 Kg","105.63","100.0","88.5","80.0","83.04","80.0","80.0","90.0","80.0","120.0","106.0","90.0","100.0","90.0","85.75","100.0","90.0","92.29","92.06","89.58","0.25","3.03"
"11.0","Powdered Milk, Nido, Polybag","400 gm","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","380.0","374.0","380.0","370.0","380.0","360.0","380.0","380.0","377.88","377.65","350.0","0.06","7.97"
"12.0","Eggs Hen, Farm","Dozen","103.33","97.0","100.0","100.0","96.29","101.75","98.0","98.24","97.0","105.04","112.6","106.0","100.0","101.17","101.25","115.0","115.0","102.8","98.52","116.98","4.34","-12.12"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","150.0","183.93","200.0","175.5","168.33","160.0","168.85","140.0","132.5","200.0","220.0","194.0","190.0","180.0","180.48","180.18","185.08","0.17","-2.49"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","445.0","445.0","467.0","467.0","465.0","445.0","440.0","457.0","445.0","468.0","469.0","468.0","455.0","455.0","475.0","455.0","440.0","456.53","455.04","530.0","0.33","-13.86"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","440.0","440.0","452.0","452.0","460.0","436.0","445.0","440.0","440.0","453.0","452.0","453.0","440.0","450.0","470.0","445.0","445.0","447.82","446.9","508.97","0.21","-12.01"
"16.0","Vegetable Ghee (Loose)","1 Kg","146.25","142.08","132.0","135.0","136.11","129.9","125.6","143.5","143.0","140.02","140.0","140.0","105.0","146.5","151.0","150.0","120.0","136.82","137.16","155.13","-0.25","-11.8"
"17.0","Bananas","Dozen","116.25","86.83","59.5","61.0","69.07","45.0","45.0","71.33","55.0","52.54","43.25","55.0","54.5","69.5","55.0","51.5","60.0","61.78","59.29","60.25","4.2","2.54"
"18.0","Pulse Masoor, Washed","1 Kg","159.38","144.42","160.0","157.0","161.96","159.5","165.0","140.5","140.0","140.58","132.5","140.0","123.5","135.42","150.0","146.0","140.0","146.81","145.65","138.15","0.8","6.27"
"19.0","Pulse Moong, Washed","1 Kg","175.31","168.75","160.0","163.0","160.07","159.5","155.0","147.5","155.0","159.73","158.75","155.0","156.0","150.5","144.0","173.0","208.0","161.71","160.11","162.97","1.0","-0.77"
"20.0","Pulse Mash, Washed","1 Kg","266.25","255.83","255.0","250.0","241.72","258.0","262.0","253.0","250.0","241.42","249.5","244.0","254.0","240.67","240.0","263.0","204.0","248.73","237.47","161.5","4.74","54.01"
"21.0","Pulse Gram, Washed","1 Kg","142.5","136.25","118.0","122.5","119.11","119.0","111.0","120.83","120.0","124.94","121.88","125.0","116.5","130.0","114.0","139.0","117.0","123.38","122.61","76.94","0.63","60.36"
"22.0","Potatoes","1 Kg","44.38","37.0","31.0","32.75","32.86","31.0","24.0","32.67","29.0","24.54","24.5","23.0","22.0","30.0","30.0","20.8","21.6","28.89","33.37","38.92","-13.43","-25.77"
"23.0","Onions","1 Kg","69.13","58.5","49.5","51.5","49.89","46.75","44.0","46.83","48.5","45.75","40.94","43.0","52.0","57.67","48.0","45.0","44.0","49.47","60.97","23.62","-18.86","109.44"
"24.0","Tomatoes","1 Kg","75.0","64.5","68.0","68.0","70.21","63.0","64.0","57.83","62.0","53.92","53.25","50.0","66.0","59.67","55.0","57.0","74.0","62.43","81.04","57.13","-22.96","9.28"
"25.0","Sugar, Refined","1 Kg","62.25","59.48","56.5","56.7","60.31","57.1","55.8","55.1","57.6","58.06","53.81","53.5","54.1","57.87","57.4","56.4","59.4","57.14","59.56","54.12","-4.06","5.58"
"26.0","Gur, Average Quality","1 Kg","110.0","95.83","80.0","90.0","87.86","82.0","82.0","72.5","69.5","91.86","100.0","72.0","70.0","93.33","91.75","90.0","91.0","86.45","89.4","81.52","-3.3","6.05"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","9.6","10.0","10.0","10.0","10.0","10.0","10.45","10.41","9.99","0.38","4.6"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","252.5","252.14","255.0","290.0","233.0","210.0","326.25","277.5","265.0","240.0","230.0","276.5","310.0","300.0","271.91","270.94","265.83","0.36","2.29"
"29.0","Garlic","1 Kg","241.25","222.0","203.0","207.0","215.57","202.0","201.5","204.83","222.0","238.02","200.5","196.0","180.0","198.0","219.5","171.0","166.0","205.19","185.52","137.6","10.6","49.12"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.47","189.48","189.19","189.47","189.45","189.26","127.77","0.1","48.27"
"31.0","Cooked Beef, Average Hotel","Plate","92.5","90.83","62.5","62.5","81.04","75.0","100.0","70.0","70.0","75.58","75.94","100.0","75.0","120.0","90.0","80.0","140.0","85.93","85.61","82.94","0.37","3.61"
"32.0","Cooked Daal, Average Hotel","Plate","67.5","60.83","40.0","40.0","57.07","42.5","40.0","40.0","50.0","53.08","51.88","50.0","60.0","60.0","47.5","60.0","80.0","52.96","52.24","48.9","1.38","8.3"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","20.0","17.5","19.97","20.0","20.0","20.0","15.0","21.73","20.0","20.0","22.5","15.0","20.0","21.0","20.0","19.57","19.49","18.59","0.41","5.27"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","59.0","59.0","56.8","60.0","60.0","56.8","57.0","59.0","59.0","55.0","59.0","55.0","53.0","60.0","61.0","58.21","54.76","45.41","6.3","28.19"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","235.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","155.0","170.0","190.0","202.77","202.77","199.54","0.0","1.62"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","161.94","161.94","156.76","0.0","3.3"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","240.0","280.0","333.0","360.0","182.5","180.0","165.0","243.03","243.03","239.15","0.0","1.62"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","123.1","0.0","0.0"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","509.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.59","499.0","499.0","0.12","0.12"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","","128.7","128.7","124.18","0.0","3.64"
"44.0","Kerosene Oil","1 Ltr","100.0","100.0","78.0","89.0","68.5","72.0","81.25","78.0","79.0","98.85","90.0","78.5","100.0","86.17","92.0","68.0","70.0","84.07","84.31","103.28","-0.28","-18.6"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","500.0","555.0","625.0","618.27","450.0","400.0","425.0","691.67","490.0","580.0","450.0","593.62","590.0","561.64","0.61","5.69"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","170.0","155.0","175.0","180.0","160.0","180.0","150.0","166.62","166.62","165.44","0.0","0.71"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","20.0","20.0","22.5","30.0","30.0","24.74","24.74","24.35","0.0","1.6"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.5","2.5","2.0","2.5","2.0","2.0","2.25","2.5","2.0","2.0","1.0","1.5","1.99","1.96","1.74","1.53","14.37"
"49.0","Petrol, Super","1 Ltr","76.55","76.55","76.7","78.2","76.61","76.54","78.14","76.95","77.8","76.54","77.2","76.6","77.9","76.55","79.9","76.6","76.6","77.17","77.17","85.48","0.0","-9.72"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","84.15","84.15","84.3","85.9","84.15","84.13","85.55","84.75","85.5","84.13","84.8","84.2","85.5","84.14","87.0","84.2","84.2","84.75","84.75","95.04","0.0","-10.83"
"51.0","LPG Cylinder, 11kg","Each","1324.0","1300.0","1188.0","1276.0","1166.0","1160.0","1180.0","1250.0","1298.0","1111.0","1177.0","1188.0","1181.4","1305.33","1190.0","1265.00 1100.00","","1215.28 1105.29 1564.21","","","9.95","-22.31"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","35.8","35.8","37.0","37.0","35.2","37.0","37.0","35.8","35.4","35.4","37.0","36.2","37.0","35.8","36.0","36.0","36.0","36.2","36.71","36.0","-1.39","0.56"
