"","","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
15 May 15","","Jun 14","Jun","%change Jun 15 over
May 15 Jun 14",""
"1.0","Wheat","10 Kg","335.0","335.0","331.0","350.0","325.0","320.31","286.25","297.5","302.5","350.0","307.5","300.0","275.0","312.5","316.88","360.0","430.0","325.56","329.98","338.77","","-1.34","-3.9"
"2.0","Wheat Flour, Bag","10 Kg","384.38","382.5","382.5","377.5","365.5","345.63","327.5","352.5","350.0","403.08","405.0","363.13","362.5","369.8","374.38","390.0","450.0","375.64","379.33","384.43","","-0.97","-2.29"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.75","79.54","62.5","63.75","72.68","73.75","49.38","70.0","60.0","73.08","75.63","75.0","80.0","68.33","51.0","80.0","55.0","69.02","69.44","74.04","","-0.6","-6.78"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.25","60.21","47.5","47.5","62.64","63.13","50.0","37.0","52.5","48.62","48.0","52.5","32.0","42.5","52.5","50.0","45.0","50.17","50.36","54.58","","-0.38","-8.08"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.57","","0.0","0.62"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","290.0","275.0","300.0","265.0","346.15","310.0","290.0","290.0","284.58","282.5","400.0","320.0","304.74","304.22","289.89","","0.17","5.12"
"7.0","Mutton, Average Quality","1 Kg","689.06","676.67","600.0","600.0","698.21","600.0","575.0","600.0","562.5","665.38","600.0","535.0","600.0","600.0","505.0","600.0","530.0","602.17","599.53","574.79","","0.44","4.76"
"8.0","Chicken Farm, Broiler, Live","1 Kg","184.5","174.79","167.0","171.25","164.11","172.25","172.5","186.46","182.0","198.08","185.0","195.0","185.0","184.5","184.25","211.25","223.75","184.81","175.11","165.21","","5.54","11.86"
"9.0","Milk, Fresh, Unboiled","1 Ltr","90.01","86.67","77.5","70.0","77.21","70.0","64.38","75.0","60.0","84.0","80.0","75.0","80.0","82.5","72.5","90.0","80.0","77.34","77.19","74.54","","0.19","3.76"
