"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of March 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Mar 15 Feb 15 Mar 14","","","%change Mar 15 over
Feb 15 Mar 14",""
"1.0","Wheat","10 Kg","356.25","356.25","346.25","362.5","351.56","326.25","320.0","325.63","335.0","350.0","330.0","362.5","312.5","355.0","339.38","385.0","400.0","347.89","349.06","404.03","-0.34","-13.9"
"2.0","Wheat Flour, Bag","10 Kg","390.94","386.25","382.5","385.0","388.75","355.0","372.5","373.75","380.0","413.08","415.0","373.75","380.0","386.46","399.38","410.0","440.0","390.14","391.62","435.57","-0.38","-10.43"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.75","79.54","62.5","65.0","73.57","77.5","60.0","72.5","60.0","76.54","77.5","75.0","80.0","68.54","51.0","87.5","55.0","70.91","71.62","74.01","-0.99","-4.19"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.25","60.21","47.5","47.5","64.57","65.0","50.0","37.0","52.5","51.54","50.0","52.5","32.0","42.5","52.5","48.0","45.0","50.56","50.83","54.26","-0.53","-6.82"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.32","0.0","1.24"
"6.0","Beef With Bone, (AQ)","1 Kg","321.25","317.5","280.0","280.0","328.57","280.0","275.0","293.33","265.0","346.15","300.0","290.0","290.0","279.17","280.0","400.0","320.0","302.7","302.65","288.27","0.02","5.01"
"7.0","Mutton, Average Quality","1 Kg","664.38","658.33","600.0","600.0","681.25","600.0","550.0","593.33","562.5","659.23","575.0","535.0","600.0","598.75","500.0","600.0","520.0","593.99","593.77","568.14","0.04","4.55"
"8.0","Chicken Farm, Broiler, Live","1 Kg","134.75","121.95","116.5","118.0","114.11","119.13","123.0","127.5","123.0","129.96","132.5","136.0","128.75","131.5","155.0","151.25","216.25","134.07","131.36","166.19","2.06","-19.33"
"9.0","Milk, Fresh, Unboiled","1 Ltr","89.38","83.33","77.5","70.0","77.21","70.0","62.5","75.0","60.0","84.0","80.0","75.0","80.0","72.5","72.5","90.0","80.0","76.41","76.41","69.44","0.0","10.04"
