"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of October 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Oct 15 Sep 15 Oct 14","","","%change Oct 15 over
Sep 15 Oct 14",""
"1.0","Wheat","10 Kg","352.5","352.5","347.0","350.0","345.25","336.0","330.5","325.0","331.25","368.0","340.0","332.0","300.0","314.0","338.5","352.0","362.0","339.79","325.92","351.86","4.26","-3.43"
"2.0","Wheat Flour, Bag","10 Kg","396.94","392.84","394.5","390.5","388.2","371.0","365.5","385.0","392.0","429.08","414.25","385.0","384.0","381.5","396.0","382.0","392.0","390.61","375.19","403.75","4.11","-3.25"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.25","78.84","60.0","50.0","65.79","63.5","50.0","69.0","60.0","73.08","68.0","75.0","78.0","68.33","49.2","80.0","51.0","66.06","68.39","74.48","-3.41","-11.31"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.0","59.42","47.5","47.5","54.54","53.5","50.0","36.2","47.5","44.62","40.0","52.5","30.8","42.33","52.5","50.0","39.4","47.61","49.03","52.82","-2.9","-9.86"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.82","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","328.75","337.5","290.0","290.0","344.29","290.0","275.0","320.0","300.0","346.15","310.0","310.0","300.0","307.5","290.0","400.0","320.0","315.25","315.25","301.77","0.0","4.47"
"7.0","Mutton, Average Quality","1 Kg","706.25","699.67","625.0","637.5","733.93","600.0","575.0","650.0","600.0","665.38","600.0","585.0","600.0","650.0","510.0","600.0","530.0","621.63","619.93","591.67","0.27","5.06"
"8.0","Chicken Farm, Broiler, Live","1 Kg","114.69","96.25","100.0","101.6","96.76","100.6","104.0","120.5","109.6","137.66","136.0","150.4","128.0","115.2","123.6","154.0","201.0","122.93","132.39","134.31","-7.15","-8.47"
"9.0","Milk, Fresh, Unboiled","1 Ltr","96.25","88.17","77.5","70.0","77.21","70.0","65.0","75.0","60.0","84.0","80.0","75.0","80.0","82.5","72.5","90.0","80.0","77.83","77.7","75.83","0.17","2.64"
"10.0","Curd (Dahi)","1 Kg","105.63","99.0","88.5","80.0","83.04","80.0","80.0","90.0","75.0","120.0","106.0","90.0","100.0","89.0","82.5","100.0","90.0","91.69","91.29","89.36","0.44","2.61"
"11.0","Powdered Milk, Nido, Polybag","400 gm","372.0","372.0","372.0","376.0","372.0","368.0","376.0","375.0","372.0","368.0","366.0","372.0","358.0","362.0","354.0","362.0","368.0","368.53","356.47","350.0","3.38","5.29"
"12.0","Eggs Hen, Farm","Dozen","95.25","87.05","89.1","92.5","87.69","92.75","87.2","84.77","87.2","85.71","92.0","96.8","79.0","99.67","99.0","105.0","100.0","91.81","93.98","106.13","-2.31","-13.49"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","150.0","183.93","200.0","175.0","168.33","160.0","161.54","140.0","131.5","200.0","225.34","188.0","190.0","180.0","179.92","179.66","185.29","0.14","-2.9"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","445.0","445.0","467.0","467.0","445.0","465.0","440.0","445.0","445.0","455.0","469.0","486.4","480.0","455.0","475.0","455.0","440.0","457.61","461.75","537.0","-0.9","-14.78"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","440.0","440.0","452.0","452.0","440.0","448.0","445.0","440.0","440.0","453.0","452.0","468.0","470.0","450.0","470.0","445.0","445.0","450.0","454.86","510.71","-1.07","-11.89"
"16.0","Vegetable Ghee (Loose)","1 Kg","146.25","142.08","135.0","135.0","130.57","129.75","127.4","143.8","142.0","141.54","140.0","140.0","135.0","144.17","153.5","150.0","125.0","138.89","139.19","158.76","-0.22","-12.52"
"17.0","Bananas","Dozen","146.75","108.58","54.0","58.0","61.14","45.0","45.5","64.17","55.0","59.08","45.0","55.0","45.5","72.33","59.0","54.0","82.0","65.3","70.03","69.78","-6.75","-6.42"
