"","","","","","","","Average Monthly Prices of 53 Items for the month of April 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Apr 16 Mar 16 Apr 15","","","%change Feb 16 over
Mar 16 Apr 15",""
"1.0","Wheat","10 Kg","366.25","366.25","354.38","345.0","346.25","336.25","316.25","315.0","310.31","350.0","300.0","312.5","300.0","335.0","335.63","360.0","390.0","337.59","354.69","338.95","-4.82","-0.4"
"2.0","Wheat Flour, Bag","10 Kg","388.99","386.88","376.25","385.0","386.0","360.0","345.63","363.75","372.5","406.06","400.0","367.5","363.5","383.75","385.63","400.0","440.0","383.03","394.87","384.28","-3.0","-0.33"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","76.25","70.83","50.0","46.25","57.68","57.5","50.0","63.33","55.0","68.66","65.0","65.0","60.0","65.83","49.0","65.0","50.0","59.73","59.96","70.16","-0.38","-14.87"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","47.5","47.5","49.07","50.0","48.75","35.75","47.5","43.31","40.0","52.5","27.5","40.75","52.5","50.0","40.0","46.2","46.24","50.33","-0.09","-8.21"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.82","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","300.0","290.0","320.0","300.0","348.08","310.0","310.0","300.0","307.5","290.0","400.0","320.0","318.01","318.01","303.2","0.0","4.88"
"7.0","Mutton, Average Quality","1 Kg","728.91","710.21","625.0","650.0","750.0","700.0","600.0","675.0","600.0","667.31","618.75","590.0","600.0","650.0","510.0","600.0","550.0","636.78","634.47","595.31","0.36","6.97"
"8.0","Chicken Farm, Broiler, Live","1 Kg","189.22","176.51","173.0","179.0","167.36","170.5","174.5","177.5","176.0","206.9","197.5","216.0","188.75","182.5","181.88","200.0","191.25","185.2","155.43","150.24","19.15","23.27"
"9.0","Milk, Fresh, Unboiled","1 Ltr","96.25","90.11","79.38","70.0","77.21","70.0","65.0","75.0","63.75","82.77","80.0","75.0","80.0","82.5","77.5","90.0","80.0","78.5","78.29","76.62","0.27","2.45"
"10.0","Curd (Dahi)","1 Kg","105.63","100.0","89.63","80.0","83.04","80.0","80.0","90.0","80.0","120.0","106.0","90.0","100.0","91.67","86.25","100.0","90.0","92.48","92.42","89.83","0.06","2.95"
"11.0","Powdered Milk, Nido, Polybag","400 gm","384.87","384.87","380.0","380.0","380.0","380.0","380.0","380.0","382.44","380.0","380.0","380.0","370.0","380.0","370.0","380.0","380.0","379.54","378.82","355.88","0.19","6.65"
"12.0","Eggs Hen, Farm","Dozen","76.27","70.82","71.25","70.0","69.29","72.06","70.0","63.13","68.0","70.06","69.53","72.0","69.38","78.0","86.88","90.0","80.0","73.33","78.79","81.24","-6.93","-9.74"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","158.75","183.93","200.0","172.5","177.5","160.0","168.85","138.6","117.5","200.0","220.0","180.0","190.0","170.0","178.98","179.02","178.97","-0.02","0.01"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","445.0","445.0","467.0","467.0","445.0","440.0","440.0","465.0","445.0","468.0","469.0","468.0","455.0","445.0","475.0","445.0","440.0","454.35","455.47","478.91","-0.25","-5.13"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","440.0","440.0","452.0","452.0","440.0","435.0","445.0","440.0","440.0","453.0","452.0","453.0","440.0","440.0","470.0","430.0","445.0","445.12","445.12","469.48","0.0","-5.19"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","143.75","140.83","137.0","140.0","138.21","134.63","133.0","142.0","145.0","140.1","150.0","140.0","117.5","153.33","162.5","125.0","120.0","138.99","137.18","142.6","1.32","-2.53"
"17.0","Bananas","Dozen","148.75","114.17","75.0","90.0","86.39","65.0","63.75","82.5","68.75","68.66","71.1","75.0","56.88","71.67","70.31","60.0","63.75","78.33","75.14","71.79","4.25","9.11"
"18.0","Pulse Masoor, Washed","1 Kg","165.63","155.84","150.0","160.0","161.02","161.25","155.0","137.09","140.0","143.75","131.41","147.5","127.5","136.46","140.0","161.25","135.0","147.57","145.88","135.8","1.16","8.67"
"19.0","Pulse Moong, Washed","1 Kg","175.31","168.75","150.0","160.0","163.57","161.25","145.0","143.12","155.0","160.77","157.03","157.5","145.0","141.5","137.5","177.5","191.25","158.24","158.62","167.67","-0.24","-5.62"
"20.0","Pulse Mash, Washed","1 Kg","277.19","267.71","273.75","275.0","291.79","293.75","267.5","260.0","275.0","266.83","256.57","275.0","260.0","262.29","267.5","281.25","217.5","268.74","258.08","167.98","4.13","59.98"
"21.0","Pulse Gram, Washed","1 Kg","143.91","135.1","128.75","123.75","124.36","130.0","120.63","130.42","132.5","128.29","131.88","132.5","130.0","129.79","132.5","153.75","120.0","131.07","119.07","76.91","10.08","70.42"
"22.0","Potatoes","1 Kg","31.57","25.16","18.13","20.0","19.43","18.13","13.5","17.5","16.5","19.04","17.19","13.13","10.0","23.33","18.75","19.0","19.25","18.8","19.44","20.36","-3.29","-7.66"
"23.0","Onions","1 Kg","50.47","45.32","38.13","40.0","39.91","38.75","31.25","31.87","37.5","34.4","32.04","32.5","33.13","47.08","37.5","37.5","32.5","37.64","40.71","42.83","-7.54","-12.12"
"24.0","Tomatoes","1 Kg","58.44","49.27","43.75","44.38","46.56","41.25","35.0","37.71","38.75","35.46","29.69","30.63","25.0","43.96","33.75","36.25","30.0","38.81","34.15","42.41","13.65","-8.49"
"25.0","Sugar, Refined","1 Kg","67.38","64.67","63.0","63.75","64.43","63.25","62.88","62.25","65.0","63.85","61.75","62.0","61.38","64.83","65.0","64.25","64.25","63.76","62.93","56.92","1.32","12.02"
"26.0","Gur, Average Quality","1 Kg","110.0","95.83","80.0","90.0","89.29","80.63","76.88","72.5","75.0","90.1","84.38","80.63","71.88","91.17","92.5","90.0","85.0","85.63","85.6","83.95","0.04","2.0"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","10.0","10.47","10.47","9.99","0.0","4.8"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","270.0","270.09","255.0","295.0","249.17","225.0","326.25","282.5","265.0","236.25","230.0","272.5","310.0","300.0","275.96","273.99","261.85","0.72","5.39"
"29.0","Garlic","1 Kg","314.38","278.86","173.75","287.5","265.0","286.25","257.5","217.09","237.5","200.1","192.19","217.5","146.25","230.42","291.25","177.5","253.75","236.87","270.29","140.72","-12.36","68.33"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.9","158.0","157.89","157.89","157.89","157.89","157.89","157.9","162.36","146.81","-2.75","7.55"
"31.0","Cooked Beef, Average Hotel","Plate","96.25","92.5","62.5","62.5","83.04","75.0","100.0","80.0","70.0","75.58","75.94","100.0","100.0","120.0","100.0","90.0","140.0","89.61","89.25","83.4","0.4","7.45"
"32.0","Cooked Daal, Average Hotel","Plate","70.0","63.33","40.0","40.0","61.07","42.5","40.0","40.0","50.0","53.08","51.88","50.0","65.0","60.0","47.5","65.0","80.0","54.08","54.08","49.01","0.0","10.34"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0","20.0","22.5","15.0","20.0","21.0","20.0","19.57","19.57","18.87","0.0","3.71"
"34.0","Cigarettes, K-2, 20's","Packet","60.0","60.0","60.0","60.0","60.0","60.0","60.0","60.0","57.0","60.0","60.0","60.0","60.0","60.0","58.75","60.0","65.0","60.04","59.88","45.41","0.27","32.22"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","252.14","237.5","235.0","250.0","180.0","170.0","232.5","230.0","200.0","300.0","155.63","170.0","190.0","204.43","202.77","201.89","0.82","1.26"
"36.0","Shirting, (AQ), (SN)","1 mtr","190.0","182.5","175.0","175.0","128.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","163.41","161.94","159.56","0.91","2.41"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","271.07","240.0","360.0","150.0","150.0","406.25","270.0","280.0","333.0","360.0","187.5","180.0","165.0","248.4","243.97","240.13","1.82","3.44"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","115.54","160.0","148.75","105.0","110.0","114.62","117.5","125.0","130.0","110.0","100.0","105.0","95.0","123.91","123.24","123.1","0.54","0.66"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.77","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.05","179.0","179.0","0.03","0.03"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","502.85","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.17","501.94","499.0","0.05","0.64"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","127.98","128.7","128.7","128.7","128.7","124.18","128.7","","128.37","128.42","124.18","-0.04","3.37"
"44.0","Kerosene Oil","1 Ltr","90.0","90.0","75.0","77.0","85.0","69.0","75.0","67.5","66.0","87.52","78.0","67.5","85.0","75.0","80.0","55.0","50.0","74.85","74.4","86.2","0.6","-13.17"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","772.77","600.0","500.0","606.67","625.0","618.27","550.0","400.0","400.0","691.67","490.0","625.0","450.0","601.97","604.02","576.64","-0.34","4.39"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","185.0","155.0","175.0","180.0","160.0","180.0","150.0","167.5","167.21","165.74","0.17","1.06"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","25.0","20.0","22.5","30.0","30.0","25.03","24.79","24.35","0.97","2.79"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.75","2.5","2.5","2.0","2.5","2.0","2.0","2.5","2.5","2.0","2.5","1.0","1.5","2.07","1.99","1.82","4.02","13.74"
"49.0","Petrol, Super","1 Ltr","64.49","64.48","64.61","66.25","64.63","64.48","64.8","64.99","65.45","64.48","64.95","64.48","66.1","64.48","67.1","64.5","66.78","65.12","63.5","75.09","2.55","-13.28"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","72.74","72.73","72.85","74.6","72.88","72.73","72.95","72.99","74.1","72.73","73.3","72.73","74.3","72.73","75.7","72.8","75.62","73.44","72.01","84.49","1.99","-13.08"
"51.0","LPG Cylinder, 11kg","Each","1070.00 1050.00","","783.75","770.0","811.25","862.5","850.0","852.5","880.0","852.5","852.5","990.0","899.25","962.5","855.00 1125.00","","900.0","903.93","871.82","1088.65","3.68","-16.97"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","35.0","37.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","35.0","37.0","35.0","36.0","36.0","36.0","35.65","35.65","36.0","0.0","-0.97"
