"","","","","","","","Average Monthly Prices of 53 Items for the Month of August 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-dar","Average Prices
Aug 16 Jul 16 Aug 15","","","%change Aug 16 over
Jul 16 Aug 15",""
"1.0","Wheat","10 Kg","337.5","337.5","337.5","340.0","336.25","325.0","312.5","320.0","320.0","352.5","330.0","312.5","300.0","335.0","331.25","350.0","350.0","331.03","327.85","323.59","0.97","2.3"
"2.0","Wheat Flour, Bag","10 Kg","377.5","376.04","372.5","380.0","379.5","332.5","335.0","361.67","370.0","422.16","420.0","365.0","367.5","370.1","376.25","400.0","390.0","376.22","374.13","373.45","0.56","0.74"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","77.03","71.67","50.0","55.0","57.68","58.75","55.0","67.5","55.0","69.47","74.38","65.0","60.0","66.46","50.0","70.0","50.0","61.94","60.27","68.93","2.77","-10.14"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","47.5","47.5","49.07","50.0","50.0","45.0","47.5","43.64","45.0","52.5","35.5","47.5","53.5","50.0","45.0","48.35","47.04","49.78","2.78","-2.87"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","40.94","40.82","0.44","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","350.0","300.0","320.0","300.0","375.0","310.0","310.0","305.0","307.5","300.0","400.0","320.0","324.0","323.41","311.54","0.18","4.0"
"7.0","Mutton, Average Quality","1 Kg","752.5","741.25","625.0","650.0","805.36","700.0","681.25","675.0","600.0","676.15","618.75","590.0","600.0","650.0","510.0","625.0","550.0","650.02","644.67","615.16","0.83","5.67"
"8.0","Chicken Farm, Broiler, Live","1 Kg","137.35","121.94","119.75","122.75","114.11","119.38","118.75","130.0","120.0","130.52","122.03","133.5","109.38","136.5","145.0","155.0","188.75","130.87","146.27","152.77","-10.53","-14.34"
"9.0","Milk, Fresh, Unboiled","1 Ltr","97.5","92.92","80.0","70.0","77.21","80.0","65.0","78.33","67.5","82.77","80.0","77.5","80.0","85.0","80.0","90.0","80.0","80.22","79.82","77.41","0.5","3.63"
"10.0","Curd (Dahi)","1 Kg","108.13","101.67","90.0","80.0","83.04","95.0","80.0","90.83","80.0","120.0","106.0","92.5","95.0","96.67","87.5","100.0","90.0","93.9","93.41","91.0","0.52","3.19"
