"","","","","","","","","Average Monthly Prices of 53 Items for the Month of December 2016","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Dec 16 Nov 16 Dec 15","","","%change November 2016 over
Nov 16 Dec 15",""
"1.0","Wheat","10 Kg","365.0","365.0","350.0","350.0","346.25","335.0","322.5","335.5","340.0","365.0","340.0","337.5","320.0","360.0","339.6","350.0","350.0","345.37","342.8","353.7","0.75","-2.36"
"2.0","Wheat Flour, Bag","10 Kg","389.69","384.17","380.0","380.0","380.0","355.0","355.0","380.0","380.0","444.62","415.0","380.0","370.0","383.17","385.0","400.0","390.0","385.39","385.75","399.0","-0.09","-3.41"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","79.38","74.17","50.0","55.0","62.68","60.0","55.0","67.5","55.0","69.62","72.5","65.0","60.0","70.0","50.0","60.0","50.0","62.11","62.01","60.86","0.16","2.05"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","53.07","50.0","50.0","40.0","47.5","43.96","40.0","52.5","36.0","46.5","53.5","50.0","40.0","47.84","47.88","45.79","-0.08","4.48"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.82","0.0","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","350.0","302.0","320.0","300.0","375.0","310.0","316.0","310.0","309.83","300.0","400.0","320.0","324.9","324.3","317.04","0.19","2.48"
"7.0","Mutton, Average Quality","1 Kg","752.5","741.25","625.0","650.0","805.36","700.0","687.5","675.0","600.0","681.16","618.75","594.0","600.0","650.0","510.0","660.0","575.0","654.44","653.92","627.5","0.08","4.29"
"8.0","Chicken Farm, Broiler, Live","1 Kg","134.45","117.46","111.6","117.0","108.96","115.2","120.0","125.5","118.8","150.61","141.13","152.0","135.0","123.2","140.0","158.0","197.0","133.29","145.01","145.78","-8.08","-8.57"
"9.0","Milk, Fresh, Unboiled","1 Ltr","97.5","92.92","80.0","70.0","77.21","80.0","65.0","78.33","67.5","82.77","80.0","80.0","80.0","85.0","80.0","90.0","80.0","80.37","80.37","78.15","0.0","2.84"
"10.0","Curd (Dahi)","1 Kg","108.13","101.67","90.0","80.0","83.04","95.0","80.0","90.83","80.0","120.0","106.0","95.0","95.0","97.17","87.5","100.0","90.0","94.08","94.05","92.29","0.03","1.94"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","389.74","389.74","389.74","358.98","377.43","358.97","387.69","381.53","371.59","346.66","371.0","389.74","389.74","389.74","380.09","388.59","377.88","-2.19","0.58"
"12.0","Eggs Hen, Farm","Dozen","129.56","124.42","126.0","128.0","121.69","125.6","128.0","125.33","126.4","126.05","125.75","135.0","126.0","129.83","131.0","121.0","135.0","127.33","121.83","102.8","4.51","23.86"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","160.0","183.93","200.0","175.0","177.5","170.0","168.85","142.0","137.5","190.0","220.0","200.0","190.0","160.0","181.16","181.52","180.48","-0.2","0.38"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","461.0","461.0","467.0","467.0","457.0","457.0","464.0","465.0","465.0","468.0","469.0","468.0","455.0","445.0","475.0","445.0","440.0","460.53","454.65","456.53","1.29","0.88"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","456.0","456.0","452.0","452.0","452.0","452.0","461.0","456.0","460.0","453.0","452.0","453.0","440.0","440.0","470.0","436.0","445.0","452.12","445.71","447.82","1.44","0.96"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","146.09","145.0","147.0","141.64","140.3","140.0","147.6","148.0","145.38","150.0","145.0","129.5","157.68","160.0","128.0","125.0","143.97","142.38","136.82","1.12","5.23"
"17.0","Bananas","Dozen","132.25","95.25","61.0","61.0","79.29","55.0","46.0","75.0","55.0","61.31","46.25","57.0","56.0","71.0","56.75","58.0","65.0","66.54","62.73","61.78","6.07","7.7"
"18.0","Pulse Masoor, Washed","1 Kg","167.13","162.5","145.0","160.0","161.64","147.0","150.0","129.5","140.0","138.35","129.63","139.0","129.0","131.17","138.0","151.0","150.0","145.23","148.64","146.81","-2.29","-1.08"
"19.0","Pulse Moong, Washed","1 Kg","166.0","143.5","137.5","160.0","154.29","135.0","124.0","120.83","137.0","136.46","131.63","149.0","152.0","115.67","120.0","138.0","180.0","141.23","145.62","161.71","-3.01","-12.66"
"20.0","Pulse Mash, Washed","1 Kg","238.5","215.75","226.0","239.0","255.21","230.0","240.0","193.33","245.0","186.46","184.75","238.0","202.0","197.2","237.0","229.0","240.0","223.36","239.43","248.73","-6.71","-10.2"
"21.0","Pulse Gram, Washed","1 Kg","183.44","176.5","163.5","170.0","172.71","159.0","156.0","161.67","180.0","172.35","180.0","175.0","166.0","175.6","160.0","185.0","160.0","170.4","175.17","123.38","-2.72","38.11"
"22.0","Potatoes","1 Kg","47.75","42.33","38.0","36.0","36.32","36.75","27.5","33.5","32.0","29.92","34.75","28.5","25.5","35.0","32.5","31.6","38.2","34.48","42.44","28.89","-18.76","19.35"
"23.0","Onions","1 Kg","44.0","37.08","26.0","29.0","28.46","26.5","20.0","24.16","25.5","26.62","20.63","20.5","29.5","34.83","25.0","30.0","19.6","27.49","29.05","49.47","-5.37","-44.43"
"24.0","Tomatoes","1 Kg","70.0","58.25","58.0","60.0","60.11","54.0","48.0","46.17","51.5","39.06","41.69","41.0","52.0","56.33","39.0","44.0","55.0","51.42","51.42","62.43","0.0","-17.64"
"25.0","Sugar, Refined","1 Kg","67.79","65.69","62.5","61.8","64.36","62.0","60.8","61.3","62.2","63.44","61.28","61.0","63.4","62.83","63.2","66.0","73.0","63.68","71.8","57.14","-11.31","11.45"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","80.0","88.0","98.21","82.0","74.0","70.0","67.5","92.46","82.0","71.5","81.0","93.5","95.0","95.0","92.0","86.46","91.67","86.45","-5.68","0.01"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","10.0","10.0","10.0","12.0","10.0","10.0","10.59","10.59","10.45","0.0","1.34"
"28.0","Red Chilly Powder, Loose","1 Kg","307.5","265.33","260.0","280.0","272.14","280.0","296.0","237.5","225.0","311.63","283.75","265.0","257.0","236.67","271.0","310.0","300.0","274.03","276.94","271.91","-1.05","0.78"
"29.0","Garlic","1 Kg","338.5","311.83","296.0","300.0","316.15","308.0","298.0","305.0","320.0","279.54","299.0","290.0","275.0","307.34","313.5","292.0","290.0","302.34","293.87","205.19","2.88","47.35"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","178.94","178.95","179.0","178.95","178.95","178.95","178.95","174.74","175.54","178.94","178.94","174.74","166.31","170.52","157.89","175.78","158.21","189.45","11.11","-7.22"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","102.86","75.0","100.0","80.0","70.0","83.85","75.94","100.0","100.0","120.0","100.0","90.0","140.0","92.61","92.39","85.93","0.24","7.77"
