"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of February 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 16 Jan 16 Feb 15","","","%change Feb 16 over
Jan 16 Feb 15",""
"1.0","Wheat","10 Kg","365.0","365.0","377.5","380.0","361.25","340.0","335.0","338.13","343.44","362.5","350.0","340.0","347.5","350.0","352.5","370.0","400.0","357.52","354.78","349.06","0.77","2.42"
"2.0","Wheat Flour, Bag","10 Kg","397.5","390.42","387.5","397.5","390.0","385.0","370.0","385.0","390.0","434.23","420.0","386.88","381.25","390.94","402.5","400.0","450.0","397.57","398.91","391.62","-0.34","1.52"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","76.25","70.83","50.0","50.0","57.68","57.5","50.0","63.33","55.0","68.37","65.0","65.0","60.0","65.94","49.0","75.0","50.0","60.52","60.78","71.62","-0.43","-15.5"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","47.5","47.5","49.07","50.0","55.0","35.0","47.5","43.31","40.0","52.5","27.5","41.17","52.5","47.0","40.0","46.37","46.22","50.83","0.32","-8.77"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.82","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","300.0","289.38","320.0","300.0","348.08","310.0","310.0","300.0","307.5","290.0","400.0","320.0","317.97","317.86","302.65","0.03","5.06"
"7.0","Mutton, Average Quality","1 Kg","725.63","708.33","625.0","650.0","733.93","700.0","600.0","675.0","600.0","667.31","600.0","590.0","600.0","650.0","510.0","600.0","540.0","633.84","632.82","593.77","0.16","6.75"
"8.0","Chicken Farm, Broiler, Live","1 Kg","128.49","114.05","109.25","115.25","104.86","108.88","113.63","115.08","109.0","134.03","126.25","126.5","123.75","118.5","130.0","152.5","206.25","125.66","145.19","131.36","-13.45","-4.34"
"9.0","Milk, Fresh, Unboiled","1 Ltr","96.25","89.17","77.5","70.0","77.21","70.0","65.0","75.0","62.5","84.0","80.0","75.0","80.0","82.5","77.5","90.0","80.0","78.33","78.26","76.41","0.09","2.51"
