"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad"
"1.0","Wheat","10 Kg","331.5","331.5","320.0","330.0","328.75","325.0","303.0","310.5","313.25","350.0","319.0"
"2.0","Wheat Flour, Bag","10 Kg","379.69","376.54","372.5","380.0","373.2","335.0","314.5","356.0","364.0","411.54","400.0"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","76.25","70.83","50.0","45.0","57.68","57.5","46.0","63.33","55.0","68.75","66.56"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","47.5","45.0","49.07","50.0","50.0","40.0","47.5","43.31","40.0"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","350.0","300.0","320.0","300.0","369.62","310.0"
"7.0","Mutton, Average Quality","1 Kg","735.63","720.83","625.0","650.0","770.36","700.0","650.0","675.0","600.0","674.38","618.75"
"8.0","Chicken Farm, Broiler, Live","1 Kg","170.0","156.77","146.8","150.4","143.96","147.4","151.0","153.5","146.4","164.36","153.56"
"9.0","Milk, Fresh, Unboiled","1 Ltr","97.5","92.92","80.0","70.0","77.21","80.0","65.0","75.0","67.5","82.77","80.0"
"10.0","Curd (Dahi)","1 Kg","108.13","101.67","90.0","80.0","83.04","90.0","80.0","90.0","80.0","120.0","106.0"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","380.0","380.0","380.0","387.79","380.0","387.79","389.74","380.0","380.0"
"12.0","Eggs Hen, Farm","Dozen","78.94","75.5","73.1","77.0","75.29","73.75","75.6","72.67","73.4","78.19","78.89"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","160.0","183.93","200.0","175.0","177.5","170.0","168.85","140.0"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","445.0","445.0","467.0","467.0","445.0","440.0","440.0","465.0","445.0","468.0","469.0"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","440.0","440.0","452.0","452.0","440.0","435.0","445.0","440.0","440.0","453.0","452.0"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","143.75","140.83","140.0","140.0","136.11","134.3","133.0","140.0","141.0","141.15","150.0"
"17.0","Bananas","Dozen","173.5","143.83","113.5","115.0","111.22","94.0","92.0","108.84","77.0","86.38","86.5"
"18.0","Pulse Masoor, Washed","1 Kg","168.5","157.5","150.0","160.0","166.43","160.0","155.0","142.5","140.0","149.69","144.63"
"19.0","Pulse Moong, Washed","1 Kg","175.31","168.75","150.0","172.0","159.07","160.0","153.0","142.5","151.0","166.54","155.75"
"20.0","Pulse Mash, Washed","1 Kg","288.13","282.5","280.0","280.0","281.43","280.0","280.0","258.33","275.0","273.23","262.5"
"21.0","Pulse Gram, Washed","1 Kg","155.63","154.17","137.5","137.0","137.43","140.0","138.0","145.5","150.0","151.89","151.25"
"22.0","Potatoes","1 Kg","43.75","35.92","31.5","33.0","33.25","43.0","22.0","33.5","25.0","27.31","27.82"
"23.0","Onions","1 Kg","43.38","39.79","30.0","38.0","31.46","31.5","25.5","30.0","27.5","29.92","28.07"
"24.0","Tomatoes","1 Kg","49.63","42.38","37.5","34.5","40.64","37.5","30.5","42.83","44.5","51.35","52.13"
"25.0","Sugar, Refined","1 Kg","69.08","66.78","64.0","64.7","66.03","64.2","63.7","63.6","65.0","63.77","61.2"
"26.0","Gur, Average Quality","1 Kg","110.0","103.33","80.0","95.0","94.64","93.0","84.0","79.5","82.5","93.65","82.5"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0"
"28.0","Red Chilly Powder, Loose","1 Kg","326.25","313.33","265.0","280.0","282.14","270.0","299.0","255.0","225.0","326.25","282.5"
"29.0","Garlic","1 Kg","226.25","190.66","185.0","192.0","196.15","175.0","167.0","186.0","190.0","205.62","172.25"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.89","157.9"
"31.0","Cooked Beef, Average Hotel","Plate","102.5","99.17","62.5","62.5","91.68","75.0","100.0","80.0","70.0","75.58","75.94"
"32.0","Cooked Daal, Average Hotel","Plate","73.75","70.83","40.0","40.0","67.32","47.5","40.0","40.0","50.0","53.08","51.88"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","20.0","17.5","20.0","20.0","20.0","20.0","15.0","21.73","20.0"
"34.0","Cigarettes, K-2, 20's","Packet","62.5","62.5","66.0","63.0","64.0","60.0","64.0","61.2","57.0","64.0","62.0"
