"","","","","","","","Average Monthly Prices of 53 Items for the month of March 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 16 Jan 16 Feb 15","","","%change Feb 16
over",""
"1.0","Wheat","10 Kg","368.0","370.0","377.5","380.0","361.25","338.0","335.0","340.0","341.5","356.0","323.0","329.0","347.5","342.0","351.0","370.0","400.0","354.69","357.52","347.89","-0.79","1.95"
"2.0","Wheat Flour, Bag","10 Kg","395.25","390.42","386.5","396.5","390.0","385.0","368.0","382.0","390.0","413.58","416.0","383.0","377.5","388.0","401.0","400.0","450.0","394.87","397.57","390.14","-0.68","1.21"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","76.25","70.83","50.0","50.0","57.68","57.5","52.5","63.33","55.0","68.37","65.0","65.0","60.0","65.83","49.0","63.0","50.0","59.96","60.52","70.91","-0.93","-15.44"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","47.5","47.5","49.07","50.0","51.5","35.0","47.5","43.31","40.0","52.5","27.5","40.75","52.5","48.8","40.0","46.24","46.37","50.56","-0.28","-8.54"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.82","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","300.0","290.0","320.0","300.0","348.08","310.0","310.0","300.0","307.5","290.0","400.0","320.0","318.01","317.97","302.7","0.01","5.06"
"7.0","Mutton, Average Quality","1 Kg","726.38","708.33","625.0","650.0","733.93","700.0","600.0","675.0","600.0","667.31","600.0","590.0","600.0","650.0","510.0","600.0","550.0","634.47","633.84","593.99","0.1","6.81"
"8.0","Chicken Farm, Broiler, Live","1 Kg","159.05","147.03","147.4","153.4","145.36","149.4","149.9","161.0","153.4","158.4","152.6","164.4","152.0","153.6","150.4","161.0","184.0","155.43","125.66","134.07","23.69","15.93"
"9.0","Milk, Fresh, Unboiled","1 Ltr","96.25","89.17","77.5","70.0","77.21","70.0","65.0","75.0","62.5","83.26","80.0","75.0","80.0","82.5","77.5","90.0","80.0","78.29","78.33","76.41","-0.05","2.46"
