"","","","","","","","Average Monthly Prices of 53 Items for the month of May 2016","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
May 16 Apr 16 May 15","","","%change May 16 over
Apr 16 May 15",""
"1.0","Wheat","10 Kg","334.38","334.38","327.5","330.0","331.25","325.0","300.0","300.0","304.38","350.0","305.0","312.5","300.0","322.5","318.75","352.5","350.0","323.42","337.59","329.98","-4.2","-1.99"
"2.0","Wheat Flour, Bag","10 Kg","382.35","378.02","372.5","380.0","375.0","335.0","320.0","350.0","350.0","411.54","400.0","362.5","358.13","373.13","372.5","400.0","390.0","371.22","383.03","379.33","-3.08","-2.14"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","76.25","70.83","50.0","45.0","57.68","57.5","47.5","63.33","55.0","68.75","66.17","65.0","60.0","65.83","49.0","65.0","50.0","59.58","59.73","69.44","-0.25","-14.2"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","47.5","46.25","49.07","50.0","48.75","38.0","47.5","43.31","40.0","52.5","27.5","40.75","52.5","50.0","40.0","46.26","46.2","50.36","0.13","-8.14"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.82","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","312.5","290.0","320.0","300.0","348.08","310.0","310.0","300.0","307.5","293.75","400.0","320.0","318.96","318.01","304.22","0.3","4.85"
"7.0","Mutton, Average Quality","1 Kg","733.13","720.83","625.0","650.0","755.36","700.0","625.0","675.0","600.0","667.31","618.75","590.0","600.0","650.0","510.0","600.0","550.0","639.43","636.78","599.53","0.42","6.66"
"8.0","Chicken Farm, Broiler, Live","1 Kg","176.86","161.04","163.75","169.75","159.11","161.0","168.13","163.75","159.0","182.12","180.0","184.0","171.25","176.0","175.0","182.5","216.25","173.5","185.2","175.11","-6.32","-0.92"
"9.0","Milk, Fresh, Unboiled","1 Ltr","96.25","92.92","80.0","70.0","77.21","77.5","65.0","75.0","67.5","82.77","80.0","75.0","80.0","82.5","77.5","90.0","80.0","79.36","78.5","77.19","1.1","2.81"
"10.0","Curd (Dahi)","1 Kg","105.79","101.67","90.0","80.0","83.04","87.5","80.0","90.0","80.0","120.0","106.0","90.0","100.0","91.67","86.25","100.0","90.0","93.05","92.48","90.2","0.62","3.16"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","380.0","380.0","380.0","380.0","380.0","380.0","389.74","380.0","380.0","380.0","370.0","380.0","375.0","380.0","380.0","380.84","379.54","355.88","0.34","7.01"
