"","","","","","","","","Average Monthly Prices of 53 Items for the Month of November 2016","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 16 Oct 16 Nov 15","","","%change November 2016 over Oct
16 Nov 15",""
"1.0","Wheat","10 Kg","360.0","360.0","350.0","350.0","346.25","335.0","322.5","326.88","336.25","362.5","338.75","337.5","320.0","345.0","337.0","350.0","350.0","342.8","338.99","347.68","1.12","-1.4"
"2.0","Wheat Flour, Bag","10 Kg","389.69","384.17","380.0","390.0","380.0","355.0","355.0","377.5","380.0","442.7","420.0","378.75","370.0","382.5","382.5","400.0","390.0","385.75","383.4","396.26","0.61","-2.65"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","79.38","74.17","50.0","55.0","62.68","60.0","55.0","67.5","55.0","69.62","72.5","65.0","60.0","68.33","50.0","60.0","50.0","62.01","62.04","62.78","-0.05","-1.23"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","53.07","50.0","50.0","40.5","47.5","43.96","40.0","52.5","36.0","46.67","53.5","50.0","40.0","47.88","48.19","46.03","-0.64","4.02"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.82","0.0","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","350.0","300.0","320.0","300.0","375.0","310.0","310.0","310.0","307.5","300.0","400.0","320.0","324.3","324.3","316.1","0.0","2.59"
"7.0","Mutton, Average Quality","1 Kg","752.5","741.25","625.0","650.0","805.36","700.0","687.5","675.0","600.0","676.35","618.75","590.0","600.0","650.0","510.0","660.0","575.0","653.92","653.54","624.81","0.06","4.66"
"8.0","Chicken Farm, Broiler, Live","1 Kg","148.07","129.12","129.25","135.25","125.86","130.63","130.0","147.5","136.5","155.64","143.83","152.5","141.25","141.0","147.5","176.25","195.0","145.01","155.94","135.98","-7.01","6.64"
"9.0","Milk, Fresh, Unboiled","1 Ltr","97.5","92.92","80.0","70.0","77.21","80.0","65.0","78.33","67.5","82.77","80.0","80.0","80.0","85.0","80.0","90.0","80.0","80.37","80.37","77.96","0.0","3.09"
