"","","","","","","","","Average Monthly Prices of 53 Items for the Month of October 2016","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Oct 16 Sep 16 Oct 15","","","%change October 2016 over
Sep 16 Oct 15",""
"1.0","Wheat","10 Kg","345.63","345.63","347.5","347.5","343.75","335.0","321.25","323.75","325.0","360.0","333.75","337.5","320.0","340.0","336.5","350.0","350.0","338.99","333.56","339.79","1.63","-0.24"
"2.0","Wheat Flour, Bag","10 Kg","389.69","383.23","377.5","385.0","380.0","355.0","350.0","373.75","380.0","437.55","420.0","371.25","368.13","374.79","381.88","400.0","390.0","383.4","377.03","390.61","1.69","-1.85"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","79.38","74.17","50.0","55.0","62.68","60.0","55.0","67.5","55.0","69.62","72.97","65.0","60.0","68.33","50.0","60.0","50.0","62.04","62.35","66.06","-0.5","-6.09"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","48.13","47.5","53.07","50.0","50.0","43.0","47.5","43.96","41.25","52.5","36.0","47.67","53.5","50.0","42.5","48.19","48.55","47.61","-0.74","1.22"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.82","0.0","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","350.0","300.0","320.0","300.0","375.0","310.0","310.0","310.0","307.5","300.0","400.0","320.0","324.3","324.3","315.25","0.0","2.87"
"7.0","Mutton, Average Quality","1 Kg","752.5","741.25","625.0","650.0","805.36","700.0","687.5","675.0","600.0","676.15","618.75","590.0","600.0","650.0","510.0","660.0","568.75","653.54","652.32","621.63","0.19","5.13"
"8.0","Chicken Farm, Broiler, Live","1 Kg","162.07","150.71","148.0","151.5","140.61","148.0","152.5","159.38","147.5","153.17","147.74","156.25","145.0","166.0","161.25","168.75","192.5","155.94","126.87","122.93","22.91","26.85"
"9.0","Milk, Fresh, Unboiled","1 Ltr","97.5","92.92","80.0","70.0","77.21","80.0","65.0","78.33","67.5","82.77","80.0","80.0","80.0","85.0","80.0","90.0","80.0","80.37","80.37","77.83","0.0","3.26"
"10.0","Curd (Dahi)","1 Kg","108.13","101.67","90.0","80.0","83.04","95.0","80.0","90.83","80.0","120.0","106.0","95.0","95.0","96.67","87.5","100.0","90.0","94.05","94.05","91.69","0.0","2.57"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","389.74","389.74","389.74","389.74","389.74","389.74","389.74","389.74","380.0","389.74","380.0","389.74","389.74","389.74","388.59","386.58","368.53","0.52","5.44"
"12.0","Eggs Hen, Farm","Dozen","101.72","94.88","96.0","99.38","93.79","98.75","96.0","97.5","97.5","92.51","92.75","101.0","86.25","102.29","105.63","113.75","105.0","98.51","98.62","91.81","-0.11","7.3"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","160.0","183.93","200.0","175.0","177.5","170.0","168.85","142.5","132.5","190.0","220.0","197.5","190.0","160.0","180.75","179.93","179.92","0.46","0.46"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","445.0","445.0","467.0","467.0","445.0","445.0","440.0","465.0","445.0","468.0","469.0","468.0","455.0","445.0","475.0","445.0","440.0","454.65","454.65","457.61","0.0","-0.65"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","440.0","440.0","452.0","452.0","440.0","440.0","445.0","440.0","440.0","453.0","452.0","453.0","440.0","440.0","470.0","430.0","445.0","445.41","445.41","450.0","0.0","-1.02"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","146.88","145.0","145.0","140.75","139.75","140.0","142.0","145.0","145.38","150.0","145.0","130.0","156.46","160.0","125.0","120.0","142.79","141.94","138.89","0.6","2.81"
"17.0","Bananas","Dozen","127.66","83.96","58.75","60.0","67.68","45.0","48.75","62.5","55.0","57.41","43.13","55.0","51.25","75.84","59.06","67.5","60.0","63.44","68.9","65.3","-7.92","-2.85"
"18.0","Pulse Masoor, Washed","1 Kg","167.5","159.58","150.0","160.0","167.32","145.0","150.0","134.17","140.0","149.23","137.5","145.0","128.13","140.75","140.0","162.5","150.0","148.63","150.31","144.87","-1.12","2.6"
"19.0","Pulse Moong, Washed","1 Kg","168.13","151.36","142.5","160.0","159.29","143.13","131.25","125.42","140.0","149.42","144.38","155.0","145.0","129.08","120.0","150.0","180.0","146.7","148.65","160.44","-1.31","-8.56"
"20.0","Pulse Mash, Washed","1 Kg","255.0","238.75","257.5","280.0","266.43","280.0","270.0","210.84","275.0","231.92","239.07","250.0","207.5","239.67","260.0","247.5","240.0","249.95","257.41","224.23","-2.9","11.47"
"21.0","Pulse Gram, Washed","1 Kg","174.69","167.71","162.5","163.75","165.54","160.0","157.5","166.88","165.0","168.7","173.13","167.5","160.0","166.04","156.88","178.75","160.0","165.56","156.55","119.94","5.76","38.04"
"22.0","Potatoes","1 Kg","55.63","48.13","52.5","52.5","43.84","55.0","53.13","38.33","30.0","26.88","28.13","25.0","28.13","35.42","30.0","27.5","28.5","38.74","39.1","32.23","-0.92","20.2"
"23.0","Onions","1 Kg","50.94","42.08","30.0","30.0","33.13","31.56","25.63","27.29","30.0","27.26","22.5","20.63","33.13","36.67","25.63","28.75","19.25","30.26","31.26","55.98","-3.2","-45.94"
"24.0","Tomatoes","1 Kg","66.25","58.96","49.38","47.5","54.78","55.63","43.75","56.04","60.0","55.05","53.6","48.75","65.0","45.0","44.38","45.0","51.25","52.96","53.0","69.76","-0.08","-24.08"
