"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Aug 17 Jul 17 Aug 16","","","%change Aug 17 over
Jul 17 Aug 16",""
"1.0","Wheat","10 Kg","329.5","329.5","325.0","325.0","316.0","300.0","281.25","295.0","298.5","350.0","310.0","312.5","312.5","320.0","312.5","350.0","350.0","318.66","321.83","331.03","-0.98","-3.74"
"2.0","Wheat Flour, Bag","10 Kg","371.94","369.33","348.0","340.0","357.0","342.0","305.0","335.0","350.0","407.19","416.0","349.0","345.0","359.17","365.0","400.0","375.0","360.86","365.47","376.22","-1.26","-4.08"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","50.0","55.0","73.21","85.0","60.0","78.5","55.0","74.42","75.0","65.0","72.6","73.33","51.0","90.0","60.0","70.05","69.14","61.94","1.32","13.09"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","60.0","54.0","40.0","47.5","44.88","45.0","52.5","34.0","47.5","60.0","50.0","50.0","50.15","49.86","48.35","0.58","3.72"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","41.12","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","360.5","356.34","300.0","300.0","374.43","350.0","336.0","350.0","325.0","405.31","340.0","325.0","310.0","329.67","320.0","400.0","320.0","341.31","335.71","324.0","1.67","5.34"
"7.0","Mutton, Average Quality","1 Kg","823.13","807.5","650.0","650.0","836.78","700.0","720.0","740.0","625.0","786.54","725.0","675.0","700.0","733.33","570.0","700.0","575.0","706.9","693.68","650.02","1.91","8.75"
"8.0","Chicken Farm, Broiler, Live","1 Kg","132.4","113.54","121.2","127.8","113.6","119.8","127.0","132.0","127.6","154.87","145.44","157.0","127.5","134.4","153.0","159.0","182.0","136.95","151.45","130.87","-9.57","4.65"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.13","96.25","80.0","70.0","77.21","80.0","70.0","82.5","67.5","85.0","84.0","80.0","80.0","85.0","82.5","90.0","80.0","81.89","81.55","80.22","0.42","2.08"
"10.0","Curd (Dahi)","1 Kg","116.25","107.92","100.0","80.0","85.93","95.0","90.0","92.5","80.0","130.0","120.0","95.0","95.0","97.5","90.0","100.0","90.0","97.95","97.32","93.9","0.65","4.31"
"11.0","Powdered Milk, Nido, Polybag","400 gm","379.49","379.49","379.49","379.49","377.28","389.74","379.48","379.49","379.5","358.97","369.23","358.97","346.66","363.33","358.97","389.74","370.0","372.9","369.97","383.12","0.79","-2.67"
"12.0","Eggs Hen, Farm","Dozen","101.33","97.0","99.6","100.0","95.2","96.9","97.6","91.67","96.4","102.39","103.7","102.0","81.5","101.67","100.0","96.0","86.0","97.0","95.82","96.18","1.23","0.85"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","150.0","160.0","183.93","200.0","173.0","177.5","170.0","170.77","150.0","140.0","190.0","220.0","190.0","190.0","178.0","182.54","181.97","180.16","0.31","1.32"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","475.0","475.0","475.0","467.0","480.0","470.0","475.0","475.0","464.0","465.0","465.0","468.0","460.0","470.0","475.0","445.0","495.0","470.53","470.16","454.5","0.08","3.53"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","470.0","470.0","470.0","452.0","470.0","465.0","470.0","470.0","455.0","460.0","460.0","453.0","450.0","460.0","470.0","440.0","495.0","463.53","463.18","445.26","0.08","4.1"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","147.5","140.0","140.0","144.36","133.8","140.0","148.8","150.0","146.07","175.0","145.0","130.0","158.33","160.0","130.0","130.0","145.3","145.12","138.81","0.12","4.68"
"17.0","Bananas","Dozen","128.75","92.5","70.5","75.0","79.21","49.0","60.0","90.33","75.0","64.11","59.75","70.0","68.5","82.66","83.75","74.0","70.0","76.06","93.61","74.28","-18.75","2.4"
"18.0","Pulse Masoor, Washed","1 Kg","139.25","126.5","140.0","160.0","131.5","132.5","155.0","103.33","110.0","108.69","102.13","110.0","93.0","97.32","124.0","108.0","135.0","122.13","125.33","152.23","-2.55","-19.77"
"19.0","Pulse Moong, Washed","1 Kg","139.13","129.0","120.0","140.0","114.35","125.0","120.0","109.5","120.0","119.04","123.75","135.0","141.0","103.27","100.0","127.0","140.0","123.88","126.32","154.25","-1.93","-19.69"
"20.0","Pulse Mash, Washed","1 Kg","201.63","179.58","185.0","180.0","200.79","210.0","227.0","158.84","179.0","176.5","158.75","175.0","162.0","164.67","195.0","195.88","230.0","187.04","191.29","269.68","-2.22","-30.64"
"21.0","Pulse Gram, Washed","1 Kg","138.44","129.0","111.5","109.5","118.32","112.0","115.0","112.5","120.0","126.85","122.63","135.0","121.5","119.47","113.0","135.0","135.0","122.04","124.78","158.29","-2.2","-22.9"
"22.0","Potatoes","1 Kg","51.25","46.25","44.0","48.0","39.35","60.0","29.0","40.33","38.0","33.11","32.5","29.0","27.0","37.66","34.0","31.0","37.8","38.72","38.39","38.46","0.86","0.68"
"23.0","Onions","1 Kg","66.13","59.58","52.0","55.5","53.21","56.5","42.0","46.0","41.0","42.77","43.13","44.0","38.0","51.17","43.5","31.0","22.8","46.37","31.62","28.47","46.65","62.87"
"24.0","Tomatoes","1 Kg","74.75","66.66","73.0","69.0","74.64","69.5","55.0","57.17","61.0","56.23","53.13","48.0","53.0","54.83","43.5","42.0","32.0","57.85","43.01","60.55","34.5","-4.46"
"25.0","Sugar, Refined","1 Kg","62.31","58.52","56.95","57.4","58.44","55.8","55.1","54.57","56.9","58.05","56.61","53.6","54.0","56.33","55.6","57.6","59.2","56.88","55.04","71.17","3.34","-20.08"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","80.0","85.0","93.21","75.0","80.0","70.0","67.5","89.73","81.25","72.5","72.4","95.0","95.0","87.0","88.0","84.66","84.34","93.15","0.38","-9.11"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","10.71","10.71","10.56","0.0","1.42"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","254.17","240.0","250.0","220.0","253.0","282.0","229.0","225.0","295.48","265.0","250.0","240.0","245.0","264.0","310.0","300.0","260.16","262.55","279.49","-0.91","-6.92"
"29.0","Garlic","1 Kg","253.25","213.83","188.0","188.0","207.79","168.0","160.0","169.66","169.0","205.61","180.25","162.0","156.0","185.0","250.0","218.0","206.0","192.96","202.6","270.81","-4.76","-28.75"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","194.74","194.74","194.73","200.0","200.01","178.95","194.76","194.74","205.26","205.26","184.2","199.6","205.2","205.26","178.94","193.78","203.7","157.9","-4.87","22.72"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","102.86","75.0","100.0","80.0","75.0","92.85","77.5","100.0","100.0","120.0","100.0","90.0","140.0","93.52","93.51","91.63","0.01","2.06"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","50.5","46.0","40.0","50.0","61.15","52.5","50.0","65.0","60.0","50.0","65.0","80.0","57.18","56.94","56.15","0.42","1.83"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","21.0","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","21.1","20.97","19.87","0.62","6.19"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","48.0","55.0","50.0","50.0","50.0","55.0","55.0","50.0","50.0","50.76","50.76","64.18","0.0","-20.91"
"35.0","Long Cloth, 57"", (SN)","1 mtr","215.0","205.0","137.5","135.0","267.5","237.5","245.0","250.0","180.0","170.77","240.0","230.0","200.0","333.33","157.5","210.0","195.0","212.3","212.3","205.57","0.0","3.27"
"36.0","Shirting, (AQ), (SN)","1 mtr","206.25","190.0","175.0","175.0","155.0","125.0","146.0","210.0","115.0","166.15","140.0","120.0","157.5","300.0","147.5","160.0","190.0","169.32","169.26","164.3","0.04","3.06"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.77","251.21","0.0","1.82"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","135.0","160.0","138.0","105.0","110.0","121.54","120.0","125.0","130.0","120.0","100.0","105.0","95.0","125.56","125.38","123.54","0.14","1.64"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.09","0.0","0.0"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","502.39","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.54","0.0","0.12"
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","95.0","69.0","75.0","70.0","71.0","97.12","81.0","69.5","90.0","86.67","85.0","56.0","50.0","78.88","78.81","74.87","0.09","5.36"
"45.0","Firewood Whole","40 Kg","787.5","741.67","675.0","650.0","762.86","600.0","500.0","606.67","625.0","644.23","550.0","400.0","450.0","716.67","495.0","650.0","500.0","609.09","608.73","597.4","0.06","1.96"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","167.79","0.0","0.0"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","25.03","0.0","3.52"
