"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Dec 17 Nov 17 Dec 16","","","%change Dec 17 over
Nov 17 Dec 16",""
"1.0","Wheat","10 Kg","345.0","345.0","325.0","325.0","347.53","331.88","324.38","330.0","344.56","370.5","338.88","337.5","325.0","360.0","338.75","350.0","350.0","340.53","335.64","345.37","1.46","-1.4"
"2.0","Wheat Flour, Bag","10 Kg","394.69","387.92","390.0","380.0","400.0","385.0","350.0","370.0","380.0","439.33","420.0","380.0","372.5","387.92","391.25","400.0","375.0","388.45","385.74","385.39","0.7","0.79"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","50.0","55.0","73.21","85.0","60.0","82.5","55.0","74.62","75.94","65.0","75.0","78.38","52.25","90.0","60.0","70.86","70.67","62.11","0.27","14.09"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","60.0","65.0","40.0","47.5","50.15","45.0","52.5","34.0","47.5","63.88","50.0","50.0","51.34","50.96","47.84","0.75","7.32"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","35.0","35.0","40.0","35.0","42.56","42.44","41.12","0.28","3.5"
"6.0","Beef With Bone, (AQ)","1 Kg","362.5","357.92","300.0","300.0","381.96","350.0","350.0","350.0","325.0","410.58","350.0","325.0","310.0","336.67","320.0","400.0","320.0","344.1","343.75","324.9","0.1","5.91"
"7.0","Mutton, Average Quality","1 Kg","833.13","818.33","650.0","650.0","844.64","800.0","750.0","750.0","675.0","823.08","725.0","725.0","725.0","733.33","570.0","725.0","600.0","729.27","727.64","654.44","0.22","11.43"
"8.0","Chicken Farm, Broiler, Live","1 Kg","177.17","162.27","158.25","164.25","155.75","162.0","158.75","167.08","161.25","187.85","177.27","178.0","146.88","175.75","167.5","161.25","175.0","166.84","130.25","133.29","28.09","25.17"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","96.25","80.0","80.0","77.21","80.0","70.0","82.5","67.5","85.0","84.0","80.0","80.0","85.0","82.5","90.0","80.0","82.5","82.5","80.37","0.0","2.65"
"10.0","Curd (Dahi)","1 Kg","116.25","107.92","100.0","90.0","87.86","95.0","90.0","92.5","80.0","130.0","120.0","95.0","95.0","97.5","90.0","100.0","90.0","98.65","98.65","94.08","0.0","4.86"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","379.49","377.28","389.74","379.48","389.74","379.5","379.49","379.48","389.74","362.97","370.0","360.48","389.74","370.0","380.37","379.18","380.09","0.31","0.07"
"12.0","Eggs Hen, Farm","Dozen","130.1","121.75","126.88","127.5","121.0","125.63","123.0","126.46","128.13","134.36","134.53","131.75","121.88","130.63","133.13","135.0","137.5","128.78","132.22","127.33","-2.6","1.14"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","231.67","150.0","160.0","183.93","200.0","170.0","184.17","170.0","181.54","160.0","153.75","190.0","220.0","180.0","190.0","175.0","184.71","184.95","181.16","-0.13","1.96"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","475.0","475.0","475.0","467.0","485.0","475.0","475.0","475.0","475.0","465.0","465.0","468.0","460.0","470.0","475.0","445.0","460.0","469.71","469.47","460.53","0.05","1.99"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","470.0","470.0","470.0","452.0","480.0","470.0","470.0","470.0","470.0","460.0","460.0","453.0","450.0","460.0","470.0","440.0","455.0","462.94","462.71","452.12","0.05","2.39"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","147.5","140.0","140.0","144.36","135.5","135.75","150.0","150.0","149.52","175.0","145.0","130.0","159.27","160.0","130.0","130.0","145.48","145.55","143.97","-0.05","1.05"
"17.0","Bananas","Dozen","131.25","93.75","67.5","70.0","68.93","46.25","50.0","68.34","55.0","55.72","46.88","57.5","53.75","72.92","58.13","62.5","61.25","65.86","61.91","66.54","6.38","-1.02"
"18.0","Pulse Masoor, Washed","1 Kg","130.0","112.61","140.0","160.0","123.93","127.5","155.0","103.33","110.0","106.15","101.25","110.0","91.88","84.17","100.0","133.75","130.0","118.8","120.73","145.23","-1.6","-18.2"
"19.0","Pulse Moong, Washed","1 Kg","130.0","124.58","100.0","110.0","108.93","105.0","100.0","100.0","110.0","116.58","112.5","125.0","120.0","88.96","95.0","156.25","135.0","113.99","116.97","141.23","-2.55","-19.29"
"20.0","Pulse Mash, Washed","1 Kg","171.25","147.19","175.0","160.0","186.43","165.0","192.5","151.25","160.0","126.92","129.38","130.0","120.0","141.84","133.13","203.75","230.0","160.21","169.44","223.36","-5.45","-28.27"
"21.0","Pulse Gram, Washed","1 Kg","131.25","128.33","100.0","100.0","113.93","105.0","105.0","108.54","120.0","122.6","119.06","120.0","126.88","116.67","110.0","152.5","135.0","118.52","120.77","170.4","-1.86","-30.45"
"22.0","Potatoes","1 Kg","54.38","48.75","44.38","44.38","47.05","45.0","35.0","44.17","42.5","36.25","36.72","37.5","34.38","33.79","41.88","40.0","38.5","41.45","42.08","34.48","-1.5","20.21"
"23.0","Onions","1 Kg","74.38","67.71","60.0","60.0","54.96","57.5","52.5","57.71","57.5","54.33","46.72","50.0","57.5","62.08","55.63","65.0","61.25","58.52","73.16","27.49","-20.01","112.88"
"24.0","Tomatoes","1 Kg","96.88","83.12","85.63","84.38","77.68","74.38","65.0","64.17","71.25","70.15","58.91","53.75","79.38","63.34","63.75","90.0","83.75","74.44","105.4","51.42","-29.37","44.77"
"25.0","Sugar, Refined","1 Kg","58.13","55.75","54.13","54.75","56.79","52.88","52.25","52.0","52.75","55.25","52.47","51.75","52.0","54.54","52.75","54.75","53.5","53.91","53.68","63.68","0.43","-15.34"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","80.0","85.0","93.21","71.88","70.0","71.67","62.5","93.37","79.38","70.0","73.13","91.25","91.88","90.0","97.5","84.03","83.93","86.46","0.12","-2.81"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","16.5","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","11.09","11.0","10.59","0.82","4.72"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","254.17","240.0","245.0","247.86","247.5","280.0","232.5","225.0","295.48","265.0","250.0","235.0","241.67","243.75","310.0","300.0","259.58","258.52","274.03","0.41","-5.27"
"29.0","Garlic","1 Kg","220.0","165.0","136.25","142.5","167.86","125.0","145.0","155.0","155.0","174.62","159.69","140.0","128.75","180.83","164.38","210.0","175.0","161.46","163.07","302.34","-0.99","-46.6"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","178.95","178.95","178.94","178.95","179.0","178.95","179.0","178.95","178.94","178.94","178.94","178.95","205.06","178.94","178.94","180.49","180.49","175.78","0.0","2.68"
