"","","","","","","","Average Prices of 53 Essential items for the month of February, 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 17 Jan 17 Feb 16","","","%change Feb 17 over
Jan 17 Feb 16",""
"1.0","Wheat","10 Kg","365.0","365.0","362.5","372.5","356.25","340.0","330.31","335.0","340.0","367.5","343.5","337.5","320.0","360.0","350.0","350.0","350.0","349.71","346.72","357.52","0.86","-2.18"
"2.0","Wheat Flour, Bag","10 Kg","389.69","384.17","380.0","385.0","380.0","355.0","355.0","380.0","380.0","446.54","417.5","380.0","370.0","384.17","400.0","400.0","390.0","386.89","386.22","397.57","0.17","-2.69"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","84.38","77.45","50.0","55.0","67.5","62.5","55.0","72.09","55.0","69.62","75.0","65.0","60.0","71.67","52.88","60.0","55.0","64.01","62.89","60.52","1.78","5.77"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","50.0","50.0","40.0","47.5","44.43","45.0","52.5","36.0","47.5","60.0","50.0","50.0","49.42","48.82","46.37","1.23","6.58"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.82","0.0","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","345.63","343.75","295.0","300.0","344.29","350.0","310.0","320.0","300.0","384.71","310.0","325.0","310.0","313.33","300.0","400.0","320.0","327.75","326.11","317.97","0.5","3.08"
"7.0","Mutton, Average Quality","1 Kg","770.63","760.21","637.5","650.0","805.36","700.0","700.0","675.0","600.0","742.31","618.75","600.0","600.0","650.0","518.75","660.0","575.0","662.56","659.3","633.84","0.49","4.53"
"8.0","Chicken Farm, Broiler, Live","1 Kg","139.46","123.23","123.75","129.75","119.68","129.75","125.75","135.0","127.5","139.15","134.84","142.5","140.0","135.25","137.5","141.25","172.5","135.11","124.64","125.66","8.4","7.52"
"9.0","Milk, Fresh, Unboiled","1 Ltr","98.44","94.59","80.0","70.0","77.21","80.0","65.0","78.33","67.5","82.77","80.0","80.0","80.0","85.0","80.0","90.0","80.0","80.52","80.37","78.33","0.19","2.8"
"10.0","Curd (Dahi)","1 Kg","110.63","104.8","90.0","80.0","83.04","95.0","80.0","90.83","80.0","120.0","106.0","95.0","95.0","97.5","87.5","100.0","90.0","94.43","94.1","92.42","0.35","2.17"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","389.74","389.74","389.74","358.98","358.97","358.97","371.8","369.23","358.97","346.66","365.0","389.74","389.74","389.74","376.25","376.7","378.82","-0.12","-0.68"
"12.0","Eggs Hen, Farm","Dozen","113.42","103.75","101.0","108.75","101.62","108.75","105.0","103.13","106.5","112.59","108.0","114.5","116.25","115.88","122.5","121.25","136.25","111.71","129.05","97.36","-13.44","14.74"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","150.0","160.0","183.93","200.0","175.0","177.5","170.0","168.85","144.22","137.5","190.0","220.0","200.0","190.0","168.75","182.1","181.49","179.81","0.34","1.27"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","465.0","465.0","467.0","467.0","465.0","465.0","470.0","465.0","465.0","468.0","469.0","468.0","460.0","463.75","475.0","445.0","440.0","463.69","462.59","456.12","0.24","1.66"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","460.0","460.0","456.0","452.0","460.0","460.0","465.0","460.0","460.0","453.0","452.0","453.0","450.0","455.0","470.0","440.0","445.0","455.94","454.82","446.0","0.25","2.23"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","146.67","147.75","150.0","143.89","143.75","142.0","149.5","150.0","145.38","150.0","145.0","126.88","160.0","161.25","130.0","125.0","145.2","145.07","136.46","0.09","6.4"
"17.0","Bananas","Dozen","145.32","116.88","70.0","80.0","101.43","57.5","50.0","82.29","60.0","66.44","46.49","67.5","58.13","78.34","60.0","57.5","62.5","74.14","70.26","68.14","5.52","8.81"
"18.0","Pulse Masoor, Washed","1 Kg","155.16","147.92","140.0","160.0","149.11","141.25","153.75","122.5","125.0","124.09","120.0","110.0","106.25","106.29","131.88","130.0","160.0","134.31","140.21","147.02","-4.21","-8.65"
"19.0","Pulse Moong, Washed","1 Kg","152.35","130.83","120.0","160.0","144.38","125.0","120.0","115.0","125.0","122.55","128.13","125.0","142.5","107.71","120.0","140.0","180.0","132.85","136.27","160.56","-2.51","-17.26"
"20.0","Pulse Mash, Washed","1 Kg","208.13","189.58","207.5","215.0","231.43","210.0","236.25","173.33","207.5","158.56","165.47","157.5","187.5","172.46","195.0","198.13","240.0","197.26","207.87","257.11","-5.1","-23.28"
"21.0","Pulse Gram, Washed","1 Kg","157.97","145.0","122.5","126.25","145.27","135.0","135.0","123.75","145.0","138.9","129.85","127.5","137.5","140.29","128.75","162.5","160.0","138.88","163.11","121.82","-14.86","14.0"
"22.0","Potatoes","1 Kg","43.75","32.92","21.88","22.5","26.61","19.88","20.0","21.46","20.0","23.08","23.29","22.5","20.63","26.25","20.0","28.75","28.5","24.82","25.02","19.62","-0.8","26.5"
"23.0","Onions","1 Kg","45.0","39.06","31.88","35.63","34.33","34.38","25.63","27.08","27.5","23.7","26.25","22.5","27.5","34.07","28.13","28.75","27.5","30.52","28.16","41.49","8.38","-26.44"
"24.0","Tomatoes","1 Kg","58.91","48.44","44.38","51.25","50.0","47.5","35.0","41.67","40.0","33.37","32.82","30.0","27.5","42.09","30.0","27.5","36.25","39.8","31.53","35.99","26.23","10.59"
"25.0","Sugar, Refined","1 Kg","67.85","65.83","63.38","62.75","64.8","63.0","61.38","61.13","62.13","63.86","61.38","60.75","61.75","64.34","63.44","63.0","62.25","63.12","64.8","62.8","-2.59","0.51"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","80.0","82.5","102.86","76.25","76.25","70.0","67.5","90.19","81.25","73.75","71.88","94.79","95.0","95.0","86.25","85.36","86.01","85.92","-0.76","-0.65"
