"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-dar","Average Prices
Jan 17 Dec 16 Jan 16","","","%change Jan 2017 over
Dec 16 Jan 16",""
"1.0","Wheat","10 Kg","365.0","365.0","352.5","355.0","346.25","340.0","323.44","335.0","340.0","365.0","341.5","337.5","320.0","360.0","348.13","350.0","350.0","346.72","345.37","354.78","0.39","-2.27"
"2.0","Wheat Flour, Bag","10 Kg","389.69","384.17","380.0","383.75","380.0","355.0","355.0","380.0","380.0","444.62","415.0","380.0","370.0","384.17","394.38","400.0","390.0","386.22","385.39","398.91","0.22","-3.18"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","80.16","74.48","50.0","55.0","62.68","60.0","55.0","69.38","55.0","69.62","74.38","65.0","60.0","70.84","52.63","60.0","55.0","62.89","62.11","60.78","1.26","3.47"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","53.07","50.0","50.0","40.0","47.5","43.96","43.75","52.5","36.0","47.08","58.38","50.0","47.5","48.82","47.84","46.22","2.05","5.63"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.82","0.0","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","338.75","337.5","290.0","300.0","344.29","350.0","310.0","320.0","300.0","375.0","310.0","325.0","310.0","313.33","300.0","400.0","320.0","326.11","324.9","317.86","0.37","2.6"
"7.0","Mutton, Average Quality","1 Kg","755.94","747.29","625.0","650.0","805.36","700.0","696.88","675.0","600.0","735.1","618.75","600.0","600.0","650.0","513.75","660.0","575.0","659.3","654.44","632.82","0.74","4.18"
"8.0","Chicken Farm, Broiler, Live","1 Kg","127.13","104.79","108.75","114.0","105.11","114.63","115.0","122.08","112.0","133.41","122.5","137.5","121.88","122.0","131.88","136.25","190.0","124.64","133.29","145.19","-6.49","-14.15"
"9.0","Milk, Fresh, Unboiled","1 Ltr","97.5","92.92","80.0","70.0","77.21","80.0","65.0","78.33","67.5","82.77","80.0","80.0","80.0","85.0","80.0","90.0","80.0","80.37","80.37","78.26","0.0","2.7"
"10.0","Curd (Dahi)","1 Kg","108.13","101.67","90.0","80.0","83.04","95.0","80.0","90.83","80.0","120.0","106.0","95.0","95.0","97.5","87.5","100.0","90.0","94.1","94.08","92.37","0.02","1.87"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","389.74","389.74","389.74","358.98","358.97","358.97","379.49","369.23","358.97","346.66","365.0","389.74","389.74","389.74","376.7","380.09","378.53","-0.89","-0.48"
"12.0","Eggs Hen, Farm","Dozen","129.92","126.0","121.25","127.5","124.79","128.13","128.5","126.25","127.5","129.62","130.0","142.5","123.13","131.25","128.13","125.63","143.75","129.05","127.33","103.44","1.35","24.76"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","148.75","160.0","183.93","200.0","175.0","177.5","170.0","168.85","140.0","137.5","190.0","220.0","200.0","190.0","163.75","181.49","181.16","180.07","0.18","0.79"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","465.0","465.0","467.0","467.0","465.0","465.0","470.0","465.0","465.0","468.0","469.0","468.0","460.0","445.0","475.0","445.0","440.0","462.59","460.53","456.71","0.45","1.29"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","460.0","460.0","452.0","452.0","460.0","460.0","465.0","460.0","460.0","453.0","452.0","453.0","450.0","440.0","470.0","440.0","445.0","454.82","452.12","446.88","0.6","1.78"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","146.67","146.0","150.0","145.14","143.25","141.75","150.0","149.0","145.38","150.0","145.0","127.5","160.31","160.0","130.0","125.0","145.07","143.97","136.5","0.76","6.28"
"17.0","Bananas","Dozen","135.0","99.17","65.0","70.0","98.49","55.0","48.75","79.38","58.75","62.69","46.25","65.0","58.13","76.25","59.06","60.0","57.5","70.26","66.54","64.86","5.59","8.33"
"18.0","Pulse Masoor, Washed","1 Kg","166.88","160.83","142.5","160.0","156.61","145.0","150.0","124.17","132.5","127.36","122.03","116.25","124.38","126.88","129.38","140.0","158.75","140.21","145.23","147.72","-3.46","-5.08"
"19.0","Pulse Moong, Washed","1 Kg","156.88","130.83","120.0","160.0","152.95","125.0","120.0","115.0","131.25","126.54","128.13","141.25","155.63","115.63","120.0","137.5","180.0","136.27","141.23","162.3","-3.51","-16.04"
"20.0","Pulse Mash, Washed","1 Kg","221.25","198.33","212.5","232.5","238.93","210.0","240.0","185.84","230.0","170.82","174.38","185.0","200.0","188.02","200.0","206.25","240.0","207.87","223.36","256.46","-6.93","-18.95"
"21.0","Pulse Gram, Washed","1 Kg","178.28","169.06","148.75","161.25","165.63","150.0","159.38","147.5","172.5","162.4","165.16","160.0","158.5","174.44","152.5","187.5","160.0","163.11","170.4","124.52","-4.28","30.99"
"22.0","Potatoes","1 Kg","41.41","32.92","20.0","23.75","25.18","23.13","20.0","20.84","22.5","24.42","21.1","20.0","20.0","28.34","21.25","27.5","33.0","25.02","34.48","21.47","-27.44","16.53"
"23.0","Onions","1 Kg","42.97","36.36","31.88","31.25","30.18","29.38","23.13","23.33","25.0","25.34","21.33","20.0","27.5","31.88","26.88","27.5","24.75","28.16","27.49","43.12","2.44","-34.69"
