"","","","","","","","Average Monthly Prices of 53 Essential Items for the Month of July 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
July 17 June 17 July 16","","","%change July 17 over
June 17 July 16",""
"1.0","Wheat","10 Kg","332.5","332.5","325.0","325.0","323.69","320.0","287.5","297.5","298.75","350.0","310.0","312.5","312.5","330.0","313.75","350.0","350.0","321.83","323.68","327.85","-0.57","-1.84"
"2.0","Wheat Flour, Bag","10 Kg","376.41","371.2","362.5","357.5","365.0","352.5","312.5","336.25","357.5","409.9","411.25","350.0","345.0","364.17","366.25","400.0","375.0","365.47","366.76","374.13","-0.35","-2.31"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","50.0","55.0","73.21","80.0","60.0","77.5","55.0","73.99","75.0","65.0","68.63","73.33","51.0","85.0","60.0","69.14","68.76","60.27","0.55","14.72"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","57.5","50.0","40.0","47.5","44.63","45.0","52.5","36.0","47.29","60.0","50.0","50.0","49.86","49.68","47.04","0.36","5.99"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.94","0.0","0.44"
"6.0","Beef With Bone, (AQ)","1 Kg","352.5","350.0","300.0","300.0","344.29","350.0","320.0","350.0","325.0","394.43","328.75","325.0","310.0","317.08","320.0","400.0","320.0","335.71","335.01","323.41","0.21","3.8"
"7.0","Mutton, Average Quality","1 Kg","823.13","807.5","650.0","650.0","805.36","700.0","700.0","700.0","625.0","767.79","706.25","662.5","687.5","662.5","570.0","700.0","575.0","693.68","687.71","644.67","0.87","7.6"
"8.0","Chicken Farm, Broiler, Live","1 Kg","157.53","140.78","139.0","144.5","133.0","138.88","144.38","145.42","134.0","157.41","144.38","167.5","137.5","161.0","169.38","172.5","187.5","151.45","152.69","146.27","-0.81","3.54"
"9.0","Milk, Fresh, Unboiled","1 Ltr","99.54","96.25","80.0","70.0","77.21","80.0","70.0","81.88","67.5","85.0","84.0","80.0","80.0","85.0","80.0","90.0","80.0","81.55","81.39","79.82","0.2","2.17"
"10.0","Curd (Dahi)","1 Kg","113.91","107.92","100.0","80.0","83.04","95.0","90.0","92.08","80.0","130.0","117.5","95.0","95.0","97.5","87.5","100.0","90.0","97.32","97.05","93.41","0.28","4.19"
"11.0","Powdered Milk, Nido, Polybag","400 gm","374.37","374.37","374.36","374.36","372.7","389.74","369.23","374.36","374.37","358.97","369.23","358.97","346.66","364.58","358.97","389.74","364.49","369.97","363.7","383.11","1.72","-3.43"
"12.0","Eggs Hen, Farm","Dozen","102.6","97.06","99.38","100.0","95.0","95.0","98.25","91.71","95.0","100.65","97.66","99.0","85.5","100.25","98.13","91.25","82.5","95.82","90.41","87.07","5.98","10.05"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","150.0","160.0","183.93","200.0","175.0","177.5","170.0","170.77","150.0","137.5","190.0","220.0","188.75","190.0","170.0","181.97","181.45","180.46","0.29","0.84"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","475.0","475.0","475.0","467.0","476.25","470.0","475.0","475.0","460.0","466.5","465.0","468.0","460.0","470.0","475.0","445.0","495.0","470.16","469.59","454.35","0.12","3.48"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","470.0","470.0","470.0","452.0","467.5","465.0","470.0","470.0","455.0","456.5","460.0","453.0","450.0","460.0","470.0","440.0","495.0","463.18","462.53","445.12","0.14","4.06"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","147.5","140.0","140.0","142.25","133.38","140.0","149.25","149.25","145.77","175.0","145.0","130.0","158.33","160.0","130.0","130.0","145.12","144.77","138.2","0.24","5.01"
"17.0","Bananas","Dozen","149.53","108.34","98.75","100.0","110.18","63.75","72.5","96.67","100.0","68.99","74.38","87.5","97.5","83.34","121.25","85.0","73.75","93.61","115.4","95.68","-18.88","-2.16"
"18.0","Pulse Masoor, Washed","1 Kg","148.6","133.6","140.0","160.0","138.93","127.5","155.0","103.33","117.5","112.4","113.44","110.0","96.25","100.23","121.25","112.5","140.0","125.33","127.41","152.22","-1.63","-17.67"
"19.0","Pulse Moong, Washed","1 Kg","150.79","129.48","120.0","140.0","126.61","125.94","120.0","112.5","120.0","119.47","128.13","135.0","140.0","101.38","98.13","135.0","145.0","126.32","127.94","157.68","-1.27","-19.89"
"20.0","Pulse Mash, Washed","1 Kg","203.13","179.58","195.0","180.0","229.46","208.75","225.0","165.0","185.0","182.41","166.25","175.0","170.0","171.04","193.75","192.5","230.0","191.29","193.24","273.09","-1.01","-29.95"
"21.0","Pulse Gram, Washed","1 Kg","149.53","134.27","110.0","110.0","126.7","110.0","115.0","112.5","123.75","131.54","122.19","135.0","118.13","122.59","120.0","140.0","140.0","124.78","129.08","151.63","-3.33","-17.71"
"22.0","Potatoes","1 Kg","51.25","46.25","40.0","40.0","39.24","60.0","30.0","39.38","37.5","34.52","35.0","30.63","29.5","38.33","32.5","30.0","38.5","38.39","38.07","35.0","0.84","9.69"
"23.0","Onions","1 Kg","45.0","38.75","35.0","35.63","35.63","29.38","25.0","31.04","30.0","30.96","31.25","25.0","29.63","32.92","30.63","28.75","23.0","31.62","29.02","31.32","8.96","0.96"
"24.0","Tomatoes","1 Kg","58.6","49.06","51.25","48.75","52.68","48.75","45.0","42.71","41.25","46.01","37.35","41.25","38.13","39.17","28.75","32.5","30.0","43.01","44.4","68.84","-3.13","-37.52"
