"","","","","","","","Average Monthly Prices of 53 Essential Items for the Month of June 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
17 May 17","","June
June 16","%change June 17 over
May 17 June 16",""
"1.0","Wheat","10 Kg","332.5","332.5","325.0","325.0","326.25","340.0","287.5","300.0","298.75","350.0","308.0","312.5","312.5","336.0","316.0","350.0","350.0","323.68","326.05","323.85","-0.73","-0.05"
"2.0","Wheat Flour, Bag","10 Kg","377.81","372.29","365.0","360.0","365.0","355.0","315.0","342.0","360.0","413.73","402.5","350.0","345.0","369.17","367.5","400.0","375.0","366.76","371.02","371.49","-1.15","-1.27"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","50.0","55.0","73.21","80.0","60.0","77.5","55.0","73.69","75.0","65.0","67.5","73.33","51.0","80.0","60.0","68.76","68.28","59.51","0.7","15.54"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","55.0","50.0","40.0","47.5","44.61","45.0","52.5","36.0","46.67","60.0","50.0","50.0","49.68","49.67","46.53","0.02","6.77"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.82","0.0","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","352.5","350.0","300.0","300.0","344.29","350.0","320.0","350.0","325.0","390.0","325.0","325.0","310.0","313.33","320.0","400.0","320.0","335.01","332.36","323.1","0.8","3.69"
"7.0","Mutton, Average Quality","1 Kg","815.25","801.0","650.0","650.0","805.36","700.0","700.0","700.0","625.0","765.38","700.0","650.0","650.0","650.0","554.0","700.0","575.0","687.71","681.47","642.35","0.92","7.06"
"8.0","Chicken Farm, Broiler, Live","1 Kg","148.74","133.92","136.6","140.4","133.6","136.2","141.0","154.5","140.8","165.75","157.38","162.0","151.0","151.8","168.0","178.0","196.0","152.69","159.33","160.84","-4.17","-5.07"
"9.0","Milk, Fresh, Unboiled","1 Ltr","99.38","96.25","80.0","70.0","77.21","80.0","70.0","79.33","67.5","85.0","84.0","80.0","80.0","85.0","80.0","90.0","80.0","81.39","81.22","79.67","0.21","2.16"
"10.0","Curd (Dahi)","1 Kg","113.13","107.92","100.0","80.0","83.04","95.0","90.0","90.83","80.0","130.0","115.0","95.0","95.0","97.5","87.5","100.0","90.0","97.05","96.3","93.21","0.78","4.12"
"11.0","Powdered Milk, Nido, Polybag","400 gm","359.0","359.0","358.97","358.97","358.97","389.74","358.98","358.97","358.97","363.07","369.23","369.77","346.66","365.0","358.97","389.74","358.97","363.7","368.64","382.43","-1.34","-4.9"
"12.0","Eggs Hen, Farm","Dozen","95.33","89.5","88.6","94.0","88.6","88.9","94.0","87.17","89.4","87.97","84.8","90.0","81.4","98.33","95.0","93.0","91.0","90.41","87.36","77.8","3.49","16.21"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","150.0","160.0","183.93","200.0","175.0","177.5","170.0","170.77","150.0","137.5","190.0","220.0","180.0","190.0","170.0","181.45","181.42","180.46","0.02","0.55"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","475.0","475.0","475.0","467.0","465.0","470.0","475.0","475.0","460.0","468.0","465.0","468.0","460.0","470.0","475.0","445.0","495.0","469.59","467.24","454.35","0.5","3.35"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","470.0","470.0","470.0","452.0","460.0","465.0","470.0","470.0","455.0","453.0","460.0","453.0","450.0","460.0","470.0","440.0","495.0","462.53","460.4","445.12","0.46","3.91"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","147.5","140.0","140.0","140.14","136.0","140.0","145.6","146.5","145.77","175.0","145.0","130.0","158.33","160.0","130.0","130.0","144.77","145.23","138.73","-0.32","4.35"
"17.0","Bananas","Dozen","196.63","151.0","141.0","122.0","140.82","108.0","106.0","125.67","120.0","92.33","94.5","89.0","98.5","112.67","95.75","90.0","78.0","115.4","88.46","100.68","30.45","14.62"
"18.0","Pulse Masoor, Washed","1 Kg","153.13","136.67","140.0","160.0","138.93","126.0","155.0","110.0","120.0","120.77","115.0","110.0","99.5","101.9","120.0","119.0","140.0","127.41","127.53","152.14","-0.09","-16.25"
"19.0","Pulse Moong, Washed","1 Kg","151.88","129.58","120.0","148.0","130.0","126.0","120.0","112.5","120.0","123.06","131.38","135.0","139.0","103.14","94.5","142.0","149.0","127.94","129.41","158.69","-1.14","-19.38"
"20.0","Pulse Mash, Washed","1 Kg","203.13","179.58","195.0","180.0","233.57","210.0","225.0","170.83","185.0","176.81","168.5","175.0","171.8","175.84","191.0","211.0","233.0","193.24","194.02","272.93","-0.4","-29.2"
"21.0","Pulse Gram, Washed","1 Kg","153.75","136.67","114.0","117.0","133.93","120.0","120.0","115.5","129.0","134.85","123.25","135.0","120.8","126.67","122.0","152.0","140.0","129.08","131.47","143.81","-1.82","-10.24"
"22.0","Potatoes","1 Kg","51.13","46.25","40.0","40.0","43.86","50.0","32.0","38.5","32.0","36.33","33.69","31.0","29.7","34.1","38.0","31.0","39.6","38.07","34.77","29.9","9.49","27.32"
"23.0","Onions","1 Kg","46.5","37.59","30.5","30.0","28.39","29.0","21.0","26.17","25.0","27.58","23.38","25.5","28.8","30.5","30.0","29.0","24.4","29.02","29.48","31.23","-1.56","-7.08"
"24.0","Tomatoes","1 Kg","58.38","47.83","38.5","40.5","40.32","39.0","40.0","39.83","46.5","57.46","49.75","44.0","58.4","32.0","31.25","49.0","42.0","44.4","30.13","40.46","47.36","9.74"
"25.0","Sugar, Refined","1 Kg","63.5","59.25","55.6","55.1","58.64","54.8","55.0","54.2","55.7","58.98","55.0","53.9","55.3","56.33","55.2","57.0","56.6","56.48","58.46","64.37","-3.39","-12.26"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","80.0","85.0","93.21","75.0","78.0","70.0","62.5","88.96","81.25","70.0","75.9","95.0","95.0","95.0","80.0","84.27","83.54","89.21","0.87","-5.54"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","10.71","10.71","10.47","0.0","2.29"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","254.17","240.0","262.0","220.0","270.0","290.0","238.83","225.0","295.48","265.0","250.0","243.0","236.67","280.0","310.0","300.0","263.54","264.2","278.44","-0.25","-5.35"
"29.0","Garlic","1 Kg","273.13","220.83","240.0","230.0","238.14","195.0","167.0","177.33","222.0","194.35","179.25","159.0","166.0","200.0","280.0","214.0","253.0","212.3","228.9","188.89","-7.25","12.39"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.26","205.0","205.26","205.26","178.94","203.7","203.7","157.9","0.0","29.01"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","102.86","75.0","100.0","80.0","75.0","92.69","77.5","100.0","100.0","120.0","100.0","90.0","140.0","93.51","93.51","90.87","0.0","2.91"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","47.5","45.0","40.0","50.0","61.15","52.5","50.0","65.0","60.0","50.0","65.0","80.0","56.94","56.94","55.4","0.0","2.78"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","15.0","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","20.75","20.75","19.57","0.0","6.03"
"34.0","Cigarettes, K-2, 20's","Packet","54.0","54.0","55.0","55.0","58.0","58.0","56.0","54.8","51.6","64.0","56.0","56.0","54.8","61.0","58.6","58.0","56.0","56.52","67.35","61.91","-16.08","-8.71"
"35.0","Long Cloth, 57"", (SN)","1 mtr","213.0","203.0","137.5","135.0","267.5","237.5","243.0","250.0","180.0","170.46","240.0","230.0","200.0","300.0","157.5","210.0","195.0","209.97","207.57","205.51","1.16","2.17"
"36.0","Shirting, (AQ), (SN)","1 mtr","203.5","189.0","175.0","175.0","155.0","125.0","145.0","210.0","115.0","166.15","140.0","120.0","157.5","283.33","147.5","160.0","190.0","168.06","166.7","164.3","0.82","2.29"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.19","251.21","0.23","1.82"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","135.0","160.0","135.0","105.0","110.0","118.77","120.0","125.0","130.0","120.0","100.0","105.0","95.0","125.22","124.98","123.54","0.19","1.36"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.09","0.0","0.0"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","502.39","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","-","128.7","128.7","128.33","0.0","0.29"
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","95.0","69.0","75.0","70.0","71.0","97.12","81.0","68.25","90.0","86.67","85.0","56.0","50.0","78.81","78.81","74.87","0.0","5.26"
"45.0","Firewood Whole","40 Kg","787.5","741.67","675.0","650.0","762.86","600.0","500.0","606.67","625.0","644.23","550.0","400.0","450.0","716.67","495.0","650.0","500.0","609.09","609.09","597.1","0.0","2.01"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","167.79","0.0","0.0"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","25.03","0.0","3.52"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","3.0","2.0","1.5","2.21","2.21","2.09","0.0","5.74"
"49.0","Petrol, Super","1 Ltr","72.85","72.85","73.16","74.2","73.16","73.2","72.82","73.07","73.38","72.57","73.13","72.57","73.0","72.57","75.4","73.18","75.21","73.31","74.85","65.12","-2.06","12.58"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","81.74","81.74","82.4","82.9","81.76","81.9","81.98","81.69","82.55","81.71","82.3","81.7","82.0","81.7","84.1","81.71","84.5","82.26","83.97","73.44","-2.04","12.01"
"51.0","LPG Cylinder, 11kg","Each","1030.0","1000.0","863.5","990.0","880.0","1000.0","970.0","880.0","990.0","880.0","1100.0","1100.0","1067.0","990.0","915.0","1100.0","1025.0","987.09 1016.78","","933.82","-2.92","5.7"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","42.0","42.0","42.0","42.0","42.0","40.0","42.0","42.0","42.0","42.0","40.0","42.0","40.0","40.0","40.0","42.0","42.0","41.41","40.59","36.14","2.02","14.58"
