"","","","","","","","Average Prices of 53 Essential items for the month of March, 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Mar 17 Feb 17 Mar 16","","","%change Mar 17 over
Feb 17 Mar 16",""
"1.0","Wheat","10 Kg","363.0","363.0","370.0","380.0","356.25","340.0","334.0","334.0","337.0","366.0","333.0","337.5","320.0","360.0","350.0","350.0","350.0","349.63","349.71","354.69","-0.02","-1.43"
"2.0","Wheat Flour, Bag","10 Kg","389.69","384.17","380.0","385.0","380.0","355.0","355.0","379.0","380.0","448.31","416.25","378.0","370.0","384.17","400.0","400.0","390.0","386.74","386.89","394.87","-0.04","-2.06"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","85.0","78.13","50.0","55.0","67.5","75.5","55.0","74.17","55.0","71.7","75.0","65.0","61.5","71.67","51.0","62.0","55.0","65.19","64.01","59.96","1.84","8.72"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","50.0","50.0","40.0","47.5","44.58","45.0","52.5","36.0","47.0","60.0","50.0","50.0","49.4","49.42","46.24","-0.04","6.83"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","40.82","0.0","0.73"
"6.0","Beef With Bone, (AQ)","1 Kg","352.5","350.0","300.0","300.0","344.29","350.0","310.0","350.0","300.0","390.0","325.0","325.0","310.0","313.33","300.0","400.0","320.0","331.77","327.75","318.01","1.23","4.33"
"7.0","Mutton, Average Quality","1 Kg","787.0","771.0","650.0","650.0","805.36","700.0","700.0","700.0","600.0","742.31","641.25","620.0","640.0","650.0","522.5","678.0","575.0","672.5","662.56","634.47","1.5","5.99"
"8.0","Chicken Farm, Broiler, Live","1 Kg","174.87","156.96","160.6","167.8","155.6","164.1","161.6","172.83","166.0","199.99","189.38","192.0","179.5","172.8","159.8","174.0","188.0","172.7","135.11","155.43","27.82","11.11"
"9.0","Milk, Fresh, Unboiled","1 Ltr","99.38","96.25","80.0","70.0","77.21","80.0","67.5","78.33","67.5","82.77","80.0","80.0","80.0","85.0","80.0","90.0","80.0","80.82","80.52","78.29","0.37","3.23"
"10.0","Curd (Dahi)","1 Kg","113.13","107.92","90.0","80.0","83.04","95.0","80.0","90.83","80.0","120.0","106.0","95.0","95.0","97.5","87.5","100.0","90.0","94.76","94.43","92.42","0.35","2.53"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","371.28","371.28","389.74","389.74","358.98","358.97","358.97","369.23","369.23","358.97","346.66","365.0","389.74","389.74","389.74","373.93","376.25","378.82","-0.62","-1.29"
"12.0","Eggs Hen, Farm","Dozen","93.79","85.75","82.5","89.5","83.4","88.6","84.2","84.0","82.4","88.07","87.4","92.4","87.5","94.03","97.0","106.0","106.0","90.15","111.71","78.79","-19.3","14.42"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","150.0","160.0","183.93","200.0","175.0","177.5","170.0","168.85","146.0","137.5","190.0","220.0","192.0","190.0","170.0","181.81","182.1","179.02","-0.16","1.56"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","471.0","471.0","475.0","467.0","465.0","465.0","471.0","471.0","475.0","468.0","466.2","468.0","460.0","470.0","475.0","445.0","440.0","466.07","463.69","455.47","0.51","2.33"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","466.0","466.0","470.0","452.0","460.0","460.0","466.0","466.0","470.0","453.0","460.0","453.0","450.0","460.0","470.0","440.0","445.0","459.24","455.94","445.12","0.72","3.17"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","146.67","145.6","150.0","140.14","139.2","141.2","148.0","150.0","145.38","164.0","145.0","130.0","159.33","162.5","130.0","129.0","145.72","145.2","137.18","0.36","6.23"
"17.0","Bananas","Dozen","144.13","131.75","77.5","84.0","118.04","58.5","62.0","96.67","60.0","80.35","55.75","75.0","70.3","86.33","65.0","70.0","65.0","82.37","74.14","75.14","11.1","9.62"
"18.0","Pulse Masoor, Washed","1 Kg","153.13","138.92","140.0","160.0","142.57","134.0","159.0","114.0","120.0","118.81","118.0","110.0","100.0","105.26","123.0","122.0","152.0","130.04","134.31","145.88","-3.18","-10.86"
"19.0","Pulse Moong, Washed","1 Kg","151.88","130.33","120.0","156.0","137.57","122.0","120.0","112.5","120.0","119.3","123.63","125.0","140.0","105.87","116.0","132.0","180.0","130.12","132.85","158.62","-2.05","-17.97"
"20.0","Pulse Mash, Washed","1 Kg","203.13","180.33","200.0","196.0","224.07","210.0","229.0","164.0","181.0","151.96","158.0","165.0","150.0","173.7","195.0","187.0","240.0","188.72","197.26","258.08","-4.33","-26.88"
"21.0","Pulse Gram, Washed","1 Kg","148.75","138.17","113.0","120.0","128.86","131.0","126.0","118.5","125.0","128.48","120.0","124.0","126.8","129.77","117.0","154.0","160.0","129.96","138.88","119.07","-6.42","9.15"
"22.0","Potatoes","1 Kg","44.88","35.42","24.0","28.0","32.86","28.5","22.5","28.5","27.0","28.0","28.25","26.5","24.9","29.33","26.0","27.5","27.0","28.77","24.82","19.44","15.91","47.99"
"23.0","Onions","1 Kg","48.25","41.67","34.0","38.0","36.6","36.5","28.5","33.33","31.0","28.85","28.13","26.5","27.9","38.33","32.5","31.0","28.4","33.5","30.52","40.71","9.76","-17.71"
"24.0","Tomatoes","1 Kg","104.63","92.58","97.0","101.0","92.46","87.5","74.0","84.5","85.0","71.77","64.44","69.0","71.0","80.33","77.0","55.0","64.0","80.66","39.8","34.15","102.66","136.19"
"25.0","Sugar, Refined","1 Kg","66.58","62.82","60.0","60.0","63.56","59.2","58.2","58.6","59.2","61.48","59.0","58.2","59.4","60.27","59.25","60.8","60.4","60.41","63.12","62.93","-4.29","-4.0"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","80.0","80.0","98.75","75.0","74.0","70.0","61.5","90.19","81.25","70.0","76.2","95.0","95.0","95.0","82.0","84.21","85.36","85.6","-1.35","-1.62"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","10.71","10.71","10.47","0.0","2.29"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","254.17","240.0","276.0","251.29","280.0","280.0","237.5","225.0","298.41","265.0","250.0","255.0","236.67","274.5","310.0","300.0","266.68","269.5","273.99","-1.05","-2.67"
"29.0","Garlic","1 Kg","336.5","311.5","295.0","300.0","322.36","328.0","280.0","283.0","320.0","285.15","273.0","282.0","276.0","291.83","314.0","306.0","304.0","300.49","308.28","270.29","-2.53","11.17"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","205.26","205.26","200.0","194.74","205.26","200.0","205.26","205.26","200.0","194.74","205.26","194.73","200.0","199.79","178.94","178.94","157.89","195.96","178.79","162.36","9.6","20.69"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","102.86","75.0","100.0","80.0","72.0","92.69","76.88","100.0","100.0","120.0","100.0","90.0","140.0","93.3","92.74","89.25","0.6","4.54"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","47.5","45.0","40.0","50.0","61.15","52.25","50.0","65.0","60.0","50.0","65.0","80.0","56.93","56.91","54.08","0.04","5.27"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","17.5","20.0","22.5","20.0","20.0","15.0","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","20.6","20.6","19.57","0.0","5.26"
"34.0","Cigarettes, K-2, 20's","Packet","70.0","70.0","75.0","75.0","68.0","70.0","65.0","62.0","57.0","70.0","65.0","65.0","62.0","70.0","64.0","70.0","65.0","67.24","67.06","59.88","0.27","12.29"
"35.0","Long Cloth, 57"", (SN)","1 mtr","205.0","195.0","137.5","135.0","257.14","237.5","235.0","250.0","180.0","170.0","240.0","230.0","200.0","300.0","157.5","170.0","195.0","205.57","205.57","202.77","0.0","1.38"
"36.0","Shirting, (AQ), (SN)","1 mtr","192.5","185.0","175.0","175.0","138.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","164.3","164.3","161.94","0.0","1.46"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","281.07","240.0","360.0","150.0","169.0","415.0","280.0","280.0","333.0","360.0","187.5","180.0","165.0","251.21","251.21","243.97","0.0","2.97"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","120.54","160.0","135.0","105.0","110.0","114.62","120.0","125.0","130.0","120.0","100.0","105.0","95.0","124.13","124.13","123.24","0.0","0.72"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.0","0.0","0.05"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","501.94","0.0","0.09"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","128.7","128.42","0.0","0.22"
"44.0","Kerosene Oil","1 Ltr","98.75","95.0","75.0","77.0","95.0","69.0","75.0","70.0","71.0","97.12","81.0","69.5","90.0","86.67","85.0","56.0","50.0","78.88","77.97","74.4","1.17","6.02"
"45.0","Firewood Whole","40 Kg","787.5","741.67","690.0","650.0","737.14","600.0","500.0","606.67","625.0","644.23","550.0","400.0","450.0","720.0","495.0","650.0","510.0","609.25","612.21","604.02","-0.48","0.87"
"46.0","Energy Saver","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","190.0","155.0","175.0","180.0","160.0","180.0","150.0","167.79","167.79","167.21","0.0","0.35"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","26.0","30.0","20.0","22.5","30.0","40.0","25.91","25.91","24.79","0.0","4.52"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","2.0","2.5","3.0","2.0","2.5","2.0","2.0","2.5","2.5","2.0","2.5","2.0","1.5","2.18","2.18","1.99","0.0","9.55"
