"","","","","","","","Average Monthly Prices of 53 Items for the month of November 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Nov 17 Oct 17 Nov16","","","%change Nov 17 over
Oct 17 Nov 16",""
"1.0","Wheat","10 Kg","342.0","342.0","325.0","325.0","330.7","335.0","320.0","326.0","330.0","362.5","331.3","337.5","325.0","347.33","326.5","350.0","350.0","335.64","327.74","342.8","2.41","-2.09"
"2.0","Wheat Flour, Bag","10 Kg","394.69","387.92","380.0","378.0","397.0","383.0","348.0","369.0","379.0","435.58","420.0","377.0","375.0","379.34","379.0","400.0","375.0","385.74","374.81","385.75","2.92","0.0"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","50.0","55.0","73.21","85.0","60.0","82.5","55.0","74.54","75.0","65.0","75.0","77.5","51.0","90.0","60.0","70.67","70.34","62.01","0.47","13.97"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","60.0","61.0","40.0","47.5","48.15","45.0","52.5","34.0","47.5","63.5","50.0","50.0","50.96","50.73","47.88","0.45","6.43"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","44.0","44.0","45.0","45.0","45.11","44.0","50.0","45.0","35.0","35.0","40.0","35.0","42.44","41.12","41.12","3.21","3.21"
"6.0","Beef With Bone, (AQ)","1 Kg","362.5","357.92","300.0","300.0","381.96","350.0","349.0","350.0","325.0","405.77","350.0","325.0","310.0","336.67","320.0","400.0","320.0","343.75","343.42","324.3","0.1","6.0"
"7.0","Mutton, Average Quality","1 Kg","833.13","818.33","650.0","650.0","844.64","800.0","750.0","750.0","655.0","815.38","725.0","725.0","725.0","733.33","570.0","725.0","600.0","727.64","715.79","653.92","1.66","11.27"
"8.0","Chicken Farm, Broiler, Live","1 Kg","131.29","113.25","117.2","122.8","116.6","121.2","119.6","132.83","124.0","139.58","134.06","148.0","117.0","134.8","142.0","144.0","156.0","130.25","125.23","145.01","4.01","-10.18"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","96.25","80.0","80.0","77.21","80.0","70.0","82.5","67.5","85.0","84.0","80.0","80.0","85.0","82.5","90.0","80.0","82.5","82.5","80.37","0.0","2.65"
