"","","","","","","","Average Monthly Prices of 53 Items for the month of October 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Oct 17 Sep 17 Oct 16","","","%change Oct 17 over
Sep 17 Oct 16",""
"1.0","Wheat","10 Kg","335.0","335.0","325.0","325.0","316.0","315.63","313.13","308.75","312.5","350.5","320.0","337.5","325.0","330.0","322.5","350.0","350.0","327.74","322.85","338.99","1.51","-3.32"
"2.0","Wheat Flour, Bag","10 Kg","382.89","374.64","358.75","360.0","380.0","370.0","321.25","355.0","370.0","425.1","420.0","370.0","370.0","364.17","375.0","400.0","375.0","374.81","367.9","383.4","1.88","-2.24"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","50.0","52.5","73.21","85.0","60.0","81.88","55.0","74.42","75.0","65.0","75.0","75.0","51.0","90.0","60.0","70.34","70.15","62.04","0.27","13.38"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","60.0","60.0","40.0","47.5","46.0","45.0","52.5","34.0","47.5","62.75","50.0","50.0","50.73","50.68","48.19","0.1","5.27"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","41.12","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","362.5","357.92","300.0","300.0","381.96","350.0","345.0","350.0","325.0","405.77","350.0","325.0","310.0","335.0","320.0","400.0","320.0","343.42","342.54","324.3","0.26","5.9"
"7.0","Mutton, Average Quality","1 Kg","823.13","810.83","650.0","650.0","844.64","700.0","750.0","750.0","625.0","786.54","725.0","712.5","712.5","733.33","570.0","725.0","600.0","715.79","711.55","653.54","0.6","9.53"
"8.0","Chicken Farm, Broiler, Live","1 Kg","130.35","111.72","114.5","119.0","107.5","114.88","114.5","125.0","116.5","135.34","116.88","142.5","106.25","134.0","138.75","137.5","163.75","125.23","121.25","155.94","3.28","-19.69"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","96.25","80.0","80.0","77.21","80.0","70.0","82.5","67.5","85.0","84.0","80.0","80.0","85.0","82.5","90.0","80.0","82.5","81.91","80.37","0.72","2.65"
"10.0","Curd (Dahi)","1 Kg","116.25","107.92","100.0","90.0","87.86","95.0","90.0","92.5","80.0","130.0","120.0","95.0","95.0","97.5","90.0","100.0","90.0","98.65","98.06","94.05","0.6","4.89"
"11.0","Powdered Milk, Nido, Polybag","400 gm","379.49","379.49","379.49","379.49","377.28","389.74","379.48","379.49","379.5","379.49","379.48","358.97","358.97","365.83","358.97","389.74","370.0","375.58","373.29","388.59","0.61","-3.35"
"12.0","Eggs Hen, Farm","Dozen","110.17","105.02","107.88","106.88","104.5","106.88","103.75","103.75","109.5","109.55","105.78","108.5","100.0","111.25","110.63","107.5","95.0","106.27","98.35","98.51","8.05","7.88"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","150.0","160.0","183.93","200.0","177.5","182.3","170.0","175.96","155.94","157.0","190.0","220.0","180.0","190.0","175.0","183.98","182.4","180.75","0.87","1.79"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","471.25","471.25","475.0","467.0","480.0","470.0","475.0","475.0","470.0","465.0","465.0","468.0","460.0","470.0","475.0","445.0","460.0","468.38","468.38","454.65","0.0","3.02"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","455.0","455.0","470.0","452.0","470.0","465.0","470.0","470.0","458.75","460.0","460.0","453.0","450.0","460.0","470.0","440.0","455.0","459.63","461.03","445.41","-0.3","3.19"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","147.5","140.0","140.0","144.36","135.88","138.75","150.5","152.5","149.52","175.0","145.0","130.0","159.17","160.0","130.0","130.0","145.85","145.94","142.79","-0.06","2.14"
"17.0","Bananas","Dozen","117.81","78.33","55.0","60.0","68.93","45.0","43.75","70.84","55.0","52.17","49.07","55.0","50.0","69.17","65.0","63.75","58.75","62.21","68.37","63.44","-9.01","-1.94"
"18.0","Pulse Masoor, Washed","1 Kg","139.22","122.3","140.0","160.0","129.64","133.75","155.0","103.33","110.0","106.92","101.25","110.0","93.75","94.27","112.81","128.75","130.0","121.82","121.59","148.63","0.19","-18.04"
