"","","","","","","","Average Monthly Prices of 53 Items for the month of September 2017","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Sep 17 Aug 17 Sep 16","","","%change Sep 17 over
Aug 17 Sep 16",""
"1.0","Wheat","10 Kg","329.38","329.38","325.0","325.0","316.0","312.25","300.39","300.63","303.75","350.0","313.75","325.0","318.75","321.67","317.5","350.0","350.0","322.85","318.66","333.56","1.31","-3.21"
"2.0","Wheat Flour, Bag","10 Kg","379.93","372.55","357.5","357.5","371.25","355.0","308.75","342.5","357.5","407.6","416.25","362.5","358.75","361.67","370.0","400.0","375.0","367.9","360.86","377.03","1.95","-2.42"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","50.0","52.5","73.21","85.0","60.0","80.0","55.0","74.42","75.0","65.0","75.0","73.75","51.0","90.0","60.0","70.15","70.05","62.35","0.14","12.51"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","50.0","47.5","57.0","60.0","60.0","40.0","47.5","45.8","45.0","52.5","34.0","47.5","62.0","50.0","50.0","50.68","50.15","48.55","1.06","4.39"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","45.0","35.0","35.0","40.0","35.0","41.12","41.12","41.12","0.0","0.0"
"6.0","Beef With Bone, (AQ)","1 Kg","362.5","357.92","300.0","300.0","381.96","350.0","340.0","350.0","325.0","405.77","345.0","325.0","310.0","330.0","320.0","400.0","320.0","342.54","341.31","324.3","0.36","5.62"
"7.0","Mutton, Average Quality","1 Kg","823.13","807.5","650.0","650.0","844.64","700.0","750.0","750.0","625.0","786.54","725.0","675.0","700.0","733.33","570.0","706.25","600.0","711.55","706.9","652.32","0.66","9.08"
"8.0","Chicken Farm, Broiler, Live","1 Kg","121.38","100.54","99.5","105.25","94.5","101.75","102.63","112.5","107.5","142.26","125.0","142.5","125.0","116.5","129.38","143.75","191.25","121.25","136.95","126.87","-11.46","-4.43"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","96.25","80.0","70.0","77.21","80.0","70.0","82.5","67.5","85.0","84.0","80.0","80.0","85.0","82.5","90.0","80.0","81.91","81.89","80.37","0.02","1.92"
"10.0","Curd (Dahi)","1 Kg","116.25","107.92","100.0","80.0","87.86","95.0","90.0","92.5","80.0","130.0","120.0","95.0","95.0","97.5","90.0","100.0","90.0","98.06","97.95","94.05","0.11","4.26"
"11.0","Powdered Milk, Nido, Polybag","400 gm","379.49","379.49","379.49","379.49","377.28","389.74","379.48","379.49","379.5","364.1","369.23","358.97","346.66","364.87","358.97","389.74","370.0","373.29","372.9","386.58","0.1","-3.44"
"12.0","Eggs Hen, Farm","Dozen","105.47","98.5","100.0","101.25","97.0","99.88","97.5","97.5","100.25","101.43","95.75","102.0","85.0","101.67","100.0","103.75","85.0","98.35","97.0","98.62","1.39","-0.27"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","150.0","160.0","183.93","200.0","170.0","180.63","170.0","170.77","150.0","143.0","190.0","220.0","185.0","190.0","177.5","182.4","182.54","179.93","-0.08","1.37"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","471.25","471.25","475.0","467.0","480.0","470.0","475.0","475.0","470.0","465.0","465.0","468.0","460.0","470.0","475.0","445.0","460.0","468.38","470.53","454.65","-0.46","3.02"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","458.75","458.75","470.0","452.0","470.0","465.0","470.0","470.0","455.0","460.0","460.0","453.0","450.0","460.0","470.0","440.0","475.0","461.03","463.53","445.41","-0.54","3.51"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","147.5","140.0","140.0","144.36","135.06","140.0","153.0","152.5","148.6","175.0","145.0","130.0","158.65","160.0","130.0","130.0","145.94","145.3","141.94","0.44","2.82"
"17.0","Bananas","Dozen","132.19","85.83","63.75","67.5","74.29","45.0","51.88","78.96","57.5","59.85","53.44","58.75","53.75","72.08","60.63","71.88","75.0","68.37","76.06","68.9","-10.11","-0.77"
"18.0","Pulse Masoor, Washed","1 Kg","144.38","125.42","140.0","160.0","129.64","132.5","155.0","103.33","110.0","107.5","100.78","110.0","90.0","97.17","111.25","115.0","135.0","121.59","122.13","150.31","-0.44","-19.11"
"19.0","Pulse Moong, Washed","1 Kg","138.75","128.33","120.0","133.75","113.39","125.0","116.25","105.0","120.0","118.27","121.41","135.0","129.38","107.13","100.0","140.0","140.0","123.04","123.88","148.65","-0.68","-17.23"
"20.0","Pulse Mash, Washed","1 Kg","195.63","177.08","185.0","180.0","193.93","203.75","230.0","156.87","175.0","163.27","156.41","175.0","160.0","163.75","195.0","206.25","230.0","185.11","187.04","257.41","-1.03","-28.09"
"21.0","Pulse Gram, Washed","1 Kg","138.44","128.33","112.5","116.25","117.32","117.5","115.0","115.83","120.0","123.65","120.63","135.0","121.25","119.19","115.0","142.5","135.0","123.14","122.04","156.55","0.9","-21.34"
"22.0","Potatoes","1 Kg","54.38","46.25","58.75","60.0","43.93","52.5","30.0","40.83","40.0","31.66","32.03","28.75","29.38","38.34","33.13","30.0","40.0","40.58","38.72","39.1","4.8","3.79"
"23.0","Onions","1 Kg","91.56","84.17","70.63","78.75","77.59","70.63","63.75","83.13","78.75","83.94","84.06","60.0","67.5","73.96","78.44","53.75","36.25","72.76","46.37","31.26","56.91","132.76"
"24.0","Tomatoes","1 Kg","120.94","107.61","128.75","115.0","119.38","115.0","107.5","112.09","117.5","120.87","100.47","102.5","85.0","86.88","88.75","72.5","43.75","102.62","57.85","53.0","77.39","93.62"
"25.0","Sugar, Refined","1 Kg","60.13","56.65","55.0","55.0","57.22","54.75","54.38","53.25","55.0","57.15","53.56","53.13","54.0","55.15","55.25","56.0","57.0","55.45","56.88","71.03","-2.51","-21.93"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","80.0","85.0","93.21","75.0","80.0","73.96","73.75","91.73","81.25","76.25","70.0","96.25","95.0","85.0","85.0","85.24","84.66","94.88","0.69","-10.16"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","13.75","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","10.93","10.71","10.59","2.05","3.21"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","254.17","237.5","250.0","220.0","248.75","280.0","225.0","225.0","295.48","265.0","250.0","238.75","244.17","250.0","310.0","300.0","258.46","260.16","280.81","-0.65","-7.96"
"29.0","Garlic","1 Kg","252.5","207.92","162.5","172.5","196.25","161.25","160.0","155.83","170.0","199.18","175.0","186.25","143.75","186.67","231.88","221.25","202.5","187.37","192.96","290.49","-2.9","-35.5"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","178.95","178.95","178.94","178.95","179.0","178.95","179.0","178.95","178.94","192.1","178.94","178.95","205.06","198.68","178.94","182.42","193.78","157.9","-5.86","15.53"
"31.0","Cooked Beef, Average Hotel","Plate","107.5","104.17","62.5","62.5","102.86","75.0","100.0","80.0","110.0","93.08","77.5","100.0","100.0","120.0","100.0","90.0","140.0","95.59","93.52","91.93","2.21","3.98"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","55.0","50.0","40.0","60.0","61.15","52.5","50.0","65.0","60.0","50.0","65.0","80.0","58.27","57.18","56.61","1.91","2.93"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","22.5","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","21.19","21.1","19.87","0.43","6.64"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","48.0","55.0","50.0","50.0","50.0","55.0","55.0","50.0","50.0","50.76","50.76","64.18","0.0","-20.91"
"35.0","Long Cloth, 57"", (SN)","1 mtr","215.0","205.0","137.5","135.0","267.5","237.5","245.0","250.0","180.0","170.77","240.0","230.0","200.0","333.33","157.5","210.0","195.0","212.3","212.3","205.57","0.0","3.27"
"36.0","Shirting, (AQ), (SN)","1 mtr","206.25","190.0","175.0","175.0","155.0","125.0","150.0","210.0","115.0","166.15","140.0","120.0","157.5","300.0","147.5","160.0","190.0","169.55","169.32","164.3","0.14","3.2"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.77","251.21","0.0","1.82"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","125.0","130.0","120.0","100.0","105.0","95.0","125.68","125.56","123.54","0.1","1.73"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
