"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Feb 18 Jan 18 Feb 17","","","%change Feb 18 over
Jan 18 Feb 17",""
"1.0","Wheat","10 Kg","342.5","342.5","325.0","338.75","347.53","325.0","325.0","326.25","336.25","380.0","342.5","337.5","325.0","360.0","353.75","350.0","350.0","341.62","342.25","349.71","-0.18","-2.31"
"2.0","Wheat Flour, Bag","10 Kg","390.08","384.9","382.5","380.0","390.0","380.0","345.0","366.25","380.0","442.12","420.0","370.0","366.25","388.33","400.0","400.0","375.0","385.91","388.39","386.89","-0.64","-0.25"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","60.0","60.0","74.82","95.0","60.0","87.5","55.0","78.46","80.94","65.0","75.0","82.33","52.63","90.0","60.0","73.49","72.51","64.01","1.35","14.81"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","60.0","47.5","57.0","60.0","70.0","40.0","47.5","52.12","45.0","52.5","34.0","47.5","63.13","50.0","50.0","52.29","51.79","49.42","0.97","5.81"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","35.0","35.0","40.0","35.0","42.56","42.56","41.12","0.0","3.5"
"6.0","Beef With Bone, (AQ)","1 Kg","378.44","364.17","300.0","300.0","381.96","350.0","350.0","356.67","350.0","425.77","355.0","325.0","310.0","336.67","320.0","400.0","320.0","348.45","346.57","327.75","0.54","6.32"
"7.0","Mutton, Average Quality","1 Kg","863.6","857.71","650.0","650.0","844.64","800.0","750.0","775.0","725.0","823.08","728.13","725.0","725.0","733.33","575.0","725.0","625.0","739.73","733.32","662.56","0.87","11.65"
"8.0","Chicken Farm, Broiler, Live","1 Kg","170.8","155.0","158.5","164.5","150.0","155.25","156.25","155.0","146.5","176.69","166.57","169.0","158.75","173.0","188.75","173.75","192.75","165.36","177.54","135.11","-6.86","22.39"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","96.25","80.0","80.0","77.21","80.0","70.0","82.5","67.5","85.0","84.0","80.0","80.0","85.0","82.5","90.0","80.0","82.5","82.5","80.52","0.0","2.46"
"10.0","Curd (Dahi)","1 Kg","116.25","107.92","100.0","90.0","90.0","95.0","90.0","92.5","80.0","130.0","120.0","95.0","95.0","98.33","90.0","100.0","90.0","98.82","98.78","94.43","0.04","4.65"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","379.49","392.0","389.74","379.48","389.74","379.5","379.49","379.48","389.74","389.74","370.0","365.0","389.74","370.0","383.08","381.03","376.25","0.54","1.82"
"12.0","Eggs Hen, Farm","Dozen","102.03","95.0","96.25","98.75","93.75","90.63","97.25","96.67","95.5","100.6","102.63","107.5","100.63","99.79","117.5","125.0","97.5","101.0","113.41","111.71","-10.94","-9.59"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","231.67","155.0","160.0","183.93","200.0","170.0","184.17","170.0","184.62","160.0","150.0","190.0","220.0","165.0","190.0","175.0","184.08","184.18","182.1","-0.05","1.09"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","465.0","465.0","475.0","467.0","483.75","475.0","475.0","467.5","475.0","478.0","465.0","468.0","460.0","470.0","480.0","445.0","460.0","469.07","469.97","463.69","-0.19","1.16"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","460.0","460.0","470.0","452.0","477.5","470.0","470.0","462.5","470.0","473.0","460.0","453.0","450.0","463.33","470.0","440.0","455.0","462.14","462.93","455.94","-0.17","1.36"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","147.5","140.0","140.0","144.36","135.13","135.0","153.5","150.0","150.58","175.0","145.0","130.0","159.17","160.0","130.0","127.5","145.53","145.64","145.2","-0.08","0.23"
"17.0","Bananas","Dozen","140.47","108.44","78.75","78.75","86.43","57.5","57.5","86.25","65.0","74.42","60.63","70.0","60.0","78.75","86.88","71.25","52.5","77.27","70.46","74.14","9.67","4.22"
"18.0","Pulse Masoor, Washed","1 Kg","128.75","110.42","140.0","160.0","128.93","123.75","155.0","103.33","110.0","107.89","98.13","110.0","105.0","90.42","100.0","125.0","113.75","118.26","120.42","134.31","-1.79","-11.95"
"19.0","Pulse Moong, Washed","1 Kg","133.13","127.08","110.0","110.0","118.93","112.5","110.0","100.0","110.0","121.16","114.69","125.0","112.5","110.0","105.0","160.0","127.5","118.09","117.13","132.85","0.82","-11.11"
"20.0","Pulse Mash, Washed","1 Kg","168.75","145.83","165.0","160.0","186.43","165.0","180.0","133.75","137.5","126.83","127.82","125.0","119.38","138.33","122.5","201.88","230.0","154.94","158.26","197.26","-2.1","-21.45"
"21.0","Pulse Gram, Washed","1 Kg","133.75","128.33","99.69","105.0","113.93","105.0","108.75","108.34","120.0","123.22","120.0","120.0","118.75","117.5","102.5","143.75","121.25","117.04","119.14","138.88","-1.76","-15.73"
"22.0","Potatoes","1 Kg","41.41","34.48","26.25","27.5","27.32","21.25","20.0","22.29","21.88","29.11","23.13","21.88","20.63","32.29","28.75","30.0","30.63","26.99","32.96","24.82","-18.11","8.74"
"23.0","Onions","1 Kg","55.94","49.9","45.0","45.0","38.62","40.0","33.75","41.46","42.5","39.23","33.83","36.25","47.5","50.0","42.5","47.5","42.5","43.03","53.67","30.52","-19.82","40.99"
"24.0","Tomatoes","1 Kg","53.75","42.92","41.25","42.5","44.2","42.5","30.0","37.09","43.13","29.23","21.96","26.25","30.0","38.13","35.0","36.25","30.0","36.72","43.51","39.8","-15.61","-7.74"
"25.0","Sugar, Refined","1 Kg","56.44","53.59","50.63","50.0","54.64","49.75","49.5","49.5","50.0","54.6","50.06","48.75","49.5","51.04","50.5","53.75","53.25","51.5","53.12","63.12","-3.05","-18.41"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","77.5","85.0","88.75","75.0","67.5","65.0","52.5","86.88","81.88","56.25","58.13","83.33","82.5","90.0","77.5","78.55","81.85","85.36","-4.03","-7.98"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","17.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","11.12","11.12","10.71","0.0","3.83"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","260.42","240.0","240.0","250.36","250.0","280.0","235.0","225.0","295.48","265.0","250.0","233.75","241.67","215.0","310.0","290.0","257.75","258.1","269.5","-0.14","-4.36"
