"","","","","","","","Average Monthly Prices of 53 Items for the month of January 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jan 18 Dec 17 Jan 17","","","%change Jan 18 over
Dec 17 Jan 17",""
"1.0","Wheat","10 Kg","345.0","345.0","325.0","325.0","347.53","334.38","325.0","330.0","342.69","375.25","342.5","337.5","325.0","360.0","358.38","350.0","350.0","342.25","340.53","346.72","0.51","-1.29"
"2.0","Wheat Flour, Bag","10 Kg","394.69","387.92","390.0","380.0","395.0","383.75","350.0","370.0","380.0","442.74","420.0","375.0","370.63","387.92","400.0","400.0","375.0","388.39","388.45","386.22","-0.02","0.56"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","55.0","57.5","74.82","86.25","60.0","87.5","55.0","78.42","80.39","65.0","75.0","81.5","53.5","90.0","60.0","72.51","70.86","62.89","2.33","15.3"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","55.0","47.5","57.0","60.0","65.0","40.0","47.5","51.73","45.0","52.5","34.0","47.5","65.0","50.0","50.0","51.79","51.34","48.82","0.88","6.08"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","35.0","35.0","40.0","35.0","42.56","42.56","41.12","0.0","3.5"
"6.0","Beef With Bone, (AQ)","1 Kg","370.94","362.61","300.0","300.0","381.96","350.0","350.0","351.67","337.5","425.39","350.0","325.0","310.0","336.67","320.0","400.0","320.0","346.57","344.1","326.11","0.72","6.27"
"7.0","Mutton, Average Quality","1 Kg","854.69","846.87","650.0","650.0","844.64","800.0","750.0","756.25","687.5","823.08","725.0","725.0","725.0","733.33","570.0","725.0","600.0","733.32","729.27","659.3","0.56","11.23"
"8.0","Chicken Farm, Broiler, Live","1 Kg","174.67","158.96","163.0","169.0","162.25","166.75","162.5","178.54","169.0","198.49","188.6","198.0","183.75","177.25","182.5","183.75","201.25","177.54","166.84","124.64","6.41","42.44"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","96.25","80.0","80.0","77.21","80.0","70.0","82.5","67.5","85.0","84.0","80.0","80.0","85.0","82.5","90.0","80.0","82.5","82.5","80.37","0.0","2.65"
"10.0","Curd (Dahi)","1 Kg","116.25","107.92","100.0","90.0","89.47","95.0","90.0","92.5","80.0","130.0","120.0","95.0","95.0","98.12","90.0","100.0","90.0","98.78","98.65","94.1","0.13","4.97"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","379.49","377.28","389.74","379.48","389.74","379.5","379.49","379.48","389.74","369.66","370.0","365.0","389.74","370.0","381.03","380.37","376.7","0.17","1.15"
"12.0","Eggs Hen, Farm","Dozen","112.85","104.17","109.38","109.38","102.5","105.0","102.5","107.29","108.0","111.4","115.39","113.0","112.5","118.13","131.56","137.5","127.5","113.41","128.78","129.05","-11.94","-12.12"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","231.67","150.0","160.0","183.93","200.0","170.0","184.17","170.0","183.08","160.0","150.63","190.0","220.0","172.5","190.0","175.0","184.18","184.71","181.49","-0.29","1.48"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","469.69","470.0","475.0","467.0","485.0","475.0","475.0","475.0","475.0","474.75","465.0","468.0","460.0","470.0","480.0","445.0","460.0","469.97","469.71","462.59","0.06","1.6"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","465.0","465.0","470.0","452.0","480.0","470.0","470.0","470.0","470.0","469.75","460.0","453.0","450.0","460.0","470.0","440.0","455.0","462.93","462.94","454.82","0.0","1.78"
"16.0","Veg. Ghee, Loose/Pouch, (SN)","1 Kg","151.25","147.5","140.0","140.0","144.36","137.88","135.0","151.5","150.0","150.32","175.0","145.0","130.0","159.17","158.87","130.0","130.0","145.64","145.48","145.07","0.11","0.39"
"17.0","Bananas","Dozen","131.25","95.0","75.0","73.75","71.43","51.25","50.0","78.34","67.5","64.52","46.88","63.75","56.25","72.92","72.5","65.0","62.5","70.46","65.86","70.26","6.98","0.28"
"18.0","Pulse Masoor, Washed","1 Kg","128.75","110.42","140.0","160.0","126.43","131.25","155.0","103.33","110.0","107.5","101.88","110.0","96.25","90.0","100.0","136.25","140.0","120.42","118.8","140.21","1.36","-14.11"
"19.0","Pulse Moong, Washed","1 Kg","130.94","126.46","105.0","110.0","115.18","116.25","101.25","100.0","110.0","119.23","113.13","125.0","120.0","110.0","95.0","158.75","135.0","117.13","113.99","136.27","2.75","-14.05"
"20.0","Pulse Mash, Washed","1 Kg","168.75","145.83","165.0","160.0","186.43","165.0","190.0","150.83","145.0","126.92","127.5","126.25","118.75","139.08","123.75","221.25","230.0","158.26","160.21","207.87","-1.22","-23.87"
"21.0","Pulse Gram, Washed","1 Kg","132.03","128.33","100.0","105.63","113.93","105.0","105.0","113.33","120.0","122.41","120.0","120.0","122.5","117.87","101.88","157.5","140.0","119.14","118.52","163.11","0.52","-26.96"
"22.0","Potatoes","1 Kg","47.82","39.79","36.25","37.5","32.32","30.0","22.5","31.25","30.0","31.88","24.85","25.63","26.88","34.33","35.63","36.25","37.5","32.96","41.45","25.02","-20.48","31.73"
"23.0","Onions","1 Kg","68.91","62.19","57.5","58.75","55.63","50.63","47.5","51.67","56.25","49.81","42.03","47.5","53.75","58.96","50.0","58.75","42.5","53.67","58.52","28.16","-8.29","90.59"
"24.0","Tomatoes","1 Kg","58.6","49.48","50.0","52.5","47.06","50.63","40.0","40.0","41.25","34.57","26.8","30.0","33.75","44.17","35.94","46.25","58.75","43.51","74.44","31.53","-41.55","38.0"
"25.0","Sugar, Refined","1 Kg","57.63","54.79","53.63","52.0","54.89","52.38","51.5","51.5","52.13","55.07","51.0","50.25","52.0","53.46","51.63","54.25","55.0","53.12","53.91","64.8","-1.47","-18.02"
"26.0","Gur, Average Quality","1 Kg","109.38","98.33","80.0","85.0","93.21","75.0","65.0","72.5","56.25","91.73","80.47","62.5","72.69","87.5","84.38","90.0","87.5","81.85","84.03","86.01","-2.59","-4.84"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","17.0","10.0","10.0","10.0","12.0","12.0","12.0","10.0","10.0","10.0","12.0","10.0","10.0","11.12","11.09","10.71","0.27","3.83"
"28.0","Red Chilly Powder, Loose","1 Kg","300.0","258.86","240.0","240.0","247.86","250.0","280.0","235.0","225.0","295.48","265.0","250.0","233.75","241.67","215.0","310.0","300.0","258.1","259.58","273.26","-0.57","-5.55"
"29.0","Garlic","1 Kg","220.0","171.88","146.25","155.0","167.86","132.5","145.0","155.0","155.0","175.29","165.94","150.0","135.0","182.5","170.0","222.5","211.25","168.29","161.46","301.56","4.23","-44.19"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","178.95","178.95","178.95","178.95","178.94","178.95","179.0","178.95","179.0","178.95","178.94","178.94","178.94","178.95","179.0","178.94","178.94","178.96","180.49","177.73","-0.85","0.69"
"31.0","Cooked Beef, Average Hotel","Plate","112.5","106.46","100.0","62.5","102.86","130.0","100.0","80.0","117.5","93.08","77.5","100.0","100.0","120.0","105.0","90.0","140.0","102.2","99.93","92.61","2.27","10.36"
"32.0","Cooked Daal, Average Hotel","Plate","78.75","75.83","40.0","40.0","67.32","55.0","50.0","40.0","60.0","61.44","52.5","50.0","65.0","60.0","50.0","65.0","80.0","58.28","58.27","56.91","0.02","2.41"
"33.0","Tea Prepared, Average Hotel","Cup","22.5","22.5","20.0","20.0","20.0","22.5","20.0","20.0","22.5","21.73","20.0","25.0","27.5","15.0","20.0","21.0","20.0","21.19","21.19","20.53","0.0","3.21"
"34.0","Cigarettes, K-2, 20's","Packet","50.0","50.0","50.0","50.0","50.0","50.0","50.0","50.0","48.0","55.0","50.0","50.0","50.0","55.0","55.0","50.0","50.0","50.76","50.76","66.47","0.0","-23.63"
"35.0","Long Cloth, 57"", (SN)","1 mtr","215.0","205.0","137.5","135.0","267.5","237.5","245.0","250.0","180.0","175.39","240.0","230.0","200.0","333.33","157.5","210.0","195.0","212.57","212.3","205.57","0.13","3.41"
"36.0","Shirting, (AQ), (SN)","1 mtr","206.25","190.0","175.0","175.0","155.0","125.0","150.0","210.0","115.0","166.15","140.0","120.0","157.5","300.0","147.5","160.0","190.0","169.55","169.55","164.3","0.0","3.2"
"37.0","Lawn Printed, (SN)","1 mtr","240.0","220.0","205.0","205.0","305.0","240.0","360.0","150.0","169.0","415.0","280.0","280.0","366.66","360.0","187.5","200.0","165.0","255.77","255.77","251.21","0.0","1.82"
"38.0","Georgette, (AQ), (SN)","1 mtr","155.0","152.5","132.5","130.0","135.0","160.0","140.0","105.0","110.0","121.54","120.0","125.0","130.0","120.83","100.0","105.0","95.0","125.73","125.68","124.13","0.04","1.29"
"39.0","Gents Sandal, Bata","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Gents Chappal Spng, Bata","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","180.54","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.09","179.09","179.09","0.0","0.0"
"41.0","Ladies Sandal, Bata","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","549.0","506.69","499.0","499.0","499.0","499.0","499.0","499.0","499.0","502.39","502.39","502.39","0.0","0.0"
