"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of July 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jul 18 Jun 18 Jul 17","","","%change Jul 18 over
Jun 18 Jul 17",""
"1.0","Wheat","10 Kg","327.5","327.5","312.5","325.0","327.5","325.0","320.0","321.25","336.25","368.75","338.13","325.0","302.5","350.0","330.0","350.0","350.0","331.58","326.16","321.83","1.66","3.03"
"2.0","Wheat Flour, Bag","10 Kg","385.94","381.88","370.0","365.0","390.0","380.0","350.0","370.0","387.5","430.67","412.5","380.0","366.25","389.17","400.0","400.0","390.0","385.23","361.47","365.47","6.57","5.41"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.41","89.22","65.0","65.0","74.82","100.0","60.0","87.5","60.0","80.58","82.5","65.0","75.0","82.33","53.75","85.0","60.0","75.42","74.51","69.14","1.22","9.08"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","57.5","60.0","47.5","57.0","60.0","70.0","50.0","47.5","53.27","48.0","52.5","35.5","50.33","57.5","50.0","55.0","53.62","53.22","49.86","0.75","7.54"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","35.0","35.0","40.0","35.0","42.56","42.56","41.12","0.0","3.5"
"6.0","Beef With Bone, (AQ)","1 Kg","438.75","412.4","350.0","350.0","381.96","350.0","387.5","380.0","365.0","452.6","380.0","350.0","320.0","350.83","330.0","380.0","350.0","372.3","366.92","335.71","1.47","10.9"
"7.0","Mutton, Average Quality","1 Kg","916.88","903.33","700.0","700.0","869.64","850.0","850.0","825.0","725.0","872.12","775.0","750.0","750.0","791.67","600.0","775.0","625.0","781.1","772.74","693.68","1.08","12.6"
"8.0","Chicken Farm, Broiler, Live","1 Kg","168.6","155.28","150.25","156.25","147.75","145.5","144.75","143.75","134.0","156.76","151.88","165.0","151.25","156.5","163.75","215.0","210.0","159.78","198.58","151.45","-19.54","5.5"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","96.25","80.0","80.0","77.21","85.0","70.0","82.5","67.5","94.19","94.0","80.0","90.0","91.67","82.5","95.0","80.0","85.2","84.8","81.55","0.47","4.48"
