"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of June 2018","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
18 May 18","Jun
Jun 17","","%change Jun 18 over
May 18 Jun 17",""
"1.0","Wheat","10 Kg","325.63","325.63","312.5","325.0","327.5","326.25","298.75","320.0","324.06","362.5","329.38","312.5","300.0","332.5","322.5","350.0","350.0","326.16","321.05","323.68","1.59","0.77"
"2.0","Wheat Flour, Bag","10 Kg","370.86","347.3","345.0","337.5","350.0","375.0","321.25","302.5","314.38","418.56","400.0","367.5","355.0","368.96","392.5","400.0","378.75","361.47","354.18","366.76","2.06","-1.44"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","89.38","83.33","65.0","65.0","74.82","95.0","60.0","87.5","60.0","80.51","82.5","65.0","75.0","82.33","53.75","87.5","60.0","74.51","74.64","68.76","-0.17","8.36"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","60.0","52.71","60.0","47.5","57.0","60.0","70.0","50.0","47.5","53.27","48.0","52.5","35.5","48.21","57.5","50.0","55.0","53.22","52.93","49.68","0.55","7.13"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","40.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","35.0","35.0","40.0","35.0","42.56","42.56","41.12","0.0","3.5"
"6.0","Beef With Bone, (AQ)","1 Kg","430.63","410.0","350.0","350.0","381.96","350.0","351.25","365.0","365.0","447.98","380.0","325.0","320.0","350.83","330.0","380.0","350.0","366.92","361.91","335.01","1.38","9.53"
"7.0","Mutton, Average Quality","1 Kg","896.88","900.0","700.0","700.0","869.64","850.0","800.0","806.25","725.0","872.12","775.0","700.0","750.0","791.67","600.0","775.0","625.0","772.74","768.18","687.71","0.59","12.36"
"8.0","Chicken Farm, Broiler, Live","1 Kg","204.44","190.32","189.25","190.5","179.0","180.75","178.75","196.88","187.5","204.28","197.5","202.5","182.5","201.75","230.0","226.25","233.75","198.58","188.06","152.69","5.59","30.05"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","96.25","80.0","80.0","77.21","85.0","70.0","82.5","67.5","94.19","94.0","80.0","87.5","87.5","82.5","95.0","80.0","84.8","84.0","81.39","0.95","4.19"
"10.0","Curd (Dahi)","1 Kg","116.25","107.92","100.0","90.0","90.0","95.0","90.0","97.5","80.0","140.96","135.0","95.0","95.0","102.08","90.0","110.0","90.0","101.45","101.23","97.05","0.22","4.53"
"11.0","Powdered Milk, Nido, Polybag","400 gm","389.74","389.74","389.74","379.49","392.0","389.74","379.48","389.74","389.7","379.49","379.48","389.74","389.74","370.0","379.48","389.74","380.0","385.12","384.44","363.7","0.18","5.89"
"12.0","Eggs Hen, Farm","Dozen","88.76","81.44","85.0","86.25","81.0","83.13","81.25","84.17","85.0","94.73","96.25","95.0","82.5","94.17","100.0","112.5","83.75","89.11","91.16","90.41","-2.25","-1.44"
