"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of January 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Jan 19 Dec 18 Jan 18","","","%change Jan 19 over
Dec 18 Jan 18",""
"1.0","Wheat","10 Kg","357.5","357.5","362.5","362.5","347.5","342.0","325.0","332.5","346.0","388.0","364.5","325.0","345.0","366.0","366.0","360.0","350.0","352.79","349.63","342.25","0.9","3.08"
"2.0","Wheat Flour, Bag","10 Kg","393.5","392.41","380.0","390.0","392.5","398.0","365.0","378.0","390.0","450.85","420.0","390.0","382.0","391.16","400.0","410.0","390.0","394.91","394.54","388.39","0.09","1.68"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","70.0","70.0","74.82","95.0","65.0","87.5","60.0","85.54","85.0","65.0","77.5","84.17","53.75","93.0","80.0","78.38","78.03","72.51","0.45","8.1"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.0","59.08","60.0","47.5","57.0","60.0","70.0","50.0","47.5","56.81","53.5","55.0","40.75","56.67","60.5","57.0","53.75","55.65","54.76","51.79","1.63","7.45"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","45.0","40.0","44.29","45.0","45.0","45.0","45.0","45.19","44.0","50.0","45.0","40.0","35.0","40.0","40.0","43.44","43.29","42.56","0.35","2.07"
"6.0","Beef With Bone, (AQ)","1 Kg","456.88","442.08","375.0","440.0","381.96","375.0","400.0","390.0","365.0","460.92","390.0","400.0","390.0","358.83","350.0","380.0","400.0","397.39","387.64","346.57","2.52","14.66"
"7.0","Mutton, Average Quality","1 Kg","930.0","922.92","800.0","880.0","869.64","850.0","875.0","825.0","725.0","882.3","800.0","750.0","825.0","811.83","600.0","775.0","750.0","815.98","806.24","733.32","1.21","11.27"
"8.0","Chicken Farm, Broiler, Live","1 Kg","135.71","123.75","118.0","124.0","122.4","120.0","114.0","131.5","120.0","145.89","135.5","144.0","125.0","131.8","138.0","165.0","202.0","135.09","171.63","177.54","-21.29","-23.91"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","100.83","90.0","80.0","77.68","90.0","70.0","83.33","67.5","94.19","94.0","80.0","91.0","95.0","84.5","95.0","80.0","86.8","85.95","82.5","0.99","5.21"
"10.0","Curd (Dahi)","1 Kg","116.25","112.92","100.0","90.0","91.5","97.5","90.0","97.5","80.0","141.65","135.0","100.0","95.0","106.67","94.0","110.0","90.0","102.82","102.34","98.78","0.47","4.09"
"11.0","Powdered Milk, Nido, Polybag","400 gm","410.26","410.26","410.26","410.26","410.0","405.0","410.25","410.25","410.0","400.0","400.0","389.74","416.0","390.0","410.25","400.0","400.0","405.44","403.45","381.03","0.49","6.41"
"12.0","Eggs Hen, Farm","Dozen","116.13","108.78","116.75","115.0","109.2","109.7","110.0","111.0","110.0","119.3","119.63","125.6","112.0","118.33","120.0","133.0","122.5","116.29","117.1","113.41","-0.69","2.54"
"13.0","Mustard Oil, Average Quality","1 Kg","246.25","241.67","170.0","160.0","187.86","200.0","190.0","184.17","170.0","184.23","160.0","150.0","195.0","222.0","176.0","190.0","200.0","189.83","188.18","184.18","0.88","3.07"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","520.0","520.0","520.0","520.0","515.0","520.0","520.0","520.0","520.0","510.0","506.2","510.0","500.0","507.4","515.0","515.0","460.0","511.68","505.06","469.97","1.31","8.88"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","495.0","495.0","495.0","495.0","506.0","495.0","495.0","495.0","495.0","490.0","488.4","490.0","490.0","492.0","490.0","488.0","455.0","491.14","488.0","462.93","0.64","6.09"
"16.0","Vegetable Ghee (Loose)","1 Kg","159.06","155.63","155.0","155.0","155.0","149.4","146.0","160.0","160.0","160.42","195.0","145.0","130.0","167.5","170.0","194.0","125.0","157.77","156.99","145.64","0.5","8.33"
