"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of May 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
May 19 Apr 19 May 18","","","%change May 19 over
Apr 19 May 18",""
"1.0","Wheat","10 Kg","362.5","362.5","370.0","340.0","347.5","353.0","312.5","323.5","335.5","383.0","327.5","327.5","310.0","386.0","363.0","360.0","350.0","347.88","346.36","321.05","0.44","8.36"
"2.0","Wheat Flour, Bag","10 Kg","412.38","408.08","393.0","392.0","398.5","402.5","364.0","374.0","390.0","439.19","409.25","374.0","363.0","406.5","401.0","408.0","382.5","395.17","388.61","354.18","1.69","11.57"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","96.88","89.38","70.0","70.0","74.82","90.0","67.5","88.16","60.0","85.77","85.0","65.0","85.0","84.17","53.75","102.0","80.0","79.26","78.79","74.64","0.6","6.19"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","66.25","65.0","60.0","47.5","57.0","65.0","70.0","50.0","47.5","60.4","51.0","55.0","42.5","58.5","62.5","82.0","56.25","58.61","58.38","52.93","0.39","10.73"
"5.0","Bread Plain, Medium Size","Each","45.0","45.0","45.0","40.0","44.29","45.0","45.0","45.0","45.0","48.0","50.0","50.0","45.0","45.0","35.0","43.0","40.0","44.43","43.78","42.56","1.48","4.39"
"6.0","Beef With Bone, (AQ)","1 Kg","484.0","467.58","375.0","450.0","423.21","375.0","400.0","396.67","365.0","484.39","398.0","400.0","400.0","381.67","350.0","386.0","400.0","408.03","404.42","361.91","0.89","12.74"
"7.0","Mutton, Average Quality","1 Kg","976.13","964.09","800.0","900.0","923.21","950.0","875.0","850.0","725.0","908.08","800.0","750.0","825.0","825.0","690.0","850.0","750.0","844.79","832.33","768.18","1.5","9.97"
"8.0","Chicken Farm, Broiler, Live","1 Kg","177.56","165.7","164.8","169.6","169.8","170.8","169.0","184.17","169.0","202.55","194.75","192.4","192.0","179.2","187.6","219.0","238.0","185.05","192.12","188.06","-3.68","-1.6"
"9.0","Milk, Fresh, Unboiled","1 Ltr","102.5","100.83","90.0","80.0","78.0","90.0","70.0","83.33","67.5","94.87","94.0","90.0","95.0","97.66","85.0","110.0","80.0","88.75","88.57","84.0","0.2","5.65"
"10.0","Curd (Dahi)","1 Kg","116.25","112.92","100.0","90.0","92.5","97.5","90.0","99.17","80.0","142.54","135.0","100.0","100.0","109.33","100.0","120.0","90.0","104.42","103.99","101.23","0.41","3.15"
"11.0","Powdered Milk, Nido, Polybag","400 gm","410.26","410.26","410.26","410.26","410.0","405.0","416.0","410.25","410.0","400.0","430.76","410.25","425.0","399.33","410.25","420.0","400.0","411.05","409.81","384.44","0.3","6.92"
"12.0","Eggs Hen, Farm","Dozen","86.16","78.03","79.35","83.0","79.6","77.4","78.4","76.0","76.8","85.04","82.8","84.0","74.5","87.83","100.0","105.0","120.0","85.52","85.6","91.16","-0.09","-6.19"
"13.0","Mustard Oil, Average Quality","1 Kg","246.25","241.67","170.0","160.0","187.86","220.0","190.0","184.17","170.0","185.92","160.75","150.0","215.0","233.33","177.5","210.0","200.0","194.26","193.63","184.42","0.33","5.34"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","535.0","535.0","526.0","520.0","530.0","520.0","520.0","545.0","545.0","545.0","516.0","510.0","528.5","513.0","515.0","525.0","460.0","522.85","521.35","476.49","0.29","9.73"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","505.0","505.0","500.0","495.0","520.0","495.0","495.0","515.0","515.0","515.0","500.0","490.0","516.0","495.0","490.0","520.0","455.0","501.53","499.04","470.38","0.5","6.62"
"16.0","Vegetable Ghee (Loose)","1 Kg","162.5","162.08","155.0","155.0","160.0","149.7","151.2","162.67","165.0","165.96","195.0","145.0","139.5","173.0","175.0","195.0","125.0","160.98","160.41","148.34","0.36","8.52"
"17.0","Bananas","Dozen","164.38","149.17","132.5","134.0","133.86","104.25","97.0","125.0","113.0","99.81","104.5","88.0","104.0","108.17","121.5","108.0","82.0","115.83","94.02","112.25","23.2","3.19"
"18.0","Pulse Masoor, Washed","1 Kg","133.75","115.22","150.0","150.0","133.93","135.0","138.0","110.0","120.0","109.19","102.88","110.0","109.0","93.27","115.0","148.0","117.0","122.96","122.98","112.45","-0.02","9.35"
